osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,tunnel,junction
311142700,False,2,SS16,Via Fratelli Rosselli,primary,False,99.97,"LINESTRING (13.8685364 42.9947043, 13.8685184 42.9946522, 13.868481 42.9945442, 13.8684121 42.9943087, 13.8684031 42.9942778, 13.8683852 42.9942166, 13.8683479 42.9940742, 13.8683017 42.9938975, 13.8682827 42.9938248)",,,
54579357,False,,,Via Cavour,residential,False,11.264,"LINESTRING (13.8678657 42.9921329, 13.8680041 42.9921291)",,,
311142700,False,2,SS16,Via Fratelli Rosselli,primary,False,44.567,"LINESTRING (13.8678657 42.9921329, 13.8678616 42.992104, 13.86786 42.9920931, 13.8678577 42.992077, 13.8678349 42.9919185, 13.8678259 42.9917334)",,,
311142700,False,2,SS16,Via Fratelli Rosselli,primary,True,191.175,"LINESTRING (13.8678657 42.9921329, 13.8679209 42.9923637, 13.8679794 42.992598, 13.8680569 42.9929149, 13.8680731 42.9929831, 13.8681184 42.9931747, 13.8681983 42.9934962, 13.868247 42.993705, 13.8682827 42.9938248)",,,
75295833,False,,,Via Roma,residential,False,42.881,"LINESTRING (13.8704912 42.9921283, 13.8704508 42.9925128)",,,
75295833,False,,,Via Roma,residential,True,144.28199999999998,"LINESTRING (13.8704912 42.9921283, 13.8705236 42.9917586, 13.8705279 42.9917095, 13.8706067 42.9908335)",,,
497725470,False,,,,residential,False,32.089999999999996,"LINESTRING (13.8704912 42.9921283, 13.870838 42.9921404, 13.8708853 42.9921421)",,,
60718854,True,,,,secondary,False,21.838,"LINESTRING (13.8674646 42.9903328, 13.867592 42.9903134, 13.8676637 42.990316, 13.8677295 42.9903234)",,,
60718856,True,,,,secondary,False,30.683,"LINESTRING (13.8674646 42.9903328, 13.8676015 42.9902455, 13.8676393 42.9902114, 13.8677189 42.9901311)",,,
75295801,False,,,Via Cagliata,residential,False,356.314,"LINESTRING (13.8638469 42.990863, 13.863862 42.9909383, 13.8638814 42.9910347, 13.8640066 42.9914118, 13.8640888 42.9915939, 13.8641507 42.9917309, 13.8644144 42.9921861, 13.86464 42.9926015, 13.8647517 42.9928073, 13.8652356 42.9934762, 13.8652824 42.9935409, 13.8654235 42.99372, 13.8654628 42.9937698, 13.8654922 42.9938147)",,,
