osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,lanes,access,tunnel
270194324,True,Corso Ferdinando Dissegna,secondary,False,65.982,"LINESTRING (8.2934737 46.1126007, 8.2938205 46.1131432)",,,,,,
95749754,True,Corso Attilio Moneta,secondary,False,60.912,"LINESTRING (8.2946408 46.1155238, 8.2946471 46.1155936, 8.2946883 46.1160706)",,,,,,
95749757,True,Corso Paolo Ferraris,secondary,False,87.182,"LINESTRING (8.2946408 46.1155238, 8.2945429 46.115527, 8.2940971 46.115536, 8.2935103 46.1155478)",,,,,,
1025787638,False,Via Guglielmo Marconi,secondary,False,43.685,"LINESTRING (8.2935103 46.1155478, 8.2932967 46.1159117)",36,,,,,
1137994571,True,Corso Fratelli di Dio,secondary,False,38.494,"LINESTRING (8.2935103 46.1155478, 8.2930779 46.1153746)",,,,,,
35399086,True,Corso Fratelli di Dio,secondary,False,76.25200000000001,"LINESTRING (8.2930779 46.1153746, 8.2923216 46.1150986, 8.2922026 46.1150551)",,,,,,
95168011,True,Via Cantarana,residential,False,137.99,"LINESTRING (8.2930779 46.1153746, 8.2931468 46.1152966, 8.2931848 46.1152699, 8.2934993 46.1150398, 8.2936367 46.1150015, 8.2939216 46.1149481, 8.2940294 46.1149147, 8.2945651 46.1147508)",,,,,,
94482122,True,Via Luigi Francioli,unclassified,False,65.007,"LINESTRING (8.2922026 46.1150551, 8.2926044 46.1145411)",,,,,,
196285624,True,Via Giuseppe Garibaldi,secondary,False,100.544,"LINESTRING (8.2922026 46.1150551, 8.2920676 46.1149995, 8.2918778 46.1149213, 8.2918302 46.1149017, 8.2912738 46.1147258, 8.291016 46.1147043)",,,,,,
35399085,False,Via Guglielmo Marconi,secondary,True,23.616,"LINESTRING (8.2926824 46.1169344, 8.2927997 46.1167382)",36,,,,,
948631717,True,Corso Camillo Benso Conte di Cavour,secondary,False,20.315,"LINESTRING (8.2926824 46.1169344, 8.2927767 46.117105)",,,,,,
35399090,True,Corso Camillo Benso Conte di Cavour,secondary,False,28.473,"LINESTRING (8.2925101 46.1171609, 8.2926824 46.1169344)",,,,,,
171966527,True,Corso Paolo Ferraris,unclassified,False,106.60300000000001,"LINESTRING (8.2960207 46.1154622, 8.2958298 46.1154648, 8.2947872 46.115518, 8.2947285 46.1155202, 8.2946408 46.1155238)",,,,,,
"[948631720, 948631718]",False,"['Piazza Giacomo Matteotti', 'Via Geremia Bonomelli']",secondary,True,122.95,"LINESTRING (8.2960207 46.1154622, 8.296021 46.1153557, 8.2961134 46.1150732, 8.2961446 46.1150235, 8.2961474 46.1149678, 8.2961435 46.1148308, 8.2961305 46.1143683)",SS569,,,,,
"[1025972538, 96660378]",False,Piazza Giacomo Matteotti,secondary,False,109.519,"LINESTRING (8.2960207 46.1154622, 8.2960296 46.1155836, 8.2960707 46.1156786, 8.2961613 46.1158611, 8.2961757 46.1158949, 8.2961902 46.1159385, 8.2962341 46.1160703, 8.2962576 46.1162363, 8.2962594 46.116261, 8.2962713 46.1164252)",SS569,,,,,
