osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge
1230298947,False,2,SS146,primary,30,False,7.909,,"LINESTRING (11.9448502 43.0155194, 11.9447596 43.0155453)",
1071078258,True,1,SP49,tertiary_link,,False,88.325,Via Guglielmo Marconi,"LINESTRING (11.9448502 43.0155194, 11.9449242 43.0155493, 11.9452889 43.0155462, 11.945926 43.0155476)",
1230298948,False,2,SS146,primary,30,True,180.75199999999998,,"LINESTRING (11.9448502 43.0155194, 11.9450039 43.0154717, 11.9452712 43.015389, 11.9455157 43.0153209, 11.9455982 43.0152942, 11.9456777 43.0152645, 11.9457571 43.0152312, 11.945819 43.015202, 11.9458728 43.0151728, 11.9459286 43.0151331, 11.9460236 43.0150444, 11.946101 43.0149621, 11.9461974 43.0148511, 11.9462688 43.0147467, 11.9463238 43.0146529, 11.9463615 43.0145659, 11.946389 43.0144803)",
26391502,False,2,SP49,tertiary,,False,29.2,Via Guglielmo Marconi,"LINESTRING (11.945926 43.0155476, 11.9462851 43.015543)",
1071078262,True,1,,residential,,False,4.809,,"LINESTRING (11.945926 43.0155476, 11.9458726 43.0155662)",
26391502,False,2,SP49,tertiary,,True,62.449000000000005,Via Guglielmo Marconi,"LINESTRING (11.9480425 43.0150042, 11.947915 43.014972, 11.947753 43.0149255, 11.947466 43.0148275, 11.9473904 43.0148116, 11.9473271 43.0148061)",
106450101,False,2,,tertiary,,True,182.903,Via Giuseppe Garibaldi,"LINESTRING (11.9480425 43.0150042, 11.9481653 43.0150388, 11.9482682 43.015061, 11.9483335 43.0150677, 11.9483962 43.0150681, 11.9485011 43.0150628, 11.9487243 43.0150468, 11.9487973 43.0150448, 11.9488614 43.0150492, 11.9489118 43.0150609, 11.9489542 43.0150765, 11.9492471 43.0151886, 11.9493367 43.0152224, 11.949376 43.0152419, 11.9494063 43.0152627, 11.9494295 43.0152872, 11.9494472 43.0153127, 11.9494946 43.0154018, 11.9495639 43.0155591, 11.9496165 43.0157123, 11.9496286 43.0157584, 11.9496288 43.0157769, 11.9496242 43.0157904, 11.9496101 43.0158124)",
1200690632,False,2,SP49,tertiary,,False,238.835,Via Torri del Fornello,"LINESTRING (11.9480425 43.0150042, 11.9481769 43.0150023, 11.9483156 43.0150003, 11.9488303 43.0149657, 11.9490916 43.0149507, 11.9492217 43.0149426, 11.9493696 43.0149241, 11.9494592 43.0149056, 11.9495469 43.0148826, 11.9496047 43.0148632, 11.9496562 43.0148427, 11.949737 43.0147957, 11.9501587 43.0145459, 11.9502928 43.0144652, 11.9504722 43.0143573, 11.9505694 43.0143047, 11.9506775 43.0142611)",
1164827233,False,,,residential,,True,58.516,Via delle Fontanelle,"LINESTRING (11.9418106 43.0199458, 11.942055 43.0199427, 11.9424981 43.0199016, 11.9425267 43.0198999)",
106450101,False,2,,tertiary,,False,182.90300000000005,Via Giuseppe Garibaldi,"LINESTRING (11.9496101 43.0158124, 11.9496242 43.0157904, 11.9496288 43.0157769, 11.9496286 43.0157584, 11.9496165 43.0157123, 11.9495639 43.0155591, 11.9494946 43.0154018, 11.9494472 43.0153127, 11.9494295 43.0152872, 11.9494063 43.0152627, 11.949376 43.0152419, 11.9493367 43.0152224, 11.9492471 43.0151886, 11.9489542 43.0150765, 11.9489118 43.0150609, 11.9488614 43.0150492, 11.9487973 43.0150448, 11.9487243 43.0150468, 11.9485011 43.0150628, 11.9483962 43.0150681, 11.9483335 43.0150677, 11.9482682 43.015061, 11.9481653 43.0150388, 11.9480425 43.0150042)",
"[106450121, 106450118]",False,2,,residential,,False,58.634,"['Via dei Longobardi', 'Via Porsenna']","LINESTRING (11.9496101 43.0158124, 11.949593 43.0158254, 11.9495704 43.0158363, 11.9495239 43.0158501, 11.9494802 43.0158607, 11.9494834 43.015894, 11.9495202 43.0162788)",
1204659812,False,2,,tertiary,,True,122.723,Via delle Pietriccia,"LINESTRING (11.9496101 43.0158124, 11.9496336 43.0158243, 11.9496558 43.0158303, 11.9496827 43.0158363, 11.9497265 43.0158408, 11.949775 43.0158435, 11.9499094 43.0158393, 11.9502253 43.0158253, 11.9502609 43.0158246, 11.9502815 43.0158229, 11.9503098 43.0158206, 11.9503884 43.0158201, 11.9505055 43.0158275, 11.9506526 43.0158526, 11.9508392 43.015895, 11.9509647 43.0159269, 11.9510797 43.0159626)",
1230298945,False,2,SP49,tertiary,,False,10.961,Strada Provinciale di Chiusi e del Lago,"LINESTRING (11.9535556 43.0173451, 11.9536118 43.0174347)",
106450090,True,1,,tertiary,,False,142.582,Via delle Pietriccia,"LINESTRING (11.9535556 43.0173451, 11.9534264 43.0172301, 11.9533018 43.0170948, 11.9531999 43.016978, 11.9530729 43.0168438, 11.9530079 43.0167753, 11.9529683 43.0167333, 11.9529169 43.0166862, 11.9528446 43.0166263, 11.952772 43.016574, 11.9526904 43.0165224, 11.9525887 43.0164657, 11.9524221 43.0163831)",
106450119,True,1,,residential,,False,17.588,Via Bassa Ciminia,"LINESTRING (11.9487008 43.017229, 11.9485411 43.0173357)",
1194002361,False,1,,residential,,False,30.599,Via I Ciminia,"LINESTRING (11.9487008 43.017229, 11.9484539 43.0170213)",
1194002362,False,1,,residential,,False,39.261,Via Lavinia,"LINESTRING (11.94829 43.0175378, 11.9480091 43.0172506)",
1194002362,False,1,,residential,,True,72.179,Via Lavinia,"LINESTRING (11.94829 43.0175378, 11.9487983 43.01807)",
106450100,True,1,,residential,,False,153.882,Via Arunte,"LINESTRING (11.9462227 43.016089, 11.9460774 43.0160973, 11.945959 43.0161115, 11.9455403 43.0161892, 11.945279 43.0162537, 11.9457726 43.0168207)",
184148417,False,1,,residential,,True,47.693,Via Sozzi,"LINESTRING (11.9462227 43.016089, 11.9461936 43.0162886, 11.946206 43.0164031, 11.9462398 43.0165137)",
251331060,True,1,,residential,,False,44.027,Via Pietro Nardi Dei,"LINESTRING (11.9492091 43.0163063, 11.9492239 43.0164051, 11.9492376 43.0166117, 11.9492352 43.0166565, 11.9492298 43.0167012)",
"[106450125, 251331061]",True,"['1', '2']",,residential,,False,105.635,"['Via Pietro Nardi Dei', 'Via Porsenna']","LINESTRING (11.9492091 43.0163063, 11.9491536 43.0159197, 11.9491488 43.0158897, 11.9487944 43.0159072, 11.948725 43.0159112, 11.9484235 43.0159105)",
106450125,True,2,,residential,,False,11.999,Via Porsenna,"LINESTRING (11.9472397 43.0160023, 11.9470943 43.0160208)",
184148396,False,2,,residential,,False,44.732,Via Graziano da Chiusi,"LINESTRING (11.9510797 43.0159626, 11.9511207 43.0159391, 11.9511792 43.0158852, 11.9512502 43.015801, 11.9513849 43.015631)",
1204659812,False,2,,tertiary,,False,122.72300000000001,Via delle Pietriccia,"LINESTRING (11.9510797 43.0159626, 11.9509647 43.0159269, 11.9508392 43.015895, 11.9506526 43.0158526, 11.9505055 43.0158275, 11.9503884 43.0158201, 11.9503098 43.0158206, 11.9502815 43.0158229, 11.9502609 43.0158246, 11.9502253 43.0158253, 11.9499094 43.0158393, 11.949775 43.0158435, 11.9497265 43.0158408, 11.9496827 43.0158363, 11.9496558 43.0158303, 11.9496336 43.0158243, 11.9496101 43.0158124)",
184148447,True,1,,residential,,False,22.815,Via Lino Moretti,"LINESTRING (11.9492298 43.0167012, 11.948955 43.0166596)",
106450119,True,1,,residential,,False,75.914,Via Bassa Ciminia,"LINESTRING (11.9492298 43.0167012, 11.9492086 43.0167845, 11.9491782 43.0168677, 11.9491622 43.0169086, 11.9491463 43.016936, 11.9491236 43.016962, 11.9490661 43.0170047, 11.9487008 43.017229)",
106450100,True,1,,residential,,False,43.81100000000001,Via Arunte,"LINESTRING (11.9470943 43.0160208, 11.9470357 43.0160578, 11.9469893 43.0160888, 11.9469268 43.0161013, 11.9468168 43.0161073, 11.9467301 43.0161013, 11.9465938 43.0160974)",
106450125,True,2,,residential,,False,85.95500000000001,Via Porsenna,"LINESTRING (11.9470943 43.0160208, 11.9468474 43.0158784, 11.9463703 43.0156384, 11.9463215 43.0156036, 11.9462929 43.0155832, 11.9462851 43.015543)",
"[106450121, 106450118]",False,2,,residential,,True,58.63400000000001,"['Via Porsenna', 'Via dei Longobardi']","LINESTRING (11.9495202 43.0162788, 11.9494834 43.015894, 11.9494802 43.0158607, 11.9495239 43.0158501, 11.9495704 43.0158363, 11.949593 43.0158254, 11.9496101 43.0158124)",
251331059,True,1,,residential,,False,25.477,Via Curzio,"LINESTRING (11.9495202 43.0162788, 11.9492714 43.0163008, 11.9492091 43.0163063)",
