osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,bridge,access,width
37910330,secondary,50,roundabout,True,False,9.323,"LINESTRING (9.9273386 45.5385157, 9.9273497 45.5385041, 9.9273644 45.5384946, 9.9273818 45.5384878, 9.927401 45.5384841, 9.927421 45.5384835, 9.9274405 45.5384863)",,,,,
255966256,secondary,50,,False,False,116.61300000000001,"LINESTRING (9.9273386 45.5385157, 9.9271868 45.5384634, 9.9267884 45.5383076, 9.9264105 45.5381529, 9.9261679 45.538048, 9.9261147 45.5380153, 9.926067 45.5379719)",Viale Giuseppe Teosa,,,,
75652575,secondary,50,,False,True,361.05,"LINESTRING (9.9232945 45.5340963, 9.9233235 45.5341559, 9.9233593 45.5342045, 9.9236153 45.534491, 9.9238377 45.5347431, 9.9240861 45.53503, 9.9243883 45.5353629, 9.9244435 45.5354242, 9.9246149 45.5356149, 9.924693 45.5357024, 9.9247174 45.5357297, 9.9249391 45.5359779, 9.9249741 45.5360171, 9.9251131 45.5361728, 9.9254817 45.5366466, 9.9256139 45.5368997)",Via Milano,2,,,
199821549,secondary,50,roundabout,True,False,12.87,"LINESTRING (9.9232945 45.5340963, 9.9232671 45.5340985, 9.9232401 45.5340949, 9.9232157 45.5340859, 9.9231963 45.5340722, 9.9231835 45.5340552, 9.9231784 45.5340362)",,1,,,
295514668,tertiary,,,False,False,111.659,"LINESTRING (9.9246361 45.5342907, 9.9246508 45.5343485, 9.9246822 45.5344028, 9.9247254 45.5344441, 9.9247608 45.5344661, 9.9252958 45.5346965, 9.925656 45.5348238, 9.9257126 45.534835, 9.9257679 45.5348375)",Via Maffoni,,,,
295841565,tertiary,,,False,True,62.969,"LINESTRING (9.9246361 45.5342907, 9.9246583 45.5340958, 9.9246659 45.5340292, 9.9247163 45.5337273)",Via Roccafranca,,,,
255966255,secondary,30,,False,True,15.943,"LINESTRING (9.9256139 45.5368997, 9.9256486 45.537041)",Via Milano,,,,
75652575,secondary,50,,False,False,361.0499999999999,"LINESTRING (9.9256139 45.5368997, 9.9254817 45.5366466, 9.9251131 45.5361728, 9.9249741 45.5360171, 9.9249391 45.5359779, 9.9247174 45.5357297, 9.924693 45.5357024, 9.9246149 45.5356149, 9.9244435 45.5354242, 9.9243883 45.5353629, 9.9240861 45.53503, 9.9238377 45.5347431, 9.9236153 45.534491, 9.9233593 45.5342045, 9.9233235 45.5341559, 9.9232945 45.5340963)",Via Milano,2,,,
295620664,residential,,,False,False,55.108999999999995,"LINESTRING (9.9234011 45.5370431, 9.9233652 45.5369728, 9.9232867 45.536819, 9.9231139 45.5365916)",Via Tito Speri,,,,
295620664,residential,,,False,True,58.415,"LINESTRING (9.9234011 45.5370431, 9.9234372 45.537099, 9.9234601 45.5371344, 9.9235327 45.5371956, 9.9237742 45.5373035, 9.9238044 45.537317, 9.9238656 45.5373471, 9.923872 45.5373508, 9.9239399 45.53739)",Via Tito Speri,,,,
295620664,residential,,,False,False,54.343,"LINESTRING (9.9231139 45.5365916, 9.9230625 45.536536, 9.9227298 45.5361836)",Via Tito Speri,,,,
295620664,residential,,,False,True,55.109,"LINESTRING (9.9231139 45.5365916, 9.9232867 45.536819, 9.9233652 45.5369728, 9.9234011 45.5370431)",Via Tito Speri,,,,
295620664,residential,,,False,True,19.229,"LINESTRING (9.9226082 45.5360331, 9.9227298 45.5361836)",Via Tito Speri,,,,
197509931,residential,,,False,True,120.027,"LINESTRING (9.9226082 45.5360331, 9.9227219 45.5360112, 9.9231528 45.5359757, 9.9238331 45.5359197, 9.9241362 45.5359382)",Via Tito Speri,,,,
43452791,tertiary,,,False,False,62.099000000000004,"LINESTRING (9.9320841 45.5367977, 9.9320688 45.536876, 9.9319759 45.537351)",Viale Mellino Mellini,,,,
43452793,tertiary,,roundabout,True,False,10.569,"LINESTRING (9.9320841 45.5367977, 9.9320507 45.5367935, 9.9320213 45.5367816, 9.9319994 45.5367634, 9.9319876 45.5367412)",,,,,
43452793,tertiary,,roundabout,True,False,15.504000000000001,"LINESTRING (9.9319876 45.5367412, 9.9319871 45.5367179, 9.9319976 45.5366959, 9.9320179 45.5366775, 9.9320457 45.5366649, 9.932078 45.5366595, 9.932111 45.5366618)",,,,,
589330766,residential,,,False,False,14.555,"LINESTRING (9.9319876 45.5367412, 9.9319028 45.53675, 9.9318052 45.5367686)",Via Carmagnola,,,,
43452793,tertiary,,roundabout,True,False,10.199,"LINESTRING (9.932111 45.5366618, 9.9321407 45.5366715, 9.9321642 45.5366874, 9.932179 45.5367079, 9.9321835 45.5367306)",,,,,
