osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,junction,tunnel
165338160,Via Madonna delle Grazie,tertiary,30,False,False,108.723,"LINESTRING (13.4296992 41.3553799, 13.4296274 41.3553056, 13.4295812 41.3552551, 13.4289454 41.3545825)",,,,,
185498559,Corso Italia,primary,50,False,False,28.602,"LINESTRING (13.4296992 41.3553799, 13.4297993 41.3553063, 13.429944 41.3551999)",2,SS7,,,
185498559,Corso Italia,primary,50,False,True,19.764,"LINESTRING (13.4296992 41.3553799, 13.4296131 41.3554664, 13.4295575 41.3555223)",2,SS7,,,
199044093,Via dei Volsci,tertiary,50,False,False,12.807,"LINESTRING (13.4266573 41.3615664, 13.4265386 41.3616394)",,,,,
199044093,Via dei Volsci,tertiary,50,False,True,13.988,"LINESTRING (13.4266573 41.3615664, 13.4267565 41.361465)",,,,,
54579447,Via dei Latini,tertiary,,False,True,7.344,"LINESTRING (13.4255307 41.361468, 13.4256151 41.3614867)",,,,,
58416336,Via degli Equi,residential,,False,False,41.346,"LINESTRING (13.4255307 41.361468, 13.4259242 41.3612421)",,,,,
54579447,Via dei Latini,tertiary,,False,False,78.52199999999999,"LINESTRING (13.4255307 41.361468, 13.4254022 41.3613849, 13.4253716 41.3613482, 13.4249933 41.3608941)",,,,,
52733689,Viale della Libertà,residential,,True,False,74.759,"LINESTRING (13.4244363 41.3603052, 13.4245422 41.3602365, 13.4251137 41.3598653)",,,,,
54579447,Via dei Latini,tertiary,,False,True,39.839999999999996,"LINESTRING (13.4244363 41.3603052, 13.4245328 41.3604055, 13.4247159 41.3605956)",,,,,
52918080,Via Carlo Alberto dalla Chiesa,residential,,True,False,47.259,"LINESTRING (13.4240444 41.3543321, 13.4243887 41.3546695)",,,,,
172159521,Via Sassari,residential,30,False,True,57.785,"LINESTRING (13.4240444 41.3543321, 13.4245352 41.3542496, 13.4247197 41.3542176)",,,,,
165338160,Via Madonna delle Grazie,tertiary,30,False,True,51.768,"LINESTRING (13.4275037 41.3529643, 13.427603 41.3530794, 13.4278525 41.3533492)",,,,,
172159521,Via Sassari,residential,30,False,False,57.497,"LINESTRING (13.4275037 41.3529643, 13.4273529 41.3530456, 13.4269417 41.3532633)",,,,,
50977345,Corso Italia,residential,,False,True,14.988,"LINESTRING (13.4292349 41.3560003, 13.4293212 41.3558821)",,,,,
59120921,Corso Italia,residential,30,True,False,31.410999999999998,"LINESTRING (13.4292349 41.3560003, 13.429209 41.3562615, 13.4292068 41.356282)",,,no,,
44812408,Via Guglielmo Oberdan,unclassified,,True,False,27.21,"LINESTRING (13.4292068 41.356282, 13.4294363 41.3564558)",,,,,
"[59120921, 59123819, 261408103]","['Corso Italia', 'Via Pietrangelo Leone']",residential,30,True,False,193.31299999999996,"LINESTRING (13.4292068 41.356282, 13.4290507 41.3571539, 13.4290417 41.3571996, 13.4293025 41.3572098, 13.4298775 41.3568388, 13.4299231 41.356806)",,,no,,
"[55899011, 180246037]","[""Via San Francesco d'Assisi"", 'Piazza IV Novembre']",residential,,True,False,98.057,"LINESTRING (13.4299231 41.356806, 13.429987 41.3567896, 13.4300647 41.3567441, 13.4303566 41.3565733, 13.4307461 41.3563297, 13.4308049 41.3562932, 13.4308472 41.3562664)",,,,,
44813392,Via Arnale Rosso,tertiary,50,True,False,56.199,"LINESTRING (13.4318541 41.3540925, 13.4319089 41.3541194, 13.4319694 41.3541491, 13.4322379 41.3544182, 13.432272 41.3544788)",,,,,
54608142,Via della Stazione,tertiary,50,False,False,39.812,"LINESTRING (13.4318541 41.3540925, 13.4317477 41.3539809, 13.4315715 41.3538041)",,,,,
165338167,Via Appia Lato Itri,primary,50,False,False,102.437,"LINESTRING (13.4318541 41.3540925, 13.431999 41.3540132, 13.4328457 41.3535497)",2,SS7,,,
185498559,Corso Italia,primary,50,False,True,84.878,"LINESTRING (13.4318541 41.3540925, 13.4317115 41.3541777, 13.4313184 41.3543948, 13.4310353 41.3545449)",2,SS7,,,
