osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,tunnel,junction
526608154,2,Via Litoranea Castello,secondary,False,False,12.143,,"LINESTRING (13.6550129 37.9968731, 13.6548749 37.9968831)",,
"[730035777, 526608154, 730035778]",2,"['Via Litoranea Castello', 'Via Litoranea Ginestra']",secondary,False,True,623.5239999999999,SS113,"LINESTRING (13.6550129 37.9968731, 13.6552649 37.9968447, 13.6554153 37.996819, 13.6557135 37.9967566, 13.6559549 37.9966953, 13.6562131 37.9966054, 13.6593987 37.9951817, 13.6598651 37.9949733, 13.6600614 37.9948416, 13.6601733 37.9947306, 13.6608289 37.9939136)",,
526608155,,Via Molara,residential,False,False,131.008,,"LINESTRING (13.6550129 37.9968731, 13.6550885 37.9969448, 13.655169 37.9969997, 13.6552361 37.9970272, 13.6553594 37.9970335, 13.6555713 37.9970399, 13.6558208 37.9970716, 13.6561748 37.9970737, 13.656427 37.9970673)",,
526608154,2,Via Litoranea Castello,secondary,False,True,11.8,,"LINESTRING (13.6547408 37.9968928, 13.6548749 37.9968831)",,
526608157,,,tertiary,True,False,17.212,,"LINESTRING (13.6547408 37.9968928, 13.6547238 37.9968454, 13.6546996 37.9968179, 13.6546147 37.9967911)",,
233540961,,Via Cosimo Ciraulo,residential,False,True,78.081,,"LINESTRING (13.6526308 37.9966611, 13.651865 37.9963021)",,
695553030,,,tertiary,False,False,92.10900000000001,,"LINESTRING (13.6526308 37.9966611, 13.6533298 37.9964693, 13.6536197 37.9963806)",,
"[82683778, 730035765]",,Via Luigi Di Vanni,tertiary,True,False,119.64200000000001,,"LINESTRING (13.6526308 37.9966611, 13.6520707 37.9969172, 13.6520026 37.9966742, 13.6519289 37.9965807, 13.6518051 37.9964702, 13.651759 37.9964233)",,
233539461,,Via Ventimiglia,tertiary,False,False,47.690000000000005,SP6,"LINESTRING (13.6512566 37.997041, 13.6510182 37.9972334, 13.6509459 37.9972882, 13.6508543 37.9973248)",,
233539461,,Via Ventimiglia,tertiary,False,True,85.78399999999999,SP6,"LINESTRING (13.6512566 37.997041, 13.6513399 37.9969645, 13.6514074 37.9968529, 13.6514341 37.9967577, 13.6514706 37.9965327, 13.6514926 37.9964826, 13.651536 37.9964338, 13.6515816 37.9963984, 13.6516513 37.9963751)",,
233539461,,Via Ventimiglia,tertiary,False,True,47.69,SP6,"LINESTRING (13.6508543 37.9973248, 13.6509459 37.9972882, 13.6510182 37.9972334, 13.6512566 37.997041)",,
70725513,,Via Piersanti Mattarella,residential,True,False,107.19800000000001,,"LINESTRING (13.6589912 37.9931736, 13.6590028 37.9929356, 13.6590454 37.9925236, 13.6591012 37.9922142)",,
730035772,,,residential,True,False,35.075,,"LINESTRING (13.6589912 37.9931736, 13.6591125 37.993354, 13.6592109 37.9934338)",,
233543217,,Via Urso,residential,False,True,24.071,,"LINESTRING (13.6534553 37.9950709, 13.6533985 37.9948591)",,
507718893,,Via John Fitzgerald Kennedy,residential,True,False,32.672,,"LINESTRING (13.6534553 37.9950709, 13.653549 37.9953553)",,
730035769,,Corso Giuseppe La Masa,tertiary,True,False,63.938,,"LINESTRING (13.6534553 37.9950709, 13.6537691 37.995012, 13.6541651 37.9949377)",,
233540961,,Via Cosimo Ciraulo,residential,False,False,78.081,,"LINESTRING (13.651865 37.9963021, 13.6526308 37.9966611)",,
730035769,,Corso Giuseppe La Masa,tertiary,True,False,99.77799999999999,,"LINESTRING (13.651865 37.9963021, 13.6519178 37.9962563, 13.6520502 37.9961414, 13.652273 37.9958966, 13.65245 37.9956151, 13.6524901 37.9955585)",,
507556940,,,unclassified,False,True,21.595,,"LINESTRING (13.658221 37.9938329, 13.6580654 37.9936823)",,
70725519,,Corso Giuseppe La Masa,tertiary,False,False,35.783,,"LINESTRING (13.658221 37.9938329, 13.6580566 37.9939157, 13.6578672 37.9939929)",,
70725519,,Corso Giuseppe La Masa,tertiary,False,True,79.378,,"LINESTRING (13.658221 37.9938329, 13.6587318 37.9935767, 13.6588492 37.993526, 13.6590015 37.993473)",,
507556934,,,residential,False,True,22.003,,"LINESTRING (13.6541651 37.9949377, 13.6541196 37.9947431)",,
730035769,,Corso Giuseppe La Masa,tertiary,True,False,30.02,,"LINESTRING (13.6541651 37.9949377, 13.6544984 37.9948753)",,
