osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,junction,width
40114096,True,1,SP125,secondary,False,28.454,"LINESTRING (11.543463 45.2864096, 11.5433217 45.2863571, 11.5432345 45.2863249, 11.5431427 45.2862884)",,,,
102459672,False,2,SP125,secondary,True,28.47,"LINESTRING (11.543463 45.2864096, 11.5436302 45.2864769, 11.5437789 45.2865367)",Via Masenello,50,,
40113883,True,1,,unclassified,False,25.603,"LINESTRING (11.542945 45.286458, 11.5429945 45.2862304)",Via Collegio Armeno,,,
40114104,False,2,,residential,False,147.50500000000002,"LINESTRING (11.542945 45.286458, 11.5428596 45.286617, 11.5426424 45.2870203, 11.5424536 45.2873403, 11.5423242 45.2875931, 11.5422711 45.2876967)",Via Collegio Armeno,50,,
40114104,False,2,,residential,True,81.168,"LINESTRING (11.5409297 45.2901238, 11.5413084 45.2894442)",Via Collegio Armeno,50,,
157567918,False,,,residential,True,65.317,"LINESTRING (11.5409297 45.2901238, 11.5406261 45.290671)",Via Collegio Armeno,,,
157567905,False,,,residential,False,25.465,"LINESTRING (11.5409297 45.2901238, 11.5408804 45.2901111, 11.540624 45.2900451)",Piazza Quattro Novembre,,,
157567905,False,,,residential,True,31.205,"LINESTRING (11.5399104 45.2898573, 11.540308 45.2898799)",Piazza Quattro Novembre,,,
180934426,False,,,residential,False,133.914,"LINESTRING (11.5399104 45.2898573, 11.5397855 45.2897745, 11.5397446 45.2897408, 11.5397037 45.2896882, 11.5395911 45.2894471, 11.5394581 45.2893607, 11.5391103 45.2892168, 11.5387296 45.2890523)",Via Vittime delle Foibe,,,
40113281,False,,,residential,True,126.543,"LINESTRING (11.5385721 45.2921064, 11.5376555 45.2926128, 11.5372944 45.2928043)",Viale dei Martiri,,,
102459633,False,2,,residential,False,9.217,"LINESTRING (11.5385721 45.2921064, 11.5386009 45.2921138, 11.5386827 45.292135)",Via Guglielmo Marconi,,,
361035702,False,2,,residential,True,25.461,"LINESTRING (11.5385721 45.2921064, 11.538628 45.2920526, 11.5386774 45.291999, 11.5387689 45.2919245)",Viale dei Martiri,,,
102459633,False,2,,residential,True,61.467999999999996,"LINESTRING (11.5394203 45.2923256, 11.5387487 45.292152, 11.5386827 45.292135)",Via Guglielmo Marconi,,,
102459660,False,2,,residential,False,179.267,"LINESTRING (11.5394203 45.2923256, 11.5394393 45.2922892, 11.5397458 45.2917053, 11.5401534 45.2909377, 11.5401924 45.2908644, 11.540219 45.2908145)",Via Palladio,,,
338394046,False,2,,tertiary,True,7.102,"LINESTRING (11.5446644 45.2926246, 11.544599 45.2925803)",Via Porta,50,,
28516636,False,,,residential,False,112.922,"LINESTRING (11.5446644 45.2926246, 11.544712 45.2925836, 11.5447855 45.2924746, 11.545268 45.2917041)",Via Giuseppe Verdi,,,
338394046,False,2,,tertiary,False,89.306,"LINESTRING (11.5446644 45.2926246, 11.5452876 45.2930977, 11.5453983 45.2931835, 11.5454387 45.2932148)",Via Porta,50,,
164702332,False,2,,tertiary,True,13.405999999999999,"LINESTRING (11.5461139 45.2936937, 11.5460449 45.2936545, 11.5459804 45.2936181)",Via Porta,,,
"[361038520, 347903807]",True,,,residential,False,21.363,"LINESTRING (11.5461139 45.2936937, 11.5460443 45.2937548, 11.5460278 45.2937786, 11.5459773 45.2938584)",,,,
40113248,True,1,,tertiary,False,42.985,"LINESTRING (11.5366895 45.2933115, 11.5367224 45.2932294, 11.5368008 45.2930711, 11.5368645 45.2929452)",Via Capo di Sopra,50,,
40113230,True,,,tertiary,False,37.226,"LINESTRING (11.5374734 45.2931715, 11.5372735 45.2931143, 11.5370385 45.2930359)",Via Zanettini,,,
40113255,False,,,tertiary,False,83.396,"LINESTRING (11.5374734 45.2931715, 11.5377395 45.2932567, 11.5384438 45.2934821)",Via E. Zanettini,,,
128228710,False,2,,tertiary,False,59.042,"LINESTRING (11.5424145 45.2915557, 11.5430639 45.2918263)",Via Porta,50,,
40113255,False,,,tertiary,True,38.899,"LINESTRING (11.5424145 45.2915557, 11.5423817 45.2916148, 11.5423246 45.2917175, 11.5422334 45.2918815)",Via E. Zanettini,,,
157567938,False,2,,tertiary,True,26.051000000000002,"LINESTRING (11.5424145 45.2915557, 11.5423253 45.29152, 11.5421274 45.291437)",Via Carlo Porta,50,,
28516636,False,,,residential,True,60.868,"LINESTRING (11.5462011 45.2901445, 11.5458968 45.2906483)",Via Giuseppe Verdi,,,
157567907,False,,,residential,True,62.165,"LINESTRING (11.5462011 45.2901445, 11.5454722 45.2899218)",Via 28 Aprile,,,
351703924,True,1,,tertiary,False,2.806,"LINESTRING (11.5368645 45.2929452, 11.5368663 45.29292)",,,roundabout,
102221217,True,1,,residential,False,34.165000000000006,"LINESTRING (11.5368663 45.29292, 11.5368549 45.2928776, 11.5368417 45.292824, 11.5368014 45.292747, 11.5367103 45.2926366)",Via Milani,,,
351703924,True,1,,tertiary,False,14.907,"LINESTRING (11.5368663 45.29292, 11.5368824 45.2928885, 11.5369123 45.2928624, 11.5369527 45.2928446, 11.5369992 45.2928372)",,,roundabout,
351703924,True,1,,tertiary,False,7.455,"LINESTRING (11.5369992 45.2928372, 11.5370466 45.292841, 11.5370895 45.2928555)",,,roundabout,
40113260,True,,,tertiary,False,36.757000000000005,"LINESTRING (11.5371499 45.2929319, 11.537249 45.2930099, 11.5373125 45.2930583, 11.5374734 45.2931715)",Via Zanettini,,,
351703924,True,1,,tertiary,False,15.695,"LINESTRING (11.5371499 45.2929319, 11.5371466 45.29296, 11.5371323 45.2929864, 11.5371081 45.293009, 11.537076 45.2930259, 11.5370385 45.2930359)",,,roundabout,
351703924,True,1,,tertiary,False,3.791,"LINESTRING (11.5370385 45.2930359, 11.5369901 45.2930376)",,,roundabout,
40113269,True,1,,tertiary,False,38.632000000000005,"LINESTRING (11.5369901 45.2930376, 11.5369182 45.2930834, 11.536841 45.2931558, 11.5366895 45.2933115)",Via Capo di Sopra,50,,
351703924,True,1,,tertiary,False,15.332,"LINESTRING (11.5369901 45.2930376, 11.5369432 45.2930277, 11.5369037 45.2930073, 11.5368764 45.2929786, 11.5368645 45.2929452)",,,roundabout,
40113262,False,,,residential,False,91.822,"LINESTRING (11.5367103 45.2926366, 11.5360014 45.2922369, 11.5358905 45.2921468, 11.5358427 45.2920883)",Via Milani,,,
