osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access,tunnel
59078514,SP83,Via Giacomo Matteotti,tertiary,False,True,33.269,"LINESTRING (8.6561346 45.5018935, 8.6557454 45.5020164)",,,,
59078514,SP83,Via Giacomo Matteotti,tertiary,False,False,123.45,"LINESTRING (8.6561346 45.5018935, 8.6563694 45.5017982, 8.6564681 45.5017417, 8.6571416 45.5011558, 8.65723 45.5011079)",,,,
59078514,SP83,Via Giacomo Matteotti,tertiary,False,True,123.45,"LINESTRING (8.65723 45.5011079, 8.6571416 45.5011558, 8.6564681 45.5017417, 8.6563694 45.5017982, 8.6561346 45.5018935)",,,,
139816669,,Via Giacomo Matteotti,tertiary,False,False,48.543,"LINESTRING (8.65723 45.5011079, 8.6572776 45.5010959, 8.6573945 45.5010865, 8.6576542 45.501099, 8.6577313 45.5011072, 8.6578463 45.5011194)",,,,
837118670,,Via San Biagio,residential,False,True,95.795,"LINESTRING (8.65723 45.5011079, 8.6572165 45.5010961, 8.6571989 45.5010843, 8.6571742 45.501074, 8.6570449 45.5010544, 8.656667 45.5009832, 8.6566202 45.5009669, 8.6565852 45.50095, 8.6564751 45.5008676, 8.6562416 45.5006619)",,,,
59078514,SP83,Via Giacomo Matteotti,tertiary,False,False,18.911,"LINESTRING (8.6550587 45.5022384, 8.6552816 45.5021712)",,,,
236386973,,Strada Privata delle Mimose,residential,False,False,85.555,"LINESTRING (8.6550587 45.5022384, 8.6554741 45.5015262)",,,,
59078514,SP83,Via Giacomo Matteotti,tertiary,False,True,40.876000000000005,"LINESTRING (8.6550587 45.5022384, 8.6548812 45.5022786, 8.6545498 45.502325)",,,,
236070095,SP2,Via Guglielmo Marconi,tertiary,False,True,41.811,"LINESTRING (8.6611429 45.498524, 8.6608128 45.4982276)",,,,
670476323,,,tertiary_link,True,False,47.72,"LINESTRING (8.6611429 45.498524, 8.6612957 45.4985948, 8.6613738 45.4986543, 8.6613928 45.4986688, 8.661454 45.498733, 8.6614862 45.4987589, 8.6615231 45.4987903, 8.6615682 45.4988264)",,,,
72683103,,Via Cascine,residential,False,True,92.914,"LINESTRING (8.6556073 45.4966949, 8.6567498 45.4969334)",,,,
140094409,,Via Giuseppe Gabardini,residential,False,False,37.044,"LINESTRING (8.6556073 45.4966949, 8.6555946 45.4966513, 8.6555017 45.4963701)",,,,
140094409,,Via Giuseppe Gabardini,residential,False,True,158.827,"LINESTRING (8.6556073 45.4966949, 8.6556041 45.4968333, 8.6555847 45.4970571, 8.6555832 45.4971644, 8.6556595 45.4977915, 8.6557212 45.4981177)",,,,
