osmid,highway,oneway,reversed,length,geometry,name,width,lanes,junction
220561195,tertiary,False,True,121.332,"LINESTRING (10.0275072 45.5760874, 10.028035 45.5761014, 10.0286712 45.5761395, 10.0290631 45.57615)",,,,
51746092,unclassified,False,False,7.594,"LINESTRING (10.0271834 45.5844609, 10.0272313 45.5845204)",Via Duomo,5,,
51746092,unclassified,False,True,11.898,"LINESTRING (10.0271834 45.5844609, 10.027051 45.5844074)",Via Duomo,5,,
64935103,residential,False,True,184.71699999999998,"LINESTRING (10.0271834 45.5844609, 10.0273508 45.5839817, 10.0276185 45.5839387, 10.0277375 45.5829666)",Via Achille Grandi,,,
73279951,unclassified,False,True,79.02600000000001,"LINESTRING (10.0271834 45.5844609, 10.0277343 45.584483, 10.0281967 45.5845071)",Via della Pace,5,,
64935106,residential,False,True,118.431,"LINESTRING (10.0256532 45.584709, 10.0251746 45.5838513, 10.0251188 45.5837124)",Via Salvador Allende,6,2,
252086940,residential,False,True,97.122,"LINESTRING (10.0256532 45.584709, 10.0263369 45.5845513, 10.0268579 45.5844907)",Via John Fitzgerald Kennedy,,,
34888052,residential,False,True,57.663,"LINESTRING (10.0226019 45.5841747, 10.0233207 45.5840488)",Via Caduti di Piazza Loggia,6,2,
34888076,residential,False,False,168.487,"LINESTRING (10.0226019 45.5841747, 10.021021 45.5844654, 10.0207396 45.5845019, 10.0204962 45.5844872)",Via Bruno Buozzi,6,2,
73244558,tertiary,False,False,74.509,"LINESTRING (10.0226019 45.5841747, 10.0226148 45.5840953, 10.0226101 45.5840134, 10.0225583 45.5838807, 10.02245 45.5835179)",Via Alcide De Gasperi,6,2,
34888076,residential,False,True,168.487,"LINESTRING (10.0204962 45.5844872, 10.0207396 45.5845019, 10.021021 45.5844654, 10.0226019 45.5841747)",Via Bruno Buozzi,6,2,
34888052,residential,False,False,57.663,"LINESTRING (10.0233207 45.5840488, 10.0226019 45.5841747)",Via Caduti di Piazza Loggia,6,2,
34888052,residential,False,True,47.134,"LINESTRING (10.0233207 45.5840488, 10.0239021 45.58393)",Via Caduti di Piazza Loggia,6,2,
34888052,residential,False,False,72.589,"LINESTRING (10.0251188 45.5837124, 10.0242151 45.5838741)",Via Caduti di Piazza Loggia,6,2,
