osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,maxspeed,bridge
43868097,True,Via Monteclana,residential,False,76.07,,,"LINESTRING (10.2885926 45.5860259, 10.2883937 45.5866957)",,
25208902,False,Via Trento,secondary,False,70.366,2,SPBS237,"LINESTRING (10.2885926 45.5860259, 10.289421 45.586125, 10.2894837 45.5861333)",,
181315039,False,Via Brescia,secondary,True,186.76199999999997,2,SPBS237,"LINESTRING (10.2885926 45.5860259, 10.2885054 45.5860137, 10.287445 45.5858479, 10.287184 45.5858128, 10.286736 45.5857507, 10.2866759 45.5857422, 10.286244 45.5856808)",,
356374578,True,Via San Cesario,residential,False,67.7,,,"LINESTRING (10.2885926 45.5860259, 10.2887853 45.5855712, 10.2888764 45.5854527)",,
23134161,True,Via Carbonini,residential,False,63.497,,,"LINESTRING (10.2888764 45.5854527, 10.2890713 45.5854612, 10.2896881 45.5855097)",,
28130189,False,Via Sorelle Minola,residential,False,169.461,,,"LINESTRING (10.2888764 45.5854527, 10.2879426 45.5853415, 10.2875775 45.5852999, 10.2870895 45.585237, 10.2867337 45.5851823)",,
23201567,True,Via Cossoletti,residential,False,71.142,,,"LINESTRING (10.2896881 45.5855097, 10.2894837 45.5861333)",,
"[356374576, 356374575]",False,Via Carbonini,"['residential', 'unclassified']",False,136.447,,,"LINESTRING (10.2896881 45.5855097, 10.2898572 45.5855293, 10.2903222 45.5855832, 10.2914321 45.5855546)",,
25208902,False,Via Trento,secondary,True,70.366,2,SPBS237,"LINESTRING (10.2894837 45.5861333, 10.289421 45.586125, 10.2885926 45.5860259)",,
482694925,False,Via Trento,secondary,False,146.76200000000003,2,SPBS237,"LINESTRING (10.2894837 45.5861333, 10.2906269 45.5862869, 10.2907421 45.586304, 10.2911887 45.5863703, 10.2913326 45.5863932)",,
482694925,False,Via Trento,secondary,False,16.63,2,SPBS237,"LINESTRING (10.292843 45.5866062, 10.2930515 45.586639)",,
482694925,False,Via Trento,secondary,True,119.899,2,SPBS237,"LINESTRING (10.292843 45.5866062, 10.2913326 45.5863932)",,
32011115,False,Via Borano Traversa Seconda,residential,False,84.214,,,"LINESTRING (10.2865379 45.5905541, 10.285456 45.5905344)",,
32011115,False,Via Borano Traversa Seconda,residential,True,127.069,,,"LINESTRING (10.2865379 45.5905541, 10.2881708 45.5905679)",,
171751369,False,Via Borano Traversa Quarta,residential,False,83.93,,,"LINESTRING (10.2865379 45.5905541, 10.2865192 45.5900459, 10.2864969 45.5899037, 10.2864443 45.5898071)",,
32011115,False,Via Borano Traversa Seconda,residential,True,84.214,,,"LINESTRING (10.285456 45.5905344, 10.2865379 45.5905541)",,
32011118,False,Via Borano,residential,False,60.011,,,"LINESTRING (10.285456 45.5905344, 10.2852156 45.5900216)",,
32011118,False,Via Borano,residential,True,29.982,,,"LINESTRING (10.285456 45.5905344, 10.285573 45.5907913)",,
32011115,False,Via Borano Traversa Seconda,residential,False,181.835,,,"LINESTRING (10.285456 45.5905344, 10.2853838 45.5905428, 10.2847434 45.5905138, 10.2831566 45.5902789)",,
32011070,False,Via Fossato,residential,False,101.79500000000002,,,"LINESTRING (10.2835329 45.5895075, 10.283329 45.5887674, 10.2832867 45.5886084)",,
32011070,False,Via Fossato,residential,True,91.63600000000001,,,"LINESTRING (10.2835329 45.5895075, 10.2835146 45.5896094, 10.2833017 45.5899058, 10.2832043 45.5900652, 10.2831566 45.5902789)",,
32011118,False,Via Borano,residential,True,38.45,,,"LINESTRING (10.2835329 45.5895075, 10.2837262 45.5894842, 10.2840098 45.5894202)",,
25316888,False,Via della Fonte,residential,True,111.163,,,"LINESTRING (10.2832246 45.5868778, 10.2835812 45.5868516, 10.2846511 45.5868442)",,
32011070,False,Via Fossato,residential,True,192.539,,,"LINESTRING (10.2832246 45.5868778, 10.2832382 45.5869586, 10.2832537 45.5877124, 10.2832867 45.5886084)",,
181315039,False,Via Brescia,secondary,False,64.98,2,SPBS237,"LINESTRING (10.2847372 45.5854421, 10.2855498 45.5855766)",,
181315039,False,Via Brescia,secondary,True,74.557,2,SPBS237,"LINESTRING (10.2847372 45.5854421, 10.2838061 45.5852841)",,
292611947,False,Via Fanti d'Italia,residential,False,156.054,,,"LINESTRING (10.2847372 45.5854421, 10.2846832 45.5864219, 10.2846511 45.5868442)",,
292789951,False,Via Fanti d'Italia,unclassified,False,94.877,,,"LINESTRING (10.2846511 45.5868442, 10.2846379 45.5876974)",,
25316888,False,Via della Fonte,residential,False,111.163,,,"LINESTRING (10.2846511 45.5868442, 10.2835812 45.5868516, 10.2832246 45.5868778)",,
25316888,False,Via della Fonte,residential,True,168.459,,,"LINESTRING (10.2846511 45.5868442, 10.285637 45.5869834, 10.2857856 45.5870072, 10.2861848 45.5870696, 10.286651 45.5871361, 10.2867521 45.5871836)",,
292611947,False,Via Fanti d'Italia,residential,True,156.054,,,"LINESTRING (10.2846511 45.5868442, 10.2846832 45.5864219, 10.2847372 45.5854421)",,
25316888,False,Via della Fonte,residential,False,168.459,,,"LINESTRING (10.2867521 45.5871836, 10.286651 45.5871361, 10.2861848 45.5870696, 10.2857856 45.5870072, 10.285637 45.5869834, 10.2846511 45.5868442)",,
172619604,False,Via San Costanzo,residential,False,130.486,,,"LINESTRING (10.2867521 45.5871836, 10.2868298 45.5873206, 10.287023 45.5878366, 10.2871384 45.5883226)",,
