osmid,name,highway,oneway,reversed,length,geometry,lanes,access,maxspeed,bridge,junction,tunnel,width
202341928,Via Antonio Fradeletto,secondary,False,True,145.041,"LINESTRING (12.2459456 45.498588, 12.2460793 45.4985415, 12.2476224 45.4980223)",,,,,,,
"[202346852, 202346853]",Viale Giuseppe Garibaldi,tertiary,False,False,152.205,"LINESTRING (12.2459456 45.498588, 12.2458544 45.4984555, 12.2451819 45.4974612, 12.24509 45.4973584)",2,yes,,,,,
93318415,Via Circonvallazione,tertiary,False,True,62.862,"LINESTRING (12.2359888 45.4933158, 12.2359808 45.4938811)",2,,,,,,
"[537689205, 93318415]",Via Circonvallazione,tertiary,False,False,68.342,"LINESTRING (12.2359888 45.4933158, 12.2359875 45.4932688, 12.2359868 45.4932433, 12.2359843 45.4931522, 12.2359922 45.4930725, 12.2360102 45.4928898, 12.2360017 45.4927501, 12.2359997 45.492702)","['2', '3']",,50,,,,
46332594,Via Querini,residential,True,False,85.365,"LINESTRING (12.2392311 45.4912093, 12.239188 45.4911393, 12.2388181 45.4904983)",1,,,,,,
659529270,Via Giosuè Carducci,tertiary,False,False,35.714,"LINESTRING (12.2392311 45.4912093, 12.23933 45.491171, 12.2396286 45.4910496)",2,,,,,,
"[132766050, 1095900213]",Piazzale Donatori Di Sangue,tertiary,False,True,67.575,"LINESTRING (12.2392311 45.4912093, 12.2390994 45.4912626, 12.2390571 45.4912797, 12.2388634 45.4913579, 12.2387658 45.4913918, 12.2386759 45.4914074, 12.2386076 45.4914115, 12.2385095 45.4914209, 12.2384385 45.4914339)",2,,,,,,
"[49844801, 88230890, 49480598]","['Piazzetta Ventidue Marzo', 'Via Antonio Olivi']",residential,False,False,202.696,"LINESTRING (12.2411101 45.4907192, 12.2411507 45.4907577, 12.2414061 45.4911121, 12.2417005 45.4915465, 12.2418706 45.4917952, 12.2418902 45.4918243, 12.2420351 45.4920698, 12.2421078 45.4922357, 12.2421208 45.4922653, 12.2421472 45.492309, 12.2421736 45.4923448, 12.2421987 45.4923704)",,no,,,,,
112793817,Via Andrea Costa,residential,True,False,67.43,"LINESTRING (12.2411101 45.4907192, 12.2411293 45.4907136, 12.2411684 45.4907032, 12.2419168 45.4905003)",,,30,,,,
1031973160,Via Antonio Olivi,residential,False,True,17.228999999999996,"LINESTRING (12.2411101 45.4907192, 12.241088 45.490704, 12.2410665 45.4906911, 12.2410435 45.4906803, 12.2410102 45.4906666, 12.240973 45.4906533, 12.2409354 45.4906401, 12.240925 45.4906364)",,,,,,,
49261127,Via Cristoforo Colombo,tertiary,False,False,1.859,"LINESTRING (12.2463244 45.4934911, 12.246337 45.4935053)",,,,,,,
"[1233484716, 21640030]",Via Cristoforo Colombo,tertiary,False,"[False, True]",13.721,"LINESTRING (12.2463244 45.4934911, 12.2462628 45.4934101, 12.2462411 45.4933824)",,,,,,,
50722026,Viale San Marco,tertiary,False,False,19.672,"LINESTRING (12.2463244 45.4934911, 12.2464239 45.493447, 12.2464788 45.4934207, 12.2465333 45.493392)",,,,,,,
"[93318370, 868241363, 868241364, 1000522655]",Via Circonvallazione,tertiary,False,False,135.869,"LINESTRING (12.2361027 45.4964595, 12.2360515 45.4962706, 12.2360016 45.4960398, 12.235999 45.496028, 12.2359775 45.4958169, 12.2359778 45.4957741, 12.2359806 45.4952443)",2,,,yes,,,
111813384,Via Circonvallazione,tertiary,False,False,34.704,"LINESTRING (12.2361027 45.4964595, 12.2361371 45.4965655, 12.2362069 45.4967319, 12.2362191 45.4967606)",,,,,,,
64651320,Via Cristoforo Colombo,tertiary,False,False,83.503,"LINESTRING (12.2466792 45.493918, 12.2472115 45.4945697)",,,,,,,
"[371002686, 202415481, 1233484715, 202415486]",Via Cristoforo Colombo,tertiary,False,True,53.089,"LINESTRING (12.2466792 45.493918, 12.2466412 45.4938707, 12.2464742 45.4936621, 12.2464518 45.4936369, 12.2464101 45.493588, 12.2463592 45.4935303, 12.246337 45.4935053)",2,,,yes,,,
"[114806528, 5069267]","['Via Francesco Zanotto', 'Riviera Vincenzo Coronelli']",residential,True,False,256.167,"LINESTRING (12.2465333 45.493392, 12.2465392 45.4934069, 12.2465544 45.493438, 12.2465691 45.4934647, 12.246591 45.4935029, 12.2466238 45.4935539, 12.2466517 45.4935808, 12.2466997 45.4936079, 12.2467536 45.4936243, 12.2468155 45.493631, 12.2468951 45.4936338, 12.2469929 45.4936293, 12.2472486 45.4936051, 12.2475125 45.4935744, 12.247889 45.4935203, 12.2483647 45.4934443, 12.248043 45.4931242, 12.247699 45.4928023, 12.2476826 45.4927833, 12.247661 45.4927521, 12.2476494 45.4927418)",,,,,,,
50722026,Viale San Marco,tertiary,False,False,113.143,"LINESTRING (12.2465333 45.493392, 12.2465551 45.4933797, 12.2465698 45.4933712, 12.2467508 45.4932716, 12.2470764 45.4930879, 12.2475211 45.4928227, 12.2475306 45.492817, 12.2476494 45.4927418)",,,,,,,
50722026,Viale San Marco,tertiary,False,True,19.671999999999997,"LINESTRING (12.2465333 45.493392, 12.2464788 45.4934207, 12.2464239 45.493447, 12.2463244 45.4934911)",,,,,,,
979564639,Via Rosa,residential,False,False,16.703,"LINESTRING (12.2386416 45.4914818, 12.2384385 45.4914339)",,,,,,,
979564639,Via Rosa,residential,False,True,16.703,"LINESTRING (12.2384385 45.4914339, 12.2386416 45.4914818)",,,,,,,
111964566,Via Giosuè Carducci,tertiary,False,True,42.705,"LINESTRING (12.2384385 45.4914339, 12.2381521 45.4915082, 12.2380657 45.4915306, 12.2379667 45.4915563, 12.2379247 45.4915672)",2,,,,,,
"[132766050, 1095900213]",Piazzale Donatori Di Sangue,tertiary,False,False,67.57499999999999,"LINESTRING (12.2384385 45.4914339, 12.2385095 45.4914209, 12.2386076 45.4914115, 12.2386759 45.4914074, 12.2387658 45.4913918, 12.2388634 45.4913579, 12.2390571 45.4912797, 12.2390994 45.4912626, 12.2392311 45.4912093)",2,,,,,,
21401142,Via Spalti,unclassified,False,False,44.733000000000004,"LINESTRING (12.2467079 45.4963744, 12.2465746 45.4964998, 12.2463293 45.4966756)",,,,,,,
1088170866,Via Spalti,unclassified,True,False,21.381,"LINESTRING (12.2467079 45.4963744, 12.2467698 45.4962564, 12.2467632 45.49619)",1,,,,,,
48119936,Via Spalti,residential,True,False,57.868,"LINESTRING (12.24509 45.4973584, 12.2452967 45.497258, 12.2456873 45.4970495)",,,,,,,
"[202346852, 202346853]",Viale Giuseppe Garibaldi,tertiary,False,True,152.205,"LINESTRING (12.24509 45.4973584, 12.2451819 45.4974612, 12.2458544 45.4984555, 12.2459456 45.498588)",2,yes,,,,,
"[1232560987, 118598556]",Viale Giuseppe Garibaldi,residential,False,False,94.055,"LINESTRING (12.24509 45.4973584, 12.2450544 45.4973172, 12.2450388 45.4972945, 12.2445447 45.496604)",,,,,,,
21401142,Via Spalti,unclassified,False,True,44.733000000000004,"LINESTRING (12.2463293 45.4966756, 12.2465746 45.4964998, 12.2467079 45.4963744)",,,,,,,
