osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,junction
1002026887,True,Via Alfonso Pinzon,tertiary,30,False,17.367,,"LINESTRING (12.4743382 44.1420584, 12.4741498 44.1421366)",,
289895011,False,Via Rubicone,unclassified,,True,94.261,2,"LINESTRING (12.4714108 44.1433706, 12.4702299 44.1433929)",,
27943236,True,Via Amerigo Vespucci,unclassified,,False,114.211,,"LINESTRING (12.4714108 44.1433706, 12.4705501 44.1440906, 12.4704784 44.1441499)",,
289895011,False,Via Rubicone,unclassified,,False,12.754,2,"LINESTRING (12.4672545 44.1436805, 12.4673809 44.1436103)",,
24716671,False,Via Uso,unclassified,,True,126.09100000000001,,"LINESTRING (12.4672545 44.1436805, 12.4672207 44.1436661, 12.4668549 44.1435102, 12.4667222 44.1434762, 12.466355 44.1434808, 12.4657478 44.1434884)",,
289895011,False,Via Rubicone,unclassified,,True,18.959,2,"LINESTRING (12.4672545 44.1436805, 12.4671884 44.1437226, 12.4671406 44.1437454, 12.4670592 44.1437759)",,
24747351,True,Via Vittor Pisani,unclassified,,False,30.242,,"LINESTRING (12.4733889 44.1383877, 12.4732349 44.1386362)",,
186942907,True,Via Emilio Dandolo,unclassified,,False,29.56,,"LINESTRING (12.4731004 44.1383885, 12.4732349 44.1386362)",,
24747354,True,Via Emilio Dandolo,unclassified,,False,25.191000000000003,,"LINESTRING (12.4731004 44.1383885, 12.4731854 44.1384271, 12.4732956 44.1384217, 12.4733889 44.1383877)",,
27943217,False,Via Quinto Orazio Flacco,unclassified,,True,55.556,,"LINESTRING (12.472061 44.1378168, 12.4723284 44.1382781)",,
44595398,False,Via Toscanelli,residential,,True,85.2,,"LINESTRING (12.472061 44.1378168, 12.4710787 44.138117)",,
"[544344800, 24747354]",True,"['Via Emilio Dandolo', 'Via A. Doria']",unclassified,,False,150.198,,"LINESTRING (12.472061 44.1378168, 12.4726004 44.1375714, 12.4731004 44.1383885)",,
24747369,False,Via de Bernardi,unclassified,,False,59.427,,"LINESTRING (12.4723284 44.1382781, 12.471639 44.1384802)",,
27943217,False,Via Quinto Orazio Flacco,unclassified,,False,55.556,,"LINESTRING (12.4723284 44.1382781, 12.472061 44.1378168)",,
1126076606,True,Via Quinto Orazio Flacco,unclassified,,False,10.332,,"LINESTRING (12.4726395 44.1388148, 12.4725898 44.138729)",,
1126076607,False,Via Quinto Orazio Flacco,unclassified,,True,25.678,,"LINESTRING (12.4726395 44.1388148, 12.4726674 44.1388643, 12.4727601 44.1390289)",,
112412201,False,Via Properzio,unclassified,,False,8.833,,"LINESTRING (12.4693972 44.1394098, 12.4693089 44.1393619)",,
112412207,False,Via Properzio,unclassified,,False,44.888,,"LINESTRING (12.4693972 44.1394098, 12.4698392 44.1396595)",,
24747369,False,Via de Bernardi,unclassified,,True,208.95999999999998,,"LINESTRING (12.4693972 44.1394098, 12.47031 44.1388698, 12.4707531 44.1387399, 12.471639 44.1384802)",,
112412201,False,Via Properzio,unclassified,,True,29.462,,"LINESTRING (12.4690142 44.1392023, 12.4693089 44.1393619)",,
112412205,False,,unclassified,,False,108.764,,"LINESTRING (12.4690142 44.1392023, 12.4683284 44.1400476)",,
