osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,width,tunnel,access,junction
855866472,False,2,Via Arrigo Boito,primary,False,100.197,"LINESTRING (13.5394947 45.8027396, 13.5383908 45.8031159, 13.5383335 45.8031354)",,,,,,
9345932,False,2,Viale Giuseppe Verdi,primary,False,125.512,"LINESTRING (13.5303636 45.8056928, 13.5297177 45.8060083, 13.529052 45.8063545)",,,,,,
9345932,False,2,Viale Giuseppe Verdi,primary,True,115.388,"LINESTRING (13.5303636 45.8056928, 13.5305032 45.8056437, 13.5307658 45.8055512, 13.531181 45.8054147, 13.5314449 45.8053314, 13.5317199 45.8052688)",,,,,,
26730389,True,,Via Amilcare Ponchielli,residential,False,97.667,"LINESTRING (13.5303636 45.8056928, 13.5304177 45.8057489, 13.5306941 45.8060384, 13.5310098 45.8063635, 13.5310664 45.8064218)",,,,,,
806814713,False,2,Via Giacomo Matteotti,tertiary,False,63.551,"LINESTRING (13.5391218 45.8061985, 13.5383599 45.8064096)",50,,,,,
149393391,False,,Via delle Portanzie,residential,True,132.378,"LINESTRING (13.5391218 45.8061985, 13.5389398 45.8059813, 13.5387076 45.8056896, 13.5386123 45.8055629, 13.5385373 45.8054432, 13.5383572 45.8051362)",,,,,,
"[361451482, 26730430]",True,,"[""Largo dell'Arena"", ""Via dell'Arena""]",residential,False,67.009,"LINESTRING (13.5335061 45.8077681, 13.5331842 45.8076266, 13.5327782 45.807443)",,,,,,
28912423,True,,Via dei Rettori,residential,False,75.734,"LINESTRING (13.5335061 45.8077681, 13.5336864 45.8078655, 13.5339992 45.8081183, 13.5341993 45.8082447)",,,,,,
40096436,True,2,Via Fratelli Rosselli,tertiary,False,50.581999999999994,"LINESTRING (13.5335061 45.8077681, 13.5333812 45.8078713, 13.5331356 45.8081415)",50,,,,,
"[40096436, 40096437]",True,2,"[""Via Duca d'Aosta"", 'Via Fratelli Rosselli']",tertiary,False,95.51700000000001,"LINESTRING (13.5320553 45.809252, 13.5319808 45.80927, 13.5318977 45.8092843, 13.5316835 45.8092975, 13.5308339 45.8093496)",50,,,,,
28912131,False,,Corso del Popolo,residential,False,105.549,"LINESTRING (13.5348605 45.8092255, 13.5354599 45.8089707, 13.535959 45.8087788, 13.5359809 45.8087699, 13.5360443 45.8087622)",30,,,,,
722251186,False,2,Viale San Marco,tertiary,False,177.698,"LINESTRING (13.5360443 45.8087622, 13.5349879 45.8073439)",,,,,,
28912131,False,,Corso del Popolo,residential,True,105.549,"LINESTRING (13.5360443 45.8087622, 13.5359809 45.8087699, 13.535959 45.8087788, 13.5354599 45.8089707, 13.5348605 45.8092255)",30,,,,,
"[945839094, 1076907150]",True,,Via Enrico Toti,tertiary,False,16.476,"LINESTRING (13.5360443 45.8087622, 13.5361222 45.808771, 13.5362546 45.8087837)",,,,,,
217589871,False,,Via Giovanni Randaccio,tertiary,False,103.339,"LINESTRING (13.538113 45.80787, 13.5392336 45.8073665)",,,,,,
217589871,False,,Via Giovanni Randaccio,tertiary,True,14.712,"LINESTRING (13.538113 45.80787, 13.5379759 45.8079615)",,,,,,
722251186,False,2,Viale San Marco,tertiary,True,177.698,"LINESTRING (13.5349879 45.8073439, 13.5360443 45.8087622)",,,,,,
796686475,False,2,Viale San Marco,tertiary,False,136.978,"LINESTRING (13.5349879 45.8073439, 13.5342627 45.8063702, 13.5341736 45.8062506)",,,,,,
1073445490,True,2,Via Fratelli Rosselli,tertiary,False,69.829,"LINESTRING (13.5349879 45.8073439, 13.5348973 45.8073668, 13.5348456 45.8073816, 13.534825 45.807387, 13.5341451 45.8075657)",50,,,,,
1073546196,False,2,Via Giacomo Matteotti,tertiary,True,87.037,"LINESTRING (13.5349879 45.8073439, 13.5351036 45.8073118, 13.5360314 45.8070548)",50,,,,,
9345932,False,2,Viale Giuseppe Verdi,primary,False,129.13,"LINESTRING (13.529052 45.8063545, 13.5277116 45.8070441)",,,,,,
9345932,False,2,Viale Giuseppe Verdi,primary,True,125.512,"LINESTRING (13.529052 45.8063545, 13.5297177 45.8060083, 13.5303636 45.8056928)",,,,,,
"[149523445, 25304693, 149523446]",False,,Via Callisto Cosulich,residential,False,32.918,"LINESTRING (13.529052 45.8063545, 13.5289684 45.8062851, 13.5289016 45.806234, 13.5288654 45.8062091, 13.5287781 45.8061287)",,yes,,,,
149523444,True,,Via Nove Giugno,residential,False,134.81099999999998,"LINESTRING (13.529052 45.8063545, 13.5298305 45.8068937, 13.5302078 45.807155, 13.5302858 45.807209)",,,,,,
26730244,True,,Via Ponziana,residential,False,22.131999999999998,"LINESTRING (13.5287781 45.8061287, 13.5287078 45.8061168, 13.5286567 45.8060948, 13.5285615 45.8060112)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,False,14.600999999999999,"LINESTRING (13.5287781 45.8061287, 13.5287635 45.8060673, 13.528752 45.8059987)",,,,,,
"[25304693, 149523445, 149523446]",False,,Via Callisto Cosulich,residential,True,32.918,"LINESTRING (13.5287781 45.8061287, 13.5288654 45.8062091, 13.5289016 45.806234, 13.5289684 45.8062851, 13.529052 45.8063545)",,yes,,,,
801051273,False,,Via Gioachino Rossini,residential,False,263.233,"LINESTRING (13.5287781 45.8061287, 13.5303131 45.8053907, 13.5309843 45.8050846, 13.5310626 45.8050408, 13.531141 45.8049969, 13.5312154 45.8049145, 13.5312488 45.8048304, 13.5312922 45.8046493)",,,,,,
28831453,True,,Via Ponziana,residential,False,14.831,"LINESTRING (13.528752 45.8059987, 13.5285615 45.8060112)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,False,119.911,"LINESTRING (13.528752 45.8059987, 13.5287404 45.8057518, 13.5287158 45.8055417, 13.5286712 45.8053245, 13.5285478 45.8049327)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,True,14.600999999999999,"LINESTRING (13.528752 45.8059987, 13.5287635 45.8060673, 13.5287781 45.8061287)",,,,,,
28630490,False,,Via Giovanni Bonavia,residential,False,135.077,"LINESTRING (13.5285478 45.8049327, 13.5292314 45.8038153)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,False,61.024,"LINESTRING (13.5285478 45.8049327, 13.5282603 45.8044218)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,True,119.911,"LINESTRING (13.5285478 45.8049327, 13.5286712 45.8053245, 13.5287158 45.8055417, 13.5287404 45.8057518, 13.528752 45.8059987)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,True,11.321,"LINESTRING (13.5277289 45.8036058, 13.5277605 45.8037052)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,False,69.839,"LINESTRING (13.5277289 45.8036058, 13.527766 45.8034703, 13.5278629 45.8032882, 13.5281374 45.8030625)",,,,,,
72881547,True,,Via Callisto Cosulich,unclassified,False,21.566000000000003,"LINESTRING (13.5300818 45.801491, 13.5301288 45.8014038, 13.5301835 45.8013105)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,True,70.078,"LINESTRING (13.5300818 45.801491, 13.5299603 45.8015958, 13.5294998 45.8019732)",,,,,,
41503498,True,,Via Nino Bixio,tertiary,False,102.40299999999999,"LINESTRING (13.5302858 45.807209, 13.5304204 45.8071756, 13.5315302 45.8068997)",,,,,,
149523444,True,,Via Nove Giugno,residential,False,130.461,"LINESTRING (13.5302858 45.807209, 13.5303617 45.8072815, 13.5304595 45.8073749, 13.5307039 45.807651, 13.5311886 45.8081986)",,,,,,
778331627,False,,Viale San Marco,tertiary,False,99.573,"LINESTRING (13.5341736 45.8062506, 13.5335777 45.8054573)",,,,,,
149393356,False,,Via Giosuè Carducci,residential,False,91.965,"LINESTRING (13.5341736 45.8062506, 13.5343055 45.8062154, 13.5352819 45.8059554)",,,,,,
796686475,False,2,Viale San Marco,tertiary,True,136.978,"LINESTRING (13.5341736 45.8062506, 13.5342627 45.8063702, 13.5349879 45.8073439)",,,,,,
41503505,True,,Via Marzio Moro,residential,False,17.633,"LINESTRING (13.5380626 45.8077368, 13.5378539 45.8077999)",,,,,,
806814715,True,,Via Marzio Moro,residential,False,15.318,"LINESTRING (13.5380626 45.8077368, 13.538113 45.80787)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,True,77.517,"LINESTRING (13.5277951 45.8038047, 13.5282603 45.8044218)",,,,,,
1073529714,False,,Via Aquileia,residential,True,51.255,"LINESTRING (13.5277951 45.8038047, 13.5271778 45.8039699)",,,,,,
149523446,False,,Via Callisto Cosulich,residential,False,11.384,"LINESTRING (13.5277951 45.8038047, 13.527781 45.8037642, 13.5277605 45.8037052)",,,,,,
149523452,True,,Via Roma,residential,False,66.425,"LINESTRING (13.5301113 45.8093821, 13.5300767 45.8092833, 13.5300552 45.8092557, 13.5296691 45.8088774)",,,,,,
28013920,False,,Via Aquileia,residential,True,75.195,"LINESTRING (13.5268476 45.8039339, 13.5277605 45.8037052)",,,,,,
26730212,False,,Androna Aquileia,residential,False,66.353,"LINESTRING (13.5275085 45.8045203, 13.5271778 45.8039699)",,,,,,
801051273,False,,Via Gioachino Rossini,residential,False,9.159,"LINESTRING (13.5322523 45.8038028, 13.5323559 45.8037632)",,,,,,
149393368,True,,Viale Oscar Cosulich,primary,False,186.475,"LINESTRING (13.5322523 45.8038028, 13.5321433 45.803658, 13.5318173 45.8032248, 13.5312482 45.8024687, 13.5311346 45.8023178)",,,,,,
801051273,False,,Via Gioachino Rossini,residential,True,52.407,"LINESTRING (13.5322523 45.8038028, 13.5321371 45.8038492, 13.5320888 45.8038695, 13.5318937 45.8039517, 13.5316872 45.8040603)",,,,,,
801051273,False,,Via Gioachino Rossini,residential,False,34.766999999999996,"LINESTRING (13.5314466 45.8043237, 13.5315492 45.8041968, 13.5316872 45.8040603)",,,,,,
801051273,False,,Via Gioachino Rossini,residential,True,38.191,"LINESTRING (13.5314466 45.8043237, 13.5313618 45.8044723, 13.5312922 45.8046493)",,,,,,
26730230,True,,Via Gioachino Rossini,residential,False,52.155,"LINESTRING (13.5274656 45.8068136, 13.5269226 45.8070906)",,,,,,
28128001,True,,Via Gioachino Rossini,residential,False,82.659,"LINESTRING (13.5274656 45.8068136, 13.5283132 45.8063625)",,,,,,
26730212,False,,Androna Aquileia,residential,True,66.353,"LINESTRING (13.5271778 45.8039699, 13.5275085 45.8045203)",,,,,,
1073529714,False,,Via Aquileia,residential,False,51.255,"LINESTRING (13.5271778 45.8039699, 13.5277951 45.8038047)",,,,,,
28128001,True,,Via Gioachino Rossini,residential,False,44.435,"LINESTRING (13.5283132 45.8063625, 13.5287781 45.8061287)",,,,,,
149393354,True,,Via fratelli Fontanot,residential,False,135.35,"LINESTRING (13.5352819 45.8059554, 13.5360314 45.8070548)",,,,,,
149393355,True,,Via fratelli Fontanot,residential,False,112.057,"LINESTRING (13.5352819 45.8059554, 13.5346542 45.8050476)",,,,,,
149393356,False,,Via Giosuè Carducci,residential,False,82.68,"LINESTRING (13.5352819 45.8059554, 13.5362783 45.80569)",,,,,,
149393356,False,,Via Giosuè Carducci,residential,True,91.965,"LINESTRING (13.5352819 45.8059554, 13.5343055 45.8062154, 13.5341736 45.8062506)",,,,,,
149393354,True,,Via fratelli Fontanot,residential,False,181.967,"LINESTRING (13.5360314 45.8070548, 13.537053 45.8085282)",,,,,,
1073546196,False,2,Via Giacomo Matteotti,tertiary,False,87.037,"LINESTRING (13.5360314 45.8070548, 13.5351036 45.8073118, 13.5349879 45.8073439)",50,,,,,
1073546196,False,2,Via Giacomo Matteotti,tertiary,True,87.44800000000001,"LINESTRING (13.5360314 45.8070548, 13.5366149 45.8068931, 13.5370798 45.8067643)",50,,,,,
27991601,True,,Via Enrico Toti,tertiary,False,95.362,"LINESTRING (13.537053 45.8085282, 13.5373363 45.8083679, 13.5374866 45.8082724, 13.5379759 45.8079615)",,,3.2,,,
855866472,False,2,Via Arrigo Boito,primary,False,71.214,"LINESTRING (13.5343452 45.8045972, 13.5337856 45.8047918, 13.5335081 45.8048581)",,,,,,
855866472,False,2,Via Arrigo Boito,primary,True,71.8,"LINESTRING (13.5343452 45.8045972, 13.5348274 45.8044238, 13.5351676 45.8043001)",,,,,,
149393362,True,,Via Marziale,residential,False,20.305,"LINESTRING (13.5379759 45.8079615, 13.5378539 45.8077999)",,,,,,
217589871,False,,Via Giovanni Randaccio,tertiary,False,14.712,"LINESTRING (13.5379759 45.8079615, 13.538113 45.80787)",,,,,,
149393365,True,,Via Marziale,residential,False,61.088,"LINESTRING (13.5370798 45.8067643, 13.536708 45.8062799)",,,,,,
806814713,False,2,Via Giacomo Matteotti,tertiary,True,106.775,"LINESTRING (13.5370798 45.8067643, 13.5377825 45.8065696, 13.5378581 45.8065487, 13.5383599 45.8064096)",50,,,,,
1073546196,False,2,Via Giacomo Matteotti,tertiary,False,87.44800000000001,"LINESTRING (13.5370798 45.8067643, 13.5366149 45.8068931, 13.5360314 45.8070548)",50,,,,,
149393356,False,,Via Giosuè Carducci,residential,False,52.196,"LINESTRING (13.5362783 45.80569, 13.5369073 45.8055224)",,,,,,
149393356,False,,Via Giosuè Carducci,residential,True,82.68,"LINESTRING (13.5362783 45.80569, 13.5352819 45.8059554)",,,,,,
149393360,False,,Via Marziale,residential,False,122.082,"LINESTRING (13.5362783 45.80569, 13.5355141 45.80473)",,,,,,
149393360,False,,Via Marziale,residential,True,54.832,"LINESTRING (13.5351676 45.8043001, 13.5355141 45.80473)",,,,,,
855866472,False,2,Via Arrigo Boito,primary,False,71.8,"LINESTRING (13.5351676 45.8043001, 13.5348274 45.8044238, 13.5343452 45.8045972)",,,,,,
