osmid,name,highway,oneway,reversed,length,geometry,tunnel,junction,lanes,access,width,bridge
22995900,Via Canonico Lugaresi,tertiary,False,False,81.86099999999999,"LINESTRING (12.2369688 44.1341128, 12.2370251 44.134156, 12.2372813 44.1343598, 12.2373493 44.1344139, 12.237665 44.1346534)",,,,,,
22995900,Via Canonico Lugaresi,tertiary,False,True,55.296,"LINESTRING (12.2369688 44.1341128, 12.2369137 44.1340835, 12.2368586 44.1340641, 12.2367906 44.1340484, 12.236724 44.1340445, 12.2363 44.1340274)",,,,,,
23575203,Via Molino Palazzo,residential,False,False,98.444,"LINESTRING (12.2369688 44.1341128, 12.2368516 44.1338856, 12.2367433 44.1337064, 12.236616 44.1334696, 12.2365871 44.1332768)",,,,,,
22780502,Viale Jacopo Mazzoni,tertiary,False,False,50.9,"LINESTRING (12.2381617 44.1350464, 12.2382245 44.1351459, 12.2382661 44.1352305, 12.2383423 44.1354484, 12.238356 44.1354811)",,,,,,
22874045,Via del Tunnel,tertiary,True,False,74.565,"LINESTRING (12.2381617 44.1350464, 12.2382829 44.1351244, 12.2383461 44.1351585, 12.2383817 44.1351786, 12.2384256 44.1351885, 12.2385118 44.1352133, 12.2386366 44.1352218, 12.2387127 44.1352202, 12.238808 44.135208, 12.2388809 44.1351804, 12.2389793 44.1351221)",,,,,,
22995900,Via Canonico Lugaresi,tertiary,False,True,59.017,"LINESTRING (12.2381617 44.1350464, 12.2380937 44.1349858, 12.237665 44.1346534)",,,,,,
22890026,Via del Tunnel,tertiary,False,False,197.055,"LINESTRING (12.2392067 44.1334128, 12.2391973 44.1335075, 12.2392084 44.1336068, 12.2392432 44.1338184, 12.2392984 44.1341123, 12.2393264 44.1343743, 12.2393228 44.1344937, 12.2393041 44.1346174, 12.2392639 44.1347425, 12.2392013 44.1348651, 12.2389793 44.1351221)",,,,,,
"[22890026, 22874053, 22972070]",Via del Tunnel,tertiary,False,"[False, True]",224.962,"LINESTRING (12.2392067 44.1334128, 12.2392313 44.1333389, 12.2392577 44.1332992, 12.2392875 44.1332711, 12.2393322 44.1332337, 12.2394018 44.1331936, 12.2394882 44.1331608, 12.2395857 44.133138, 12.239872 44.1330959, 12.2405844 44.1330133, 12.2412104 44.1329323, 12.2417968 44.1328631)",yes,,,,,
23041366,Via Diavolessa,unclassified,False,False,228.88199999999998,"LINESTRING (12.2392067 44.1334128, 12.2391337 44.1333313, 12.2390702 44.1331745, 12.2390469 44.133095, 12.2390431 44.1330721, 12.2390518 44.1330495, 12.239075 44.133031, 12.2391055 44.1330205, 12.239154 44.1330153, 12.2393974 44.133023, 12.2394474 44.1330162, 12.2394807 44.1330016, 12.2394937 44.1329819, 12.2394912 44.1329583, 12.2394772 44.1329433, 12.2394606 44.1329337, 12.2393677 44.1328931, 12.2392004 44.1328357, 12.2390513 44.1327908, 12.2390197 44.1327754, 12.2390051 44.1327566, 12.2389954 44.1327337, 12.2390098 44.1327126, 12.239024 44.1327033, 12.2390542 44.132698, 12.2391046 44.1327051, 12.2392163 44.1327288, 12.2393373 44.1327601, 12.2396751 44.132847, 12.239744 44.1328629, 12.2398388 44.1328794, 12.2400211 44.1328991, 12.2401375 44.1329023)",,,,,,
168058207,Viale Jacopo Mazzoni,tertiary,False,False,79.20100000000001,"LINESTRING (12.2388245 44.1367004, 12.2389782 44.1369928, 12.2391491 44.1371553, 12.2393593 44.1372807)",,,,,,
168058207,Viale Jacopo Mazzoni,tertiary,False,True,90.674,"LINESTRING (12.2388245 44.1367004, 12.2386649 44.13631, 12.2385101 44.1359168)",,,,,,
22877618,Via Fra' Michelino,residential,True,False,18.612,"LINESTRING (12.2412083 44.1373751, 12.2412551 44.1374786, 12.2412803 44.1375343)",,,,,,
168058208,Viale Jacopo Mazzoni,tertiary,False,True,151.314,"LINESTRING (12.2412083 44.1373751, 12.2408453 44.1374268, 12.2404039 44.1374478, 12.2400765 44.13744, 12.2397901 44.1373979, 12.2395401 44.1373501, 12.2393593 44.1372807)",,,,,,
22780505,Rotonda Sandro Pertini,tertiary,True,False,55.05699999999999,"LINESTRING (12.2417968 44.1328631, 12.2419083 44.1328301, 12.2419613 44.13281, 12.2420111 44.1327847, 12.2420598 44.1327442, 12.2420839 44.1326828, 12.2421203 44.13248)",,,,,,
"[22890026, 22874053, 22972070]",Via del Tunnel,tertiary,False,"[False, True]",224.962,"LINESTRING (12.2417968 44.1328631, 12.2412104 44.1329323, 12.2405844 44.1330133, 12.239872 44.1330959, 12.2395857 44.133138, 12.2394882 44.1331608, 12.2394018 44.1331936, 12.2393322 44.1332337, 12.2392875 44.1332711, 12.2392577 44.1332992, 12.2392313 44.1333389, 12.2392067 44.1334128)",yes,,,,,
22780504,Rotonda Sandro Pertini,tertiary,True,False,8.494,"LINESTRING (12.2427204 44.132531, 12.2427018 44.1325749, 12.2426789 44.1326006)",,roundabout,,,,
