osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,bridge,width
390960016,True,2,Kerkewijk,tertiary,50,False,12.987,"LINESTRING (5.5494778 52.0188515, 5.5495383 52.0189622)",,,
6962090,True,,Gerard Doustraat,residential,,False,164.672,"LINESTRING (5.5467899 52.018999, 5.547094 52.0194408, 5.5473028 52.0197386, 5.5476524 52.020263, 5.5477158 52.0202924, 5.5477884 52.0203341)",,,
6962210,False,,Patrimoniumlaan,residential,,False,91.756,"LINESTRING (5.5467899 52.018999, 5.5463482 52.0191256, 5.5459191 52.0192345, 5.54555 52.019311)",,,
6922890,False,,Duizend Roeden,unclassified,30,True,18.008,"LINESTRING (5.5583983 52.0190721, 5.5582346 52.0189453)",,,
6922879,False,,Poortjesgoed,unclassified,30,False,20.250999999999998,"LINESTRING (5.5583983 52.0190721, 5.5584369 52.019134, 5.5584938 52.0192444)",,,
1068550304,True,,Rembrandtlaan,residential,50,False,5.814,"LINESTRING (5.5495383 52.0189622, 5.5494598 52.0189822)",,,
390960016,True,2,Kerkewijk,tertiary,50,False,163.43200000000002,"LINESTRING (5.5495383 52.0189622, 5.5496393 52.0191242, 5.5496748 52.019173, 5.5497972 52.0193313, 5.5498723 52.0194306, 5.5498914 52.0194525, 5.5504018 52.0201102, 5.5504406 52.0201601, 5.5505479 52.0202936)",,,
6923289,True,,Rembrandtlaan,unclassified,50,False,27.252,"LINESTRING (5.5491873 52.0190688, 5.5491999 52.0190119, 5.5492434 52.0189543, 5.5492843 52.0189187, 5.5493936 52.0188744)",,,
"[6923536, 1077825731, 196534100]",False,,Rembrandtlaan,"['unclassified', 'residential']",30,False,170.39599999999996,"LINESTRING (5.5491873 52.0190688, 5.5491646 52.0190916, 5.5490781 52.0191784, 5.5489299 52.0193266, 5.5488759 52.0193806, 5.5487364 52.0195121, 5.5486329 52.0196168, 5.5483697 52.0198561, 5.5483045 52.0199275, 5.5482323 52.0199877, 5.5480156 52.020158, 5.5477884 52.0203341)",,,
6922879,False,,Poortjesgoed,unclassified,30,False,32.502,"LINESTRING (5.5584938 52.0192444, 5.5585949 52.01953)",,,
