osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,width,tunnel
"[1020370493, 6487045, 743305951]",Hollanderdijk,unclassified,30,False,False,99.704,"LINESTRING (5.7954171 53.1962124, 5.7961577 53.1963921, 5.7962105 53.1964019, 5.7962834 53.1964135, 5.7965512 53.1964425, 5.7966502 53.1964549, 5.7968396 53.1964793)",,,,,
953953326,Hollanderdijk,unclassified,30,False,False,8.696,"LINESTRING (5.7968396 53.1964793, 5.796957 53.1965135)",,,,,
"[6487045, 1020370493, 743305951]",Hollanderdijk,unclassified,30,False,True,99.704,"LINESTRING (5.7968396 53.1964793, 5.7966502 53.1964549, 5.7965512 53.1964425, 5.7962834 53.1964135, 5.7962105 53.1964019, 5.7961577 53.1963921, 5.7954171 53.1962124)",,,,,
448345903,Oostergoweg,secondary,50,True,False,17.694000000000003,"LINESTRING (5.796483 53.1970574, 5.7966008 53.1970072, 5.7967079 53.1969734)",2,,,,
"[1095450632, 6489986, 679025254]",Schrans,tertiary,"['50', '30']",True,False,69.12100000000001,"LINESTRING (5.796483 53.1970574, 5.7965804 53.196955, 5.7966219 53.1969151, 5.7966582 53.1968732, 5.7966778 53.1968457, 5.7966937 53.1968218, 5.7967201 53.1967554, 5.7967405 53.1967018, 5.7967634 53.1966256, 5.796788 53.1965769, 5.7968396 53.1964793)","['1', '2']",,,,
6488965,Posthoornsteeg,residential,30,False,False,8.072,"LINESTRING (5.7986535 53.1970972, 5.7986426 53.1971695)",,,,,
"[1043846558, 1043846518, 6490063]",Baljéestraat,residential,30,False,False,60.95400000000001,"LINESTRING (5.7946196 53.1975861, 5.7946277 53.1976204, 5.7946446 53.1976934, 5.7946629 53.1977728, 5.7946669 53.1977901, 5.7946718 53.1978125, 5.7946885 53.1978887, 5.7947215 53.1980472, 5.79473 53.1980885, 5.7947386 53.1981296)",,,,,
"[1043846519, 1043846521, 6490063]",Baljéestraat,residential,30,False,True,64.984,"LINESTRING (5.7946196 53.1975861, 5.794599 53.1974931, 5.7945002 53.1970485, 5.7944908 53.1970068)",,,,,
"[1043846520, 376815220]",Van Swietenstraat,residential,30,False,True,120.41099999999999,"LINESTRING (5.7946196 53.1975861, 5.7944765 53.1975939, 5.7944559 53.1975951, 5.7941379 53.1976125, 5.7932748 53.1976576, 5.792896 53.1976775, 5.792819 53.1976815)",,,,,
"[1073578544, 395285145, 1055346032]",Klanderijstraat,residential,50,False,True,72.825,"LINESTRING (5.7976887 53.1976103, 5.7974177 53.1975906, 5.7972603 53.1975928, 5.7971244 53.1975968, 5.7967797 53.1976073, 5.796744 53.1976084, 5.7965984 53.1976138)",,,,,
771467957,,secondary,50,True,False,15.728000000000002,"LINESTRING (5.7893822 53.1976299, 5.7894356 53.197645, 5.7894759 53.1976708, 5.7894975 53.1977038, 5.7894973 53.1977391)",,roundabout,,,
6489985,Van Swietenstraat,residential,15,True,False,29.08,"LINESTRING (5.792383 53.1976883, 5.7924639 53.1976896, 5.7925863 53.1976906, 5.7926948 53.1976874, 5.792819 53.1976815)",,,,,
"[1160229208, 1148798056, 6490118]",Lange Marktstraat,tertiary,"['15', '30', '50']",False,True,194.25099999999998,"LINESTRING (5.792383 53.1976883, 5.7923513 53.1976655, 5.7922971 53.1976535, 5.7922424 53.1976484, 5.7921569 53.1976495, 5.7916025 53.1976761, 5.7906634 53.1977238, 5.7904465 53.1977331, 5.7899744 53.1977557, 5.7898234 53.1977554, 5.7897277 53.1977514, 5.7896783 53.1977493, 5.7896386 53.1977474, 5.7894973 53.1977391)",,,,,
6490176,Sophialaan,tertiary,15,False,True,64.603,"LINESTRING (5.792383 53.1976883, 5.7924104 53.1977135, 5.7924267 53.1977368, 5.7924247 53.1977787, 5.7923874 53.1979178, 5.7923689 53.1979866, 5.7923119 53.1982249, 5.7923042 53.198257)",,,,,
"[6490113, 525418233, 6490110]",Lange Marktstraat,secondary,50,True,False,42.304,"LINESTRING (5.78799 53.1979329, 5.7878736 53.1979744, 5.7877333 53.1980264, 5.7876247 53.1980676, 5.7875722 53.1980902, 5.7874767 53.1981527)",,,movable,,
"[972223813, 972223819, 972929163, 6490061, 860647568, 860642870]","['Snekerkade', 'Willemskade']","['unclassified', 'residential']",30,False,"[False, True]",279.0990000000001,"LINESTRING (5.78799 53.1979329, 5.788018 53.197967, 5.7880375 53.1980004, 5.7881192 53.1980519, 5.7881696 53.1980884, 5.7881915 53.1981042, 5.7883193 53.1982175, 5.7885521 53.198424, 5.7885731 53.198435, 5.7885995 53.1984418, 5.7886316 53.1984452, 5.788658 53.1984453, 5.7894413 53.1984049, 5.790122 53.1983698, 5.7902627 53.1983625, 5.7906517 53.1983424, 5.7916769 53.1982895, 5.7917223 53.1982872)",,,,,
"[6490065, 1043846559]",Willemskade,residential,30,False,False,82.995,"LINESTRING (5.7959798 53.1980645, 5.7954957 53.1980903, 5.7948234 53.1981252, 5.7947386 53.1981296)",,,,,
771467135,,secondary,50,True,False,6.411,"LINESTRING (5.7874767 53.1981527, 5.7874894 53.1981805, 5.7874871 53.1982093)",,roundabout,,,
"[1043846518, 1043846558, 6490063]",Baljéestraat,residential,30,False,True,60.95399999999999,"LINESTRING (5.7947386 53.1981296, 5.79473 53.1980885, 5.7947215 53.1980472, 5.7946885 53.1978887, 5.7946718 53.1978125, 5.7946669 53.1977901, 5.7946629 53.1977728, 5.7946446 53.1976934, 5.7946277 53.1976204, 5.7946196 53.1975861)",,,,,
"[6490065, 1043846559]",Willemskade,residential,30,False,True,82.995,"LINESTRING (5.7947386 53.1981296, 5.7948234 53.1981252, 5.7954957 53.1980903, 5.7959798 53.1980645)",,,,,
"[1043846560, 1043846561, 622454368, 6489983]",Willemskade,residential,"['15', '30']",False,True,162.777,"LINESTRING (5.7947386 53.1981296, 5.7946106 53.1981362, 5.7930604 53.1982177, 5.7928104 53.1982312, 5.7925214 53.1982458, 5.7924726 53.198248, 5.7923974 53.1982521, 5.7923493 53.1982545, 5.7923042 53.198257)",,,,,
6489024,Romkeslaan,residential,30,False,False,25.64,"LINESTRING (5.798884 53.1981439, 5.799196 53.1981804, 5.7992585 53.1981949)",,,,,
6488583,Romkeslaan,residential,30,False,False,96.31,"LINESTRING (5.7992585 53.1981949, 5.7989976 53.1989648, 5.7989895 53.1989925, 5.7989724 53.1990439)",,,,,
6489024,Romkeslaan,residential,30,False,True,25.64,"LINESTRING (5.7992585 53.1981949, 5.799196 53.1981804, 5.798884 53.1981439)",,,,,
"[1095450628, 1095450629, 1095450630, 6490163, 902000891]",Zuiderplein,secondary,50,True,False,95.899,"LINESTRING (5.7967597 53.1982266, 5.7967594 53.1981694, 5.7967536 53.1981466, 5.7967348 53.1981243, 5.7966585 53.1980553, 5.7965792 53.197973, 5.796542 53.197921, 5.7964901 53.1978442, 5.7964637 53.1977052, 5.7964507 53.1975804, 5.7964327 53.1974057)","['1', '4', '3']",,,,
287705816,Zuiderplein,secondary,50,True,False,21.528,"LINESTRING (5.7967597 53.1982266, 5.7968099 53.1981915, 5.7968578 53.1981741, 5.7969176 53.1981593, 5.7969739 53.1981532, 5.797042 53.1981529)",1,,,,
"[431378090, 6490173, 431378093]",Prins Hendrikbrug,tertiary,"['15', '30']",False,False,45.817,"LINESTRING (5.7923042 53.198257, 5.7922962 53.1982882, 5.7922738 53.1983817, 5.7922369 53.1985397, 5.792231 53.1985766, 5.7922332 53.198666)",,,yes,,
6490176,Sophialaan,tertiary,15,False,False,64.603,"LINESTRING (5.7923042 53.198257, 5.7923119 53.1982249, 5.7923689 53.1979866, 5.7923874 53.1979178, 5.7924247 53.1977787, 5.7924267 53.1977368, 5.7924104 53.1977135, 5.792383 53.1976883)",,,,,
"[622454368, 1043846561, 1043846560, 6489983]",Willemskade,residential,"['15', '30']",False,False,162.777,"LINESTRING (5.7923042 53.198257, 5.7923493 53.1982545, 5.7923974 53.1982521, 5.7924726 53.198248, 5.7925214 53.1982458, 5.7928104 53.1982312, 5.7930604 53.1982177, 5.7946106 53.1981362, 5.7947386 53.1981296)",,,,,
515659144,Willemskade,unclassified,30,True,False,101.817,"LINESTRING (5.7947898 53.1984936, 5.7932711 53.1985973)",,,,,
"[6490049, 6490051, 1044588086, 1044588087]","['Zuiderstraat', 'Zaailand']",unclassified,30,False,True,163.738,"LINESTRING (5.7947898 53.1984936, 5.7948524 53.1987944, 5.7949417 53.1988145, 5.7950063 53.1991299, 5.7950263 53.1992236, 5.7950498 53.1993188, 5.7956676 53.1992758, 5.7957545 53.1992697, 5.7958129 53.1992063, 5.7959886 53.1991907)",,,,,
"[6490052, 6490060]","['Beursplein', 'Willemskade']",unclassified,30,False,"[False, True]",154.50900000000001,"LINESTRING (5.7947898 53.1984936, 5.7958009 53.1984229, 5.7958831 53.1985566, 5.7959886 53.1991907)",,,,,
515659141,Willemskade,unclassified,30,False,True,69.556,"LINESTRING (5.7922332 53.198666, 5.7932711 53.1985973)",,,,,
6490058,Willemskade,unclassified,30,True,False,133.13400000000001,"LINESTRING (5.7922332 53.198666, 5.7920409 53.1986779, 5.791425 53.1987186, 5.7910347 53.1987447, 5.7907896 53.1987598, 5.7902464 53.1987964)",,,,,
6490171,Prins Hendrikstraat,tertiary,30,False,False,88.471,"LINESTRING (5.7922332 53.198666, 5.7922383 53.1987351, 5.7922583 53.1988531, 5.7923511 53.1993789, 5.7923536 53.199395, 5.7923634 53.1994577)",,,,,
"[431378090, 6490173, 431378093]",Prins Hendrikbrug,tertiary,"['15', '30']",False,True,45.817,"LINESTRING (5.7922332 53.198666, 5.792231 53.1985766, 5.7922369 53.1985397, 5.7922738 53.1983817, 5.7922962 53.1982882, 5.7923042 53.198257)",,,yes,,
6489717,Schoolstraat,residential,30,True,False,101.618,"LINESTRING (5.7902464 53.1987964, 5.7903119 53.1991573, 5.7903228 53.1992176, 5.7903486 53.1993443, 5.7903536 53.1993711, 5.7903756 53.1994809, 5.7904425 53.1996556, 5.7904596 53.1997002)",,,,,
6490058,Willemskade,unclassified,30,True,False,64.476,"LINESTRING (5.7902464 53.1987964, 5.7893685 53.1988519, 5.7892842 53.1988592)",,,,,
