osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,ref
7132132,Keenterstraat,unclassified,60,False,False,622.409,"LINESTRING (5.7013364 51.2349146, 5.7016495 51.2350492, 5.7017626 51.2351349, 5.70235 51.23558, 5.70273 51.23582, 5.70335 51.23617, 5.70345 51.23626, 5.70357 51.23644, 5.70367 51.23655, 5.70391 51.23671, 5.7047 51.23702, 5.70488 51.23711, 5.70515 51.23735, 5.70544 51.23749, 5.7060148 51.2376015, 5.70611 51.23762, 5.7064 51.23766, 5.70845 51.23769)",,,
"[7132257, 1184633099]",Bocholterweg,tertiary,"['60', '50']",False,False,208.433,"LINESTRING (5.7013364 51.2349146, 5.7000277 51.2360868, 5.6999295 51.2362144, 5.6999007 51.2362713, 5.6998648 51.2363674, 5.6998582 51.2365116)",,,
"[7132257, 1184633099]",Bocholterweg,tertiary,"['60', '50']",False,True,208.433,"LINESTRING (5.6998582 51.2365116, 5.6998648 51.2363674, 5.6999007 51.2362713, 5.6999295 51.2362144, 5.7000277 51.2360868, 5.7013364 51.2349146)",,,
7132262,Bocholterweg,tertiary,50,False,False,184.111,"LINESTRING (5.6998582 51.2365116, 5.6999621 51.23712, 5.7000151 51.237381, 5.7000297 51.237504, 5.7000563 51.2378391, 5.7000623 51.238161)",,,
7131414,Keenterstraat,unclassified,80,False,False,184.583,"LINESTRING (5.71092 51.23716, 5.71057 51.2373, 5.70933 51.23762, 5.70897 51.23768, 5.70867 51.2377, 5.70845 51.23769)",,,
"[7131399, 7131421, 7131423]",Keentersteeg,unclassified,"['50', '80']",False,False,221.45300000000003,"LINESTRING (5.71092 51.23716, 5.71106 51.23752, 5.7111982 51.2379429, 5.7113231 51.238605, 5.7113916 51.2387664, 5.7114621 51.2388989, 5.7115801 51.2391019)",,,
7131414,Keenterstraat,unclassified,80,False,True,184.583,"LINESTRING (5.70845 51.23769, 5.70867 51.2377, 5.70897 51.23768, 5.70933 51.23762, 5.71057 51.2373, 5.71092 51.23716)",,,
7132132,Keenterstraat,unclassified,60,False,True,622.4089999999999,"LINESTRING (5.70845 51.23769, 5.7064 51.23766, 5.70611 51.23762, 5.7060148 51.2376015, 5.70544 51.23749, 5.70515 51.23735, 5.70488 51.23711, 5.7047 51.23702, 5.70391 51.23671, 5.70367 51.23655, 5.70357 51.23644, 5.70345 51.23626, 5.70335 51.23617, 5.70273 51.23582, 5.70235 51.23558, 5.7017626 51.2351349, 5.7016495 51.2350492, 5.7013364 51.2349146)",,,
961333747,,primary,50,True,False,7.587,"LINESTRING (5.7001978 51.2383632, 5.7002073 51.2383968, 5.7001979 51.2384304)",1,roundabout,
961333751,Ringbaan Zuid,primary,70,True,False,28.811999999999998,"LINESTRING (5.7001978 51.2383632, 5.7003365 51.2383706, 5.7004272 51.2383807, 5.7006055 51.2384052)",1,,RING
961333752,Ringbaan West,primary,70,True,False,25.975,"LINESTRING (5.6999279 51.2384578, 5.6997522 51.2384752, 5.6996594 51.238484, 5.6995598 51.2384722)",1,,RING
