osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,tunnel,junction
6415132,Nordhornerstraat,unclassified,30,False,False,32.685,"LINESTRING (6.7468466 52.6567489, 6.747008 52.6567836, 6.7473034 52.656847)",,,,
6415237,Prinses Julianalaan,unclassified,30,False,False,67.647,"LINESTRING (6.7468466 52.6567489, 6.7468001 52.6568211, 6.7467804 52.6568517, 6.7465375 52.6573274)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,False,37.815,"LINESTRING (6.7395323 52.6567921, 6.7398989 52.6570494)",,,,
6415132,Nordhornerstraat,unclassified,30,False,True,32.685,"LINESTRING (6.7473034 52.656847, 6.747008 52.6567836, 6.7468466 52.6567489)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,True,37.815,"LINESTRING (6.7398989 52.6570494, 6.7395323 52.6567921)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,False,68.976,"LINESTRING (6.7398989 52.6570494, 6.7401276 52.6571823, 6.7407111 52.6574233)",,,,
6415047,Prinses Beatrixlaan,residential,30,False,False,55.733,"LINESTRING (6.7450386 52.6571029, 6.7449472 52.6571322, 6.7445414 52.6574951)",,,,
6415148,Prins Bernhardlaan,residential,30,False,False,44.488,"LINESTRING (6.7450386 52.6571029, 6.7451188 52.6571023, 6.7452285 52.6571129, 6.7456787 52.6571911)",,,,
6415160,Oranjewijk,residential,30,False,False,133.933,"LINESTRING (6.7450386 52.6571029, 6.7453604 52.6578375, 6.7454843 52.6582755)",,,,
6415148,Prins Bernhardlaan,residential,30,False,False,60.221,"LINESTRING (6.7456787 52.6571911, 6.7461034 52.6572751, 6.7464504 52.6573306, 6.7465375 52.6573274)",,,,
6415148,Prins Bernhardlaan,residential,30,False,True,44.488,"LINESTRING (6.7456787 52.6571911, 6.7452285 52.6571129, 6.7451188 52.6571023, 6.7450386 52.6571029)",,,,
6415159,Oranjewijk,residential,30,False,False,123.28599999999999,"LINESTRING (6.7456787 52.6571911, 6.7456328 52.657317, 6.7459792 52.658274)",,,,
6415148,Prins Bernhardlaan,residential,30,False,True,60.221,"LINESTRING (6.7465375 52.6573274, 6.7464504 52.6573306, 6.7461034 52.6572751, 6.7456787 52.6571911)",,,,
6415237,Prinses Julianalaan,unclassified,30,False,False,122.93799999999999,"LINESTRING (6.7465375 52.6573274, 6.7466145 52.6573911, 6.7466415 52.6574706, 6.7465089 52.65779, 6.7464168 52.6580157, 6.746345 52.6581013, 6.7462615 52.6581731, 6.7461228 52.6582337, 6.7459792 52.658274)",,,,
6415237,Prinses Julianalaan,unclassified,30,False,True,67.64699999999999,"LINESTRING (6.7465375 52.6573274, 6.7467804 52.6568517, 6.7468001 52.6568211, 6.7468466 52.6567489)",,,,
6415047,Prinses Beatrixlaan,residential,30,False,False,97.09700000000001,"LINESTRING (6.7445414 52.6574951, 6.7441431 52.6578549, 6.7440416 52.6579812, 6.7439866 52.6580951, 6.7439479 52.6582742)",,,,
6415047,Prinses Beatrixlaan,residential,30,False,True,55.733,"LINESTRING (6.7445414 52.6574951, 6.7449472 52.6571322, 6.7450386 52.6571029)",,,,
6415214,Oranjewijk,residential,30,False,False,91.059,"LINESTRING (6.7445414 52.6574951, 6.7447298 52.657597, 6.7449683 52.6582469)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,False,137.604,"LINESTRING (6.7407111 52.6574233, 6.7414427 52.6576896, 6.7418799 52.657843, 6.7423734 52.6580202, 6.74247 52.65805)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,True,68.976,"LINESTRING (6.7407111 52.6574233, 6.7401276 52.6571823, 6.7398989 52.6570494)",,,,
6415116,Gramsbergerstraat,unclassified,30,False,True,137.604,"LINESTRING (6.74247 52.65805, 6.7423734 52.6580202, 6.7418799 52.657843, 6.7414427 52.6576896, 6.7407111 52.6574233)",,,,
