osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,access,tunnel
284254727,Laan van de Heelmeesters,residential,False,False,15.577,"LINESTRING (5.1766677 52.2198372, 5.1767932 52.2199543)",,,,,
284254727,Laan van de Heelmeesters,residential,False,True,43.196999999999996,"LINESTRING (5.1766677 52.2198372, 5.1765945 52.2197932, 5.1764324 52.2197132, 5.1762494 52.2196729, 5.1761281 52.2196461)",,,,,
7001372,Havenstraat,tertiary,True,False,19.482,"LINESTRING (5.1676475 52.2198119, 5.1677369 52.2199445, 5.1677556 52.2199741)",1,50,,,
"[610403624, 7001186]",Koningsstraat,residential,True,False,64.374,"LINESTRING (5.1676475 52.2198119, 5.1677099 52.2197946, 5.1678177 52.2197923, 5.1685854 52.2198154)",,50,,,
7001186,Koningsstraat,residential,True,False,75.902,"LINESTRING (5.1685854 52.2198154, 5.1691372 52.2198645, 5.16968 52.21994)",,50,,,
7001186,Koningsstraat,residential,True,False,63.758,"LINESTRING (5.16968 52.21994, 5.1703818 52.2200989, 5.17055 52.22015)",,50,,,
7001186,Koningsstraat,residential,True,False,32.337,"LINESTRING (5.17055 52.22015, 5.1709827 52.2202696)",,50,,,
7001205,Havenstraat,tertiary,True,False,45.767,"LINESTRING (5.1678503 52.2201331, 5.1680282 52.22053)",1,50,,,
"[7001345, 610403638]",3e Oosterstraat,"['residential', 'living_street']",True,False,150.263,"LINESTRING (5.1678503 52.2201331, 5.1679202 52.2201348, 5.1682469 52.2201484, 5.1691304 52.220194, 5.16977 52.22024, 5.17004 52.22028)",,"['15', '50']",,,
7001465,Haven,living_street,False,False,15.179,"LINESTRING (5.1664632 52.2202255, 5.1666048 52.2203309)",,15,,,
7001468,2e Oosterstraat,living_street,False,False,31.135,"LINESTRING (5.17004 52.22028, 5.17004 52.22056)",,15,,,
7001186,Koningsstraat,residential,True,False,30.864,"LINESTRING (5.1709827 52.2202696, 5.1713986 52.2203797)",,50,,,
7001494,1e Oosterstraat,living_street,False,False,39.606,"LINESTRING (5.1709827 52.2202696, 5.17078 52.22047, 5.1707 52.22058)",,15,,,
