osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,ref,junction
"[386527971, 7415491, 229083343]",Hoofdstraat,residential,30,False,True,96.38,yes,"LINESTRING (4.5785426 52.2905572, 4.5785538 52.2905949, 4.5785872 52.2906747, 4.578616 52.2908209, 4.5786567 52.291028, 4.5786705 52.291383, 4.5786726 52.2914181)",,
316422119,Van den Endelaan,primary,50,False,False,29.598999999999997,,"LINESTRING (4.5751143 52.2908059, 4.5750462 52.290975, 4.5750419 52.291067)",N208,
"[1109618886, 600453399]",Van den Endelaan,residential,30,False,True,62.563,,"LINESTRING (4.5751143 52.2908059, 4.5750423 52.2907911, 4.5749848 52.290776, 4.5748909 52.290776, 4.574848 52.2908154, 4.5748104 52.29094, 4.5748512 52.2910651, 4.5749598 52.2910549, 4.5750419 52.291067)",,
7415533,Vinkenlaan,residential,30,False,True,37.416,,"LINESTRING (4.577567 52.2907779, 4.5774073 52.2904559)",,
287791644,Beekkade,unclassified,,False,True,54.205,,"LINESTRING (4.577567 52.2907779, 4.5783134 52.290607)",,
"[844096011, 7415502, 7415423]","['Onder de Toren', 'Kerkplein']","['unclassified', 'residential']",30,False,False,108.98400000000001,,"LINESTRING (4.5775611 52.2909243, 4.5776054 52.2910247, 4.577603 52.2910569, 4.5775879 52.2910852, 4.5775554 52.2911118, 4.5776099 52.2911597, 4.5776791 52.2913016, 4.5781217 52.2918083)",,
7415440,Beekkade,unclassified,,False,False,7.852,,"LINESTRING (4.5750419 52.291067, 4.5751573 52.2910648)",,
"[327779585, 7415595, 316422119]",Van den Endelaan,primary,50,False,False,147.187,yes,"LINESTRING (4.5750419 52.291067, 4.5750431 52.2911003, 4.5750587 52.2911366, 4.5751008 52.2912377, 4.5756628 52.2922479, 4.5756794 52.2923287)",N208,
316422119,Van den Endelaan,primary,50,False,True,29.598999999999997,,"LINESTRING (4.5750419 52.291067, 4.5750462 52.290975, 4.5751143 52.2908059)",N208,
"[1109618886, 600453399]",Van den Endelaan,residential,30,False,False,62.563,,"LINESTRING (4.5750419 52.291067, 4.5749598 52.2910549, 4.5748512 52.2910651, 4.5748104 52.29094, 4.574848 52.2908154, 4.5748909 52.290776, 4.5749848 52.290776, 4.5750423 52.2907911, 4.5751143 52.2908059)",,
7415345,Kerkstraat,residential,30,False,False,20.364,,"LINESTRING (4.5763886 52.2915954, 4.5763057 52.291597, 4.5761171 52.291662)",,
7415238,Raadhuisstraat,residential,30,False,False,32.733999999999995,,"LINESTRING (4.5795016 52.2915598, 4.5794726 52.2915853, 4.5794631 52.2916084, 4.5794688 52.2916326, 4.5794868 52.2916555, 4.5796936 52.2917968)",,
7415490,Raadhuisstraat,residential,30,False,True,58.883,,"LINESTRING (4.5795016 52.2915598, 4.5790443 52.2914999, 4.578851 52.2914734, 4.5786726 52.2914181)",,
"[7415345, 7415299]","['Kerkstraat', 'Van den Endelaan']",residential,30,False,False,85.303,,"LINESTRING (4.5761171 52.291662, 4.5757133 52.2918216, 4.5756868 52.2918446, 4.5756838 52.2918795, 4.5756963 52.2919074, 4.5760115 52.2922361)",,
7415345,Kerkstraat,residential,30,False,True,20.364,,"LINESTRING (4.5761171 52.291662, 4.5763057 52.291597, 4.5763886 52.2915954)",,
7415399,Onder de Toren,residential,30,False,True,44.97,,"LINESTRING (4.5761171 52.291662, 4.5759689 52.2914305, 4.5759977 52.2913664, 4.5759421 52.2912838)",,
7415285,Van Engelenlaan,unclassified,,False,True,59.672,,"LINESTRING (4.5738664 52.2917511, 4.5730697 52.2919759)",,
844444289,Van Engelenlaan,unclassified,,False,False,12.387,,"LINESTRING (4.5738664 52.2917511, 4.5740284 52.2917002)",,
7415285,Van Engelenlaan,unclassified,,False,False,86.077,,"LINESTRING (4.5738664 52.2917511, 4.5739411 52.291851, 4.5740399 52.2919983, 4.5743531 52.2924656)",,
7415293,Molenstraat,residential,30,False,True,151.219,,"LINESTRING (4.5781217 52.2918083, 4.5776455 52.2919115, 4.5766006 52.2921233, 4.5761131 52.2922132, 4.5760115 52.2922361)",,
174503659,Molenstraat,residential,30,False,True,36.679,,"LINESTRING (4.5781217 52.2918083, 4.5784278 52.2917245, 4.5786121 52.2916711)",,
