osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,lanes,junction
6800248,Schoolstraat,unclassified,False,False,53.219,,"LINESTRING (6.5248303 52.3035344, 6.52414 52.30376)",,,
6799739,Schoolstraat,residential,False,False,70.939,30,"LINESTRING (6.5248303 52.3035344, 6.5251109 52.3038983, 6.5252043 52.3040219, 6.5252902 52.3041064)",,,
6800144,Lentfersweg,residential,False,False,45.344,30,"LINESTRING (6.5269217 52.3036261, 6.5263337 52.3038185)",,,
548668006,Karel Doormanstraat,secondary,False,False,103.43599999999999,50,"LINESTRING (6.5269217 52.3036261, 6.5270041 52.3037004, 6.5278179 52.3043777)",RING,,
6800232,Entoshof,unclassified,False,False,74.536,,"LINESTRING (6.5147897 52.3036324, 6.5149096 52.3037029, 6.5150524 52.3038316, 6.5151578 52.3039951, 6.5152388 52.3041261, 6.5152267 52.3042231)",,,
"[6800231, 6800327]",,unclassified,False,False,76.546,,"LINESTRING (6.5147897 52.3036324, 6.5147962 52.3037554, 6.5147993 52.3038705, 6.5148503 52.3039671, 6.5149588 52.3040812, 6.5152267 52.3042231)",,,
6800310,Van den Broekestraat,residential,False,True,12.483,30,"LINESTRING (6.5204354 52.3037144, 6.5204568 52.3038259)",,,
6800248,Schoolstraat,unclassified,False,True,53.219,,"LINESTRING (6.52414 52.30376, 6.5248303 52.3035344)",,,
6800310,Van den Broekestraat,residential,False,False,12.483,30,"LINESTRING (6.5204568 52.3038259, 6.5204354 52.3037144)",,,
6800035,Van den Broekestraat,residential,False,False,101.15899999999999,30,"LINESTRING (6.5204568 52.3038259, 6.520481 52.3039382, 6.5204997 52.3040555, 6.5205574 52.3041588, 6.5206352 52.3044951, 6.5206245 52.3045894, 6.5206593 52.304723)",,,
6800242,Tuinstraat,residential,False,False,107.688,30,"LINESTRING (6.5204568 52.3038259, 6.521774 52.3040304, 6.5219984 52.304022)",,,
6800141,Wilhelminastraat,residential,False,False,84.099,30,"LINESTRING (6.51896 52.30382, 6.5190433 52.3045746)",,,
6800254,Tuinstraat,residential,True,False,101.774,30,"LINESTRING (6.51896 52.30382, 6.5204568 52.3038259)",,,
6800242,Tuinstraat,residential,False,True,107.688,30,"LINESTRING (6.5219984 52.304022, 6.521774 52.3040304, 6.5204568 52.3038259)",,,
6800260,Elsenerstraat,residential,False,False,163.266,30,"LINESTRING (6.5219984 52.304022, 6.5220225 52.3044512, 6.5220763 52.3050089, 6.5220977 52.3052713, 6.522099 52.3054009, 6.5220949 52.3054887)",,,
