osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,tunnel,bridge
7225184,True,Landsheerstraat,residential,False,181.37800000000001,"LINESTRING (4.7707803 51.5843044, 4.7711975 51.5848722, 4.7713435 51.5849185, 4.7714862 51.585109, 4.7714484 51.5852137, 4.771563 51.5853696, 4.7715727 51.5853968, 4.7715786 51.5854239, 4.7716222 51.585784)",,,,
7225507,False,Fellenoordstraat,secondary,False,57.346000000000004,"LINESTRING (4.7707803 51.5843044, 4.7705543 51.5843697, 4.7702673 51.5844525, 4.7700276 51.5845217)",50,,,
7224417,False,Markendaalseweg,residential,False,6.246,"LINESTRING (4.7744123 51.5844679, 4.7745026 51.5844705)",50,,,
7224416,True,Markendaalseweg,tertiary,False,65.982,"LINESTRING (4.7745026 51.5844705, 4.7744533 51.5850631)",50,,,
7224417,False,Markendaalseweg,residential,True,6.246,"LINESTRING (4.7745026 51.5844705, 4.7744123 51.5844679)",50,,,
7225182,True,Ernst Casimirstraat,residential,False,156.18,"LINESTRING (4.7700276 51.5845217, 4.770156 51.5847248, 4.77085 51.58583)",,,,
7225507,False,Fellenoordstraat,secondary,True,57.346000000000004,"LINESTRING (4.7700276 51.5845217, 4.7702673 51.5844525, 4.7705543 51.5843697, 4.7707803 51.5843044)",50,,,
"[7225510, 1252140447]",False,Fellenoordstraat,secondary,"[False, True]",64.097,"LINESTRING (4.7700276 51.5845217, 4.7695379 51.5846631, 4.7691803 51.5847562)",50,,,
7224222,False,Bleekstraat,residential,False,91.19,"LINESTRING (4.7758468 51.5845302, 4.7751903 51.5848073, 4.7750374 51.5849009, 4.7748801 51.585068)",,,,
"[7225510, 1252140447]",False,Fellenoordstraat,secondary,"[False, True]",64.097,"LINESTRING (4.7691803 51.5847562, 4.7695379 51.5846631, 4.7700276 51.5845217)",50,,,
7224224,False,Markendaalseweg,residential,True,6.848,"LINESTRING (4.7744533 51.5850631, 4.7743543 51.5850602)",50,,,
