osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,width,ref
6356160,Boukemahof,residential,30,False,False,42.584,"LINESTRING (6.6675076 53.4029745, 6.6676776 53.4032649, 6.6677384 53.403331)",,,,
6356161,Havendwarsweg,residential,30,False,False,69.284,"LINESTRING (6.673155 53.4033229, 6.6742 53.4033328)",,,,
6356277,Brouwerijstraat,residential,30,False,False,49.323,"LINESTRING (6.673155 53.4033229, 6.6731861 53.4033902, 6.6732094 53.4034405, 6.6732542 53.4035373, 6.6733529 53.4037505)",,,,
6356160,Boukemahof,residential,30,False,False,55.453,"LINESTRING (6.6677384 53.403331, 6.6675943 53.4036903, 6.66758 53.40376, 6.6676071 53.4038168)",,,,
6356160,Boukemahof,residential,30,False,True,42.584,"LINESTRING (6.6677384 53.403331, 6.6676776 53.4032649, 6.6675076 53.4029745)",,,,
6356161,Havendwarsweg,residential,30,False,True,69.284,"LINESTRING (6.6742 53.4033328, 6.673155 53.4033229)",,,,
6356071,Havendwarsweg,residential,,False,False,75.033,"LINESTRING (6.6742 53.4033328, 6.6741831 53.4033994, 6.6741518 53.4034194, 6.6733985 53.4037316, 6.6733529 53.4037505)",,,,
6356161,Havendwarsweg,residential,30,False,False,12.23,"LINESTRING (6.6742 53.4033328, 6.6742406 53.4033361, 6.6743821 53.4033504)",,,,
6356161,Havendwarsweg,residential,30,False,True,116.084,"LINESTRING (6.6761329 53.4033693, 6.6760702 53.4033687, 6.6759432 53.4033674, 6.6757923 53.4033659, 6.6753572 53.4033614, 6.675314 53.403361, 6.6749764 53.4033575, 6.6745035 53.4033527, 6.6743821 53.4033504)",,,,
6356456,Havenweg,secondary,30,False,False,93.296,"LINESTRING (6.6761329 53.4033693, 6.6761076 53.4037302, 6.6760814 53.4041045, 6.6760742 53.4042076)",,,,
6356071,Havendwarsweg,residential,,False,True,75.033,"LINESTRING (6.6733529 53.4037505, 6.6733985 53.4037316, 6.6741518 53.4034194, 6.6741831 53.4033994, 6.6742 53.4033328)",,,,
