osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,lanes,junction,bridge
7026919,Brouwerstraat,residential,30,False,False,86.50299999999999,"LINESTRING (5.2149882 52.3678561, 5.215089 52.3678675, 5.2154994 52.3679264, 5.2157005 52.3679608, 5.2159419 52.3679952, 5.2160438 52.3680018, 5.2161292 52.3680066, 5.2161887 52.36801, 5.2162338 52.3680076)",,,,
7026921,Lenthehof,residential,30,False,False,27.489,"LINESTRING (5.2135589 52.368154, 5.2135941 52.3681591, 5.2139528 52.3682112)",,,,
7026921,Lenthehof,residential,30,False,False,85.158,"LINESTRING (5.2139528 52.3682112, 5.2140032 52.3680699, 5.2136488 52.3680185, 5.2136136 52.3680134, 5.2135782 52.3680083, 5.2134176 52.367985, 5.2130133 52.3679263)",,,,
7026921,Lenthehof,residential,30,False,True,27.489,"LINESTRING (5.2139528 52.3682112, 5.2135941 52.3681591, 5.2135589 52.368154)",,,,
"[310082514, 313060738]",Kampenweg,residential,30,False,True,240.16700000000003,"LINESTRING (5.2139528 52.3682112, 5.2138278 52.3685618, 5.2136225 52.3690905, 5.2135615 52.3691138, 5.2124224 52.3689535, 5.2122544 52.3689299, 5.2121738 52.3691088, 5.2121179 52.3691877, 5.2120678 52.3692478, 5.2120363 52.3693002)",,,,
7027022,Blekerstraat,residential,30,False,True,32.783,"LINESTRING (5.2149528 52.3688169, 5.2154205 52.3688902)",,,,
7027022,Blekerstraat,residential,30,False,False,32.783,"LINESTRING (5.2154205 52.3688902, 5.2149528 52.3688169)",,,,
7027022,Blekerstraat,residential,30,False,True,152.096,"LINESTRING (5.2154205 52.3688902, 5.2159878 52.3689761, 5.2164671 52.3690411, 5.2165407 52.3690511, 5.2165687 52.3690549, 5.2166115 52.3690589, 5.2174471 52.3691362, 5.2176174 52.369152)",,,,
"[279780813, 279780816, 263713972, 120529850, 7027099]","['Chirurgijnhof', 'Wagenmakerbaan']","['unclassified', 'residential']",30,False,"[False, True]",214.74,"LINESTRING (5.2154205 52.3688902, 5.2152061 52.369388, 5.2149089 52.3693446, 5.2148532 52.3694572, 5.2147816 52.369602, 5.214765 52.3696406, 5.2148556 52.3696565, 5.2156596 52.369776, 5.2162031 52.3698616, 5.2162282 52.3698646)",building_passage,,,
603896140,Hospitaaldreef,secondary,50,True,False,10.522,"LINESTRING (5.2178255 52.369541, 5.2176721 52.3695545)",,1,,
"[263797984, 55199379]","['Krakelingtunnel', 'Hospitaaldreef']",secondary,50,False,"[False, True]",218.13500000000002,"LINESTRING (5.2178255 52.369541, 5.2206642 52.3699618, 5.2209443 52.3700118)",yes,2,,
7027022,Blekerstraat,residential,30,False,False,152.096,"LINESTRING (5.2176174 52.369152, 5.2174471 52.3691362, 5.2166115 52.3690589, 5.2165687 52.3690549, 5.2165407 52.3690511, 5.2164671 52.3690411, 5.2159878 52.3689761, 5.2154205 52.3688902)",,,,
