osmid,name,highway,maxspeed,oneway,reversed,length,lanes,bridge,geometry,access,width,tunnel,ref
7402685,Nieuwe Gracht,tertiary,50,False,False,4.42,,,"LINESTRING (4.6416634 52.3841991, 4.6416159 52.3842263)",,,,
"[7402656, 7402695, 519370544, 101380632, 7402649]","['Koudenhorn', 'Zandersbrug', 'Hooimarkt']",tertiary,50,True,False,65.73299999999999,1,yes,"LINESTRING (4.6416634 52.3841991, 4.6417224 52.3842474, 4.6417534 52.3842723, 4.6418862 52.3843745, 4.6419629 52.3844286, 4.6420278 52.3844702, 4.6421191 52.3845225, 4.642205 52.3845597, 4.6423273 52.3846255)",,,,
7402685,Nieuwe Gracht,tertiary,50,False,True,4.42,,,"LINESTRING (4.6416159 52.3842263, 4.6416634 52.3841991)",,,,
7402218,Kraaienhorst,residential,30,True,False,154.67,,,"LINESTRING (4.6339413 52.3845294, 4.6331077 52.3845707, 4.632482 52.3846049, 4.6322251 52.3841332)",,,,
7402516,Nassauplein,tertiary,50,False,False,53.623999999999995,2,,"LINESTRING (4.6339413 52.3845294, 4.6340098 52.3847102, 4.6340901 52.3850028)",,,,
7402517,Nieuwe Gracht,residential,30,True,False,228.537,,,"LINESTRING (4.6420659 52.3845583, 4.6420163 52.3845818, 4.6418702 52.3846459, 4.6417456 52.384682, 4.6415106 52.3847131, 4.6394433 52.384894, 4.6388643 52.3849447, 4.6387925 52.3849523)",,,,
"[7402650, 519370540, 101380706, 7402647]","['Koudenhorn', 'Zandersbrug', 'Hooimarkt']",tertiary,50,True,False,47.948,1,yes,"LINESTRING (4.6420659 52.3845583, 4.6419832 52.3845055, 4.641914 52.3844568, 4.6418395 52.3843967, 4.6417072 52.384294, 4.6416695 52.3842671, 4.6416159 52.3842263)",,,,
"[7402520, 491400865, 491400863]",Jansbrug,residential,30,False,False,38.849000000000004,,yes,"LINESTRING (4.638605 52.3846225, 4.6386495 52.3847078, 4.6387311 52.3848637, 4.6387925 52.3849523)",,,,
902493582,Hooimarkt,tertiary,50,False,True,82.184,2,,"LINESTRING (4.643367 52.3850044, 4.6423273 52.3846255)",,,,
902493583,Hooimarkt,tertiary,50,True,False,17.502,,,"LINESTRING (4.643367 52.3850044, 4.64355 52.3850441, 4.6436059 52.3850627)",,,,
7402499,Nieuwe Gracht,residential,30,True,False,176.111,,,"LINESTRING (4.6360377 52.3848527, 4.6384867 52.3846346, 4.638605 52.3846225)",,,,
7402455,Nieuwe Gracht,residential,30,True,False,183.156,,,"LINESTRING (4.6387925 52.3849523, 4.6361989 52.3851938, 4.6361243 52.3851991)",,,,
7402531,Jansweg,residential,30,True,False,73.73599999999999,1,,"LINESTRING (4.6387925 52.3849523, 4.6390649 52.3854797, 4.6390795 52.3855067, 4.6391214 52.3855843)",,,,
"[7402520, 491400865, 491400863]",Jansbrug,residential,30,False,True,38.849000000000004,,yes,"LINESTRING (4.6387925 52.3849523, 4.6387311 52.3848637, 4.6386495 52.3847078, 4.638605 52.3846225)",,,,
"[7402464, 7402538, 7402460]",Nassaubrug,tertiary,50,False,False,40.799,2,yes,"LINESTRING (4.6340901 52.3850028, 4.6340978 52.3850931, 4.6341409 52.3853005, 4.6341533 52.3853675)",,,,
7402465,Nieuwe Gracht,residential,30,True,False,133.23000000000002,,,"LINESTRING (4.6340901 52.3850028, 4.635949 52.3848591, 4.6360377 52.3848527)",,,,
7402516,Nassauplein,tertiary,50,False,True,53.623999999999995,2,,"LINESTRING (4.6340901 52.3850028, 4.6340098 52.3847102, 4.6339413 52.3845294)",,,,
7402693,Friese Varkenmarkt,tertiary,50,True,False,63.739999999999995,,,"LINESTRING (4.6436059 52.3850627, 4.6439661 52.3851773, 4.6444263 52.3853414)",,,,
584326831,Parklaan,residential,50,True,False,6.301,,,"LINESTRING (4.6435563 52.3851106, 4.6436059 52.3850627)",,,,
902493584,Hooimarkt,tertiary,50,True,False,17.492,,,"LINESTRING (4.6435563 52.3851106, 4.6435066 52.385089, 4.643367 52.3850044)",,,,
7402475,Nieuwe Gracht,residential,30,True,False,157.2,,,"LINESTRING (4.6318049 52.3852234, 4.6318876 52.3852023, 4.6339829 52.3850123, 4.6340901 52.3850028)",,,,
"[157529650, 7404934, 157529655]","['Kinderhuisvest', 'Manegebrug']",tertiary,50,False,False,39.252,,yes,"LINESTRING (4.6318049 52.3852234, 4.6318179 52.385272, 4.6318389 52.3853386, 4.6318702 52.3854653, 4.6318777 52.385573)",,,,
7402457,Nieuwe Gracht,residential,30,True,False,135.073,,,"LINESTRING (4.6361243 52.3851991, 4.6343979 52.3853469, 4.6342466 52.3853591, 4.6341533 52.3853675)",,,,
"[101380649, 7402635, 101380598]","['Kruisbrug', 'Kruisweg', 'Kruisstraat']",residential,30,True,False,38.965,,yes,"LINESTRING (4.6361243 52.3851991, 4.6361012 52.3851105, 4.6360565 52.3849271, 4.6360377 52.3848527)",,,,
7402534,Ripperdapark,residential,50,False,False,25.686,,,"LINESTRING (4.6418493 52.3853438, 4.6418894 52.3855735)",,,,
7402456,Parklaan,residential,50,True,False,121.31,1,,"LINESTRING (4.6418493 52.3853438, 4.6424069 52.3852986, 4.6433058 52.3852194, 4.6434409 52.3851883, 4.643493 52.3851578, 4.6435141 52.3851451, 4.6435563 52.3851106)",,,,
