osmid,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,lanes,width,bridge,junction
7626829,Kaaskadestraat,residential,False,False,42.781,"LINESTRING (3.5703987 51.4436422, 3.5706557 51.4437281, 3.5709299 51.4438376)",,,,,,
7626379,Torenstraat,residential,False,False,83.678,"LINESTRING (3.5729316 51.4436311, 3.5726828 51.4438991, 3.5725182 51.4440708, 3.5724003 51.4441901, 3.5723138 51.4442776)",,,,,,
"[988954435, 7626830]",Coosje Buskenstraat,residential,False,False,145.24300000000002,"LINESTRING (3.5690911 51.4436989, 3.5701873 51.4443479, 3.5703255 51.4444578, 3.5704531 51.444547, 3.5705847 51.4446121)",30,,,,,
7626829,Kaaskadestraat,residential,False,True,42.781,"LINESTRING (3.5709299 51.4438376, 3.5706557 51.4437281, 3.5703987 51.4436422)",,,,,,
7626881,Molenstraat,living_street,False,False,32.896,"LINESTRING (3.5709299 51.4438376, 3.5707807 51.4439607, 3.5706572 51.4440795)",15,,,,,
7626506,Kleine Kerkstraat,residential,True,False,53.244,"LINESTRING (3.5768897 51.4438269, 3.576823 51.4438871, 3.5764458 51.4442177)",30,,,,,
7626581,Slijkstraat,residential,True,False,31.471,"LINESTRING (3.5701939 51.4438948, 3.5703987 51.4436422)",30,,,,,
7626878,Gasthuisstraat,residential,False,False,38.116,"LINESTRING (3.5701939 51.4438948, 3.5706572 51.4440795)",30,,,,,
7626878,Gasthuisstraat,residential,False,True,35.694,"LINESTRING (3.5701939 51.4438948, 3.5697956 51.4436913)",30,,,,,
7626563,Spuistraat,residential,False,False,25.574,"LINESTRING (3.571317 51.44401, 3.5711136 51.4442019)",30,,,,,
"[7626377, 7626526]",Bussestraat,residential,False,False,48.682,"LINESTRING (3.571317 51.44401, 3.5714564 51.4439953, 3.5715673 51.4440034, 3.5717825 51.4440782, 3.5718342 51.4440962, 3.5719566 51.4441432)",30,,,,,
7626505,Wagenaarstraat,residential,False,False,37.59,"LINESTRING (3.5759908 51.4440337, 3.5764458 51.4442177)",,,,,,
410603100,Vrouwestraat,residential,False,False,30.262999999999998,"LINESTRING (3.5759908 51.4440337, 3.5758656 51.4441352, 3.575838 51.4441554, 3.5757132 51.4442436)",,,,,,
7626878,Gasthuisstraat,residential,False,True,38.116,"LINESTRING (3.5706572 51.4440795, 3.5701939 51.4438948)",30,,,,,
7626881,Molenstraat,living_street,False,True,32.896,"LINESTRING (3.5706572 51.4440795, 3.5707807 51.4439607, 3.5709299 51.4438376)",15,,,,,
7626883,Dam,residential,False,False,34.435,"LINESTRING (3.5706572 51.4440795, 3.5710192 51.4441766, 3.5711136 51.4442019)",,,,,,
7626840,Kommedijk,residential,False,False,124.85500000000002,"LINESTRING (3.5688566 51.4440147, 3.5689498 51.4441094, 3.569223 51.4442761, 3.569435 51.4444546, 3.5696681 51.4446494, 3.5698241 51.4447732, 3.5699043 51.4448435, 3.569914 51.4449079)",,,,,,
7626505,Wagenaarstraat,residential,False,False,31.412,"LINESTRING (3.5764458 51.4442177, 3.5767993 51.4443945)",,,,,,
7626505,Wagenaarstraat,residential,False,True,37.59,"LINESTRING (3.5764458 51.4442177, 3.5759908 51.4440337)",,,,,,
7626563,Spuistraat,residential,False,True,25.574,"LINESTRING (3.5711136 51.4442019, 3.571317 51.44401)",30,,,,,
7626883,Dam,residential,False,True,34.435,"LINESTRING (3.5711136 51.4442019, 3.5710192 51.4441766, 3.5706572 51.4440795)",,,,,,
7626911,Spuistraat,residential,False,True,58.587,"LINESTRING (3.5711136 51.4442019, 3.5708349 51.4444296, 3.5707096 51.4445308, 3.570693 51.444544, 3.5705847 51.4446121)",30,,,,,
"[828858308, 7626494]",Vrijgang,residential,False,False,90.222,"LINESTRING (3.5757132 51.4442436, 3.5755773 51.444344, 3.5755179 51.4443787, 3.5754398 51.4444067, 3.5753268 51.4444406, 3.5752003 51.4444744, 3.5746544 51.4445948, 3.5745824 51.4446126)",,,,,,
410603100,Vrouwestraat,residential,False,True,30.263,"LINESTRING (3.5757132 51.4442436, 3.575838 51.4441554, 3.5758656 51.4441352, 3.5759908 51.4440337)",,,,,,
7626848,Kenau Hasselaarstraat,residential,False,False,69.136,"LINESTRING (3.568675 51.4442858, 3.568367 51.4443816, 3.5680767 51.4444906, 3.5678356 51.4446164)",,,,,,
7626377,Bussestraat,residential,False,True,28.917,"LINESTRING (3.5723138 51.4442776, 3.5719566 51.4441432)",,,,,,
7626381,Bussestraat,residential,False,False,46.7,"LINESTRING (3.5723138 51.4442776, 3.5728871 51.4444983)",,,,,,
7626379,Torenstraat,residential,False,True,83.678,"LINESTRING (3.5723138 51.4442776, 3.5724003 51.4441901, 3.5725182 51.4440708, 3.5726828 51.4438991, 3.5729316 51.4436311)",,,,,,
"[7626380, 141682310]","['Schutterijstraat', 'Korte Zelke']",residential,True,False,127.28,"LINESTRING (3.573368 51.4442973, 3.5738866 51.4440457, 3.5737637 51.4439372, 3.5729316 51.4436311)",,,,,,
7626522,Schutterijstraat,residential,False,False,40.13,"LINESTRING (3.573368 51.4442973, 3.5732323 51.4443548, 3.5730515 51.4444315, 3.5728871 51.4444983)",,,,,,
7626381,Bussestraat,residential,False,True,46.7,"LINESTRING (3.5728871 51.4444983, 3.5723138 51.4442776)",,,,,,
7626383,Schutterijstraat,residential,False,True,27.486,"LINESTRING (3.5728871 51.4444983, 3.5725736 51.4446497)",,,,,,
7626522,Schutterijstraat,residential,False,True,40.13,"LINESTRING (3.5728871 51.4444983, 3.5730515 51.4444315, 3.5732323 51.4443548, 3.573368 51.4442973)",,,,,,
7626383,Schutterijstraat,residential,False,False,64.17,"LINESTRING (3.5717729 51.4443599, 3.5725736 51.4446497)",,,,,,
1221533797,Schutterijstraat,residential,False,True,15.026,"LINESTRING (3.5717729 51.4443599, 3.5716684 51.4444783)",,,,,,
7626383,Schutterijstraat,residential,False,True,65.41,"LINESTRING (3.5717729 51.4443599, 3.5715517 51.4442853, 3.5713388 51.4445248, 3.5714392 51.4445594, 3.5715577 51.4446038)",,,,,,
"[429340506, 429340503, 7626495]",Schutterijstraat,residential,True,False,27.253,"LINESTRING (3.5717729 51.4443599, 3.571812 51.4443135, 3.5719014 51.4442073, 3.5719566 51.4441432)",,building_passage,,,,
7626911,Spuistraat,residential,False,False,58.587,"LINESTRING (3.5705847 51.4446121, 3.570693 51.444544, 3.5707096 51.4445308, 3.5708349 51.4444296, 3.5711136 51.4442019)",30,,,,,
7626968,Spuistraat,residential,False,True,57.275,"LINESTRING (3.5705847 51.4446121, 3.5704767 51.44468, 3.5703443 51.4447485, 3.5700606 51.4448604, 3.569914 51.4449079)",30,,2,,,
"[988954435, 7626830]",Coosje Buskenstraat,residential,False,True,145.243,"LINESTRING (3.5705847 51.4446121, 3.5704531 51.444547, 3.5703255 51.4444578, 3.5701873 51.4443479, 3.5690911 51.4436989)",30,,,,,
