osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,width,lanes,ref
"[7347368, 7347332, 7347376]",Kuringen,unclassified,30,False,False,48.174,yes,"LINESTRING (4.602942 51.6408234, 4.6030527 51.6409296, 4.6032014 51.6410904, 4.6032864 51.6411997)",,,,
7347162,Schuttersweg,living_street,15,False,False,17.832,,"LINESTRING (4.60594 51.64092, 4.6060069 51.6410749)",,,,
7347117,Gildelaan,residential,30,False,False,183.91400000000002,,"LINESTRING (4.60594 51.64092, 4.60575 51.64095, 4.6055404 51.6410363, 4.6052342 51.6411624, 4.6051936 51.6411791, 4.60507 51.64123, 4.60492 51.64129, 4.60466 51.64136, 4.604479 51.6413943, 4.6036354 51.641546, 4.6035216 51.641576)",,,,
7347117,Gildelaan,residential,30,False,True,54.015,,"LINESTRING (4.60594 51.64092, 4.6063273 51.6408341, 4.6064568 51.6408147, 4.6066866 51.6407757)",,,,
7347162,Schuttersweg,living_street,15,False,True,17.832,,"LINESTRING (4.6060069 51.6410749, 4.60594 51.64092)",,,,
7347162,Schuttersweg,living_street,15,False,False,230.22,,"LINESTRING (4.6060069 51.6410749, 4.6058751 51.6410984, 4.6059267 51.6412098, 4.6060653 51.6415087, 4.6062037 51.6418073, 4.6062636 51.6419365, 4.6063973 51.6419127, 4.6065162 51.6418914, 4.606456 51.6417616, 4.606318 51.641464, 4.606179 51.6411641, 4.6061277 51.6410533, 4.6060069 51.6410749)",,,,
7347162,Schuttersweg,living_street,15,False,True,230.22000000000003,,"LINESTRING (4.6060069 51.6410749, 4.6061277 51.6410533, 4.606179 51.6411641, 4.606318 51.641464, 4.606456 51.6417616, 4.6065162 51.6418914, 4.6063973 51.6419127, 4.6062636 51.6419365, 4.6062037 51.6418073, 4.6060653 51.6415087, 4.6059267 51.6412098, 4.6058751 51.6410984, 4.6060069 51.6410749)",,,,
7347117,Gildelaan,residential,30,False,True,183.91400000000002,,"LINESTRING (4.6035216 51.641576, 4.6036354 51.641546, 4.604479 51.6413943, 4.60466 51.64136, 4.60492 51.64129, 4.60507 51.64123, 4.6051936 51.6411791, 4.6052342 51.6411624, 4.6055404 51.6410363, 4.60575 51.64095, 4.60594 51.64092)",,,,
7347332,Kuringen,unclassified,30,False,False,34.813,,"LINESTRING (4.6035216 51.641576, 4.6036046 51.6417463, 4.6036691 51.6418754)",,,,
7347332,Kuringen,unclassified,30,False,True,44.951,,"LINESTRING (4.6035216 51.641576, 4.6034613 51.6414676, 4.60338 51.64132, 4.6032864 51.6411997)",,,,
1239042266,Pastoor van Kessellaan,tertiary,50,True,False,42.008,,"LINESTRING (4.6080161 51.6417712, 4.6074585 51.6419228)",,,,
"[7335582, 1239042263]","['Pastoor van Kessellaan', 'Stationslaan']",tertiary,50,False,"[False, True]",103.208,,"LINESTRING (4.6080161 51.6417712, 4.60839 51.64167, 4.6091178 51.6414182, 4.6092269 51.6413777, 4.6092822 51.641371, 4.609353 51.6413678)",,,,
7335325,Neerhofstraat,residential,50,False,True,6.367,,"LINESTRING (4.6074585 51.6419228, 4.6074352 51.6418674)",,,,
"[583982669, 7335325]",Neerhofstraat,residential,"['50', '30']",False,False,210.826,,"LINESTRING (4.6074585 51.6419228, 4.6074777 51.6419803, 4.6075201 51.6420599, 4.6075862 51.6421165, 4.60806 51.64234, 4.6086768 51.6426108, 4.60875 51.6426429, 4.6091261 51.6428309, 4.6097104 51.6431605)",,,,
1239042265,Pastoor van Kessellaan,tertiary,50,True,False,46.94799999999999,,"LINESTRING (4.6074585 51.6419228, 4.6072756 51.6419578, 4.6071365 51.6419761, 4.6067923 51.6420023)",,,,
7347255,Molenbergstraat,residential,30,False,False,29.351,,"LINESTRING (4.60183 51.64204, 4.60218 51.64219)",,,,
7347133,Molenbergstraat,residential,30,False,True,141.89000000000001,,"LINESTRING (4.60183 51.64204, 4.6022225 51.6416995, 4.6025001 51.6414397, 4.6025756 51.6414081, 4.602653 51.6413876, 4.6028491 51.6413457, 4.6032214 51.6412238, 4.6032864 51.6411997)",,,,
7347255,Molenbergstraat,residential,30,False,True,125.85900000000001,,"LINESTRING (4.60183 51.64204, 4.60167 51.64197, 4.6015611 51.6419313, 4.601491 51.6419553, 4.6013068 51.6420186, 4.60091 51.64216, 4.6008927 51.6421773, 4.60088 51.64219, 4.6012285 51.642565)",,,,
7347255,Molenbergstraat,residential,30,False,True,29.351,,"LINESTRING (4.60218 51.64219, 4.60183 51.64204)",,,,
7347251,Molenbergstraat,residential,30,False,False,78.44399999999999,,"LINESTRING (4.60218 51.64219, 4.6020996 51.6422503, 4.6020648 51.6422745, 4.6019008 51.642331, 4.6012285 51.642565)",,,,
"[7347257, 7347255]",Molenbergstraat,residential,"['30', '50']",False,False,78.831,,"LINESTRING (4.60218 51.64219, 4.6025929 51.6423753, 4.6026828 51.6424208, 4.6027519 51.6424995, 4.602846 51.6426224, 4.6029155 51.6427071)",,,,
