osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,lanes,junction
7099079,Narva,residential,30,False,False,7.674,"LINESTRING (5.097389 51.8894906, 5.0974986 51.8894769)",,,,
7099079,Narva,residential,30,False,True,55.971,"LINESTRING (5.097389 51.8894906, 5.0965882 51.889586)",,,,
7099029,Narva,residential,30,False,False,33.711,"LINESTRING (5.0974986 51.8894769, 5.0975788 51.889776)",,,,
7099079,Narva,residential,30,False,True,7.674,"LINESTRING (5.0974986 51.8894769, 5.097389 51.8894906)",,,,
7099071,Sundsvall,residential,30,False,False,28.882,"LINESTRING (5.0961675 51.8895929, 5.0965882 51.889586)",,,,
7099135,Sundsvall,residential,30,False,False,39.122,"LINESTRING (5.0961675 51.8895929, 5.0957482 51.8896683, 5.0957117 51.8896849, 5.0956473 51.8897219)",,,,
7099071,Sundsvall,residential,30,False,True,28.882,"LINESTRING (5.0965882 51.889586, 5.0961675 51.8895929)",,,,
7099079,Narva,residential,30,False,False,55.971,"LINESTRING (5.0965882 51.889586, 5.097389 51.8894906)",,,,
"[97812867, 7099022, 7099023]",Archangel,residential,30,False,False,56.248999999999995,"LINESTRING (5.0965882 51.889586, 5.0966536 51.889833, 5.0966566 51.8898457, 5.0967004 51.8899963, 5.0967281 51.8900844)",yes,,,
7099135,Sundsvall,residential,30,False,True,39.122,"LINESTRING (5.0956473 51.8897219, 5.0957117 51.8896849, 5.0957482 51.8896683, 5.0961675 51.8895929)",,,,
7099028,Bohemen,residential,30,False,False,57.355,"LINESTRING (5.0987438 51.8896752, 5.0995747 51.8896197)",,,,
7099055,Levanger,residential,30,False,False,202.94099999999997,"LINESTRING (5.0987438 51.8896752, 5.0987008 51.8896279, 5.0986984 51.8896108, 5.0986576 51.8893265, 5.0987289 51.8893097, 5.0986866 51.8890505, 5.09954 51.8889999, 5.0996004 51.889303, 5.099557 51.8893682, 5.0995319 51.8894164, 5.0995629 51.8895616, 5.0995747 51.8896197)",,,,
7099028,Bohemen,residential,30,False,True,56.903999999999996,"LINESTRING (5.0987438 51.8896752, 5.0987913 51.889953, 5.0987652 51.8899888, 5.0987192 51.8900038, 5.0984597 51.8900207)",,,,
7099028,Bohemen,residential,30,False,True,9.043,"LINESTRING (5.0996482 51.8896872, 5.0995747 51.8896197)",,,,
7099163,Skönvik,residential,30,False,False,69.07199999999999,"LINESTRING (5.0996482 51.8896872, 5.0996567 51.8897695, 5.0996778 51.8899744, 5.0996798 51.8899935, 5.0996225 51.890036, 5.0996608 51.8902389, 5.0996714 51.8902932)",,,,
7099029,Narva,residential,30,False,True,33.711,"LINESTRING (5.0975788 51.889776, 5.0974986 51.8894769)",,,,
7100464,Groote Steiger,residential,30,False,False,38.476,"LINESTRING (5.0937826 51.8900816, 5.0937526 51.890139, 5.0936124 51.8904113)",,,,
7099028,Bohemen,residential,30,False,False,56.903999999999996,"LINESTRING (5.0984597 51.8900207, 5.0987192 51.8900038, 5.0987652 51.8899888, 5.0987913 51.889953, 5.0987438 51.8896752)",,,,
7099028,Bohemen,residential,30,False,True,118.26400000000001,"LINESTRING (5.0984597 51.8900207, 5.0979856 51.8900486, 5.097868 51.8900562, 5.0976325 51.8900717, 5.0970621 51.8901107, 5.0967483 51.8901428)",,,,
7099041,Skönvik,residential,,False,False,42.756,"LINESTRING (5.0984597 51.8900207, 5.0984692 51.8900744, 5.0985165 51.8904036)",,,,
7100454,Singel,residential,30,False,False,108.90799999999999,"LINESTRING (5.0912901 51.8902085, 5.0910994 51.8901326, 5.0910902 51.8901289, 5.0910269 51.8901002, 5.0909637 51.8900757, 5.0908977 51.8900523, 5.0908362 51.8900414, 5.0907959 51.8900452, 5.090765 51.8900482, 5.0907463 51.8900513, 5.0906961 51.8900599, 5.090642 51.8900724, 5.0905773 51.8900942, 5.090516 51.8901181, 5.0904647 51.8901454, 5.0903898 51.8902, 5.0901507 51.8904882)",,,,
"[225975721, 7100572]",Kerkstraat,residential,30,True,False,36.370999999999995,"LINESTRING (5.0912901 51.8902085, 5.0912782 51.8901514, 5.091232 51.8900967, 5.0911 51.89, 5.0910733 51.8899203)",,,,
212473120,Oranjeplein,residential,30,False,True,54.327,"LINESTRING (5.0912901 51.8902085, 5.0912335 51.8902132, 5.0911905 51.8902248, 5.091123 51.8902765, 5.0908199 51.8905817)",,,,
1105447498,Kerkstraat,residential,30,False,True,12.331,"LINESTRING (5.0912901 51.8902085, 5.0913203 51.8902132, 5.0913505 51.8902235, 5.0913872 51.8902459, 5.0914153 51.8902803)",,,,
7099022,Archangel,residential,30,False,True,6.64,"LINESTRING (5.0967483 51.8901428, 5.0967281 51.8900844)",,,,
7099028,Bohemen,residential,30,False,False,118.26400000000001,"LINESTRING (5.0967483 51.8901428, 5.0970621 51.8901107, 5.0976325 51.8900717, 5.097868 51.8900562, 5.0979856 51.8900486, 5.0984597 51.8900207)",,,,
7099063,Archangel,residential,30,False,False,68.36,"LINESTRING (5.0967483 51.8901428, 5.0967871 51.8902522, 5.0968093 51.8907548)",,,,
7100306,Westwal,residential,30,False,False,103.33,"LINESTRING (5.0914153 51.8902803, 5.09104 51.8906864, 5.0906693 51.8910875)",,,,
7100563,Kerkstraat,residential,30,True,False,52.821,"LINESTRING (5.0914153 51.8902803, 5.0914376 51.8902687, 5.0914763 51.8902644, 5.0915158 51.8902625, 5.0915523 51.8902716, 5.0920987 51.8904553)",,,,
1105447498,Kerkstraat,residential,30,False,False,12.331,"LINESTRING (5.0914153 51.8902803, 5.0913872 51.8902459, 5.0913505 51.8902235, 5.0913203 51.8902132, 5.0912901 51.8902085)",,,,
