osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,lanes
6865972,Kreytierstraat,residential,30,False,False,20.091,"LINESTRING (5.9729348 51.9583384, 5.9726846 51.9584326)",,
6866040,Van der Hoevensstraat,residential,30,False,False,31.924,"LINESTRING (5.9665286 51.958426, 5.9667563 51.9585235, 5.9669 51.9585988)",,
6865972,Kreytierstraat,residential,30,False,False,54.631,"LINESTRING (5.9726846 51.9584326, 5.9719955 51.9586797)",,
6865972,Kreytierstraat,residential,30,False,True,20.091,"LINESTRING (5.9726846 51.9584326, 5.9729348 51.9583384)",,
6865930,Willem-Alexanderstraat,residential,30,False,False,123.383,"LINESTRING (5.9726846 51.9584326, 5.9729565 51.9587664, 5.9730174 51.9588343, 5.9731239 51.958848, 5.9732873 51.9588024, 5.9739873 51.9585897)",,
6865929,Wolter Visscherstraat,residential,30,False,False,91.38300000000001,"LINESTRING (5.9651423 51.9584868, 5.9654045 51.9586628, 5.9655386 51.9587148, 5.9660711 51.9590723)",,
6865929,Wolter Visscherstraat,residential,30,False,True,77.447,"LINESTRING (5.9669 51.9585988, 5.9660711 51.9590723)",,
6866040,Van der Hoevensstraat,residential,30,False,False,77.045,"LINESTRING (5.9669 51.9585988, 5.9676851 51.9590948)",,
6866040,Van der Hoevensstraat,residential,30,False,True,31.924,"LINESTRING (5.9669 51.9585988, 5.9667563 51.9585235, 5.9665286 51.958426)",,
6865930,Willem-Alexanderstraat,residential,30,False,True,123.38299999999998,"LINESTRING (5.9739873 51.9585897, 5.9732873 51.9588024, 5.9731239 51.958848, 5.9730174 51.9588343, 5.9729565 51.9587664, 5.9726846 51.9584326)",,
6866047,Vredenburgstraat,residential,30,False,False,116.56400000000001,"LINESTRING (5.9682307 51.9587421, 5.9684224 51.958839, 5.96876 51.95971)",,
6866083,Klapstraat,tertiary,50,False,False,26.768,"LINESTRING (5.9682307 51.9587421, 5.9681886 51.9587697, 5.9679633 51.9589176)",,
6865972,Kreytierstraat,residential,30,False,True,54.631,"LINESTRING (5.9719955 51.9586797, 5.9726846 51.9584326)",,
6865917,Vaalmanstraat,residential,30,False,False,166.913,"LINESTRING (5.9719955 51.9586797, 5.97212 51.95905, 5.97249 51.96001, 5.9726217 51.9601194)",,
6865972,Kreytierstraat,residential,30,False,False,127.628,"LINESTRING (5.9719955 51.9586797, 5.9715934 51.958851, 5.9709827 51.9591108, 5.97044 51.95931)",,
6866083,Klapstraat,tertiary,50,False,False,27.416,"LINESTRING (5.9679633 51.9589176, 5.9676851 51.9590948)",,
6866083,Klapstraat,tertiary,50,False,True,26.768,"LINESTRING (5.9679633 51.9589176, 5.9681886 51.9587697, 5.9682307 51.9587421)",,
6865929,Wolter Visscherstraat,residential,30,False,False,77.447,"LINESTRING (5.9660711 51.9590723, 5.9669 51.9585988)",,
6865929,Wolter Visscherstraat,residential,30,False,True,91.38300000000001,"LINESTRING (5.9660711 51.9590723, 5.9655386 51.9587148, 5.9654045 51.9586628, 5.9651423 51.9584868)",,
6866052,Wolter Visscherstraat,residential,30,False,False,66.162,"LINESTRING (5.9660711 51.9590723, 5.9657565 51.959252, 5.9657435 51.9592636, 5.9657386 51.9592768, 5.9657391 51.9592884, 5.965747 51.9592999, 5.9660475 51.9595085)",,
6866040,Van der Hoevensstraat,residential,30,False,True,77.045,"LINESTRING (5.9676851 51.9590948, 5.9669 51.9585988)",,
6866083,Klapstraat,tertiary,50,False,True,27.416,"LINESTRING (5.9676851 51.9590948, 5.9679633 51.9589176)",,
6866083,Klapstraat,tertiary,50,False,False,48.168,"LINESTRING (5.9676851 51.9590948, 5.9672845 51.9593592, 5.9672053 51.9594114)",,
6865924,'t Slag,residential,30,False,False,206.654,"LINESTRING (5.97044 51.95931, 5.97105 51.96089, 5.97113 51.96099, 5.9711613 51.9610105, 5.9712665 51.9610796)",,
6865972,Kreytierstraat,residential,30,False,False,123.97200000000001,"LINESTRING (5.97044 51.95931, 5.9695287 51.9595835, 5.96876 51.95971)",,
