osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,width,junction,bridge
6778067,True,Hennegats,residential,30,False,82.735,,"LINESTRING (5.8339521 50.8603356, 5.8349343 50.860747)",,,
6778259,False,Neerhem,secondary,50,False,95.21,2,"LINESTRING (5.8339521 50.8603356, 5.8334763 50.8607703, 5.8334 50.86084, 5.8331467 50.8610232)",,,
6766502,False,Wethouder Paulssenlaan,residential,30,False,81.155,,"LINESTRING (5.83685 50.86034, 5.837209 50.8607095, 5.8374867 50.8609485)",,,
6766670,False,Oosterbeekstraat,residential,30,False,175.31,,"LINESTRING (5.83685 50.86034, 5.8355908 50.8613889, 5.8353415 50.8615966)",,,
"[6778185, 6778060, 6778103]",False,"['Thibaltstraat', 'Berkelplein']",residential,30,False,134.053,,"LINESTRING (5.8349343 50.860747, 5.8344965 50.861109, 5.8344816 50.8611486, 5.8345051 50.8611805, 5.83455 50.86122, 5.8352432 50.8615498, 5.8353415 50.8615966)",,,
6766502,False,Wethouder Paulssenlaan,residential,30,True,81.155,,"LINESTRING (5.8374867 50.8609485, 5.837209 50.8607095, 5.83685 50.86034)",,,
"[6766585, 6766577, 6766713]",False,"['Louis Eliasstraat', 'Betsy Perklaan']",residential,30,"[False, True]",228.247,,"LINESTRING (5.8374867 50.8609485, 5.8375437 50.8608885, 5.8383457 50.8604762, 5.838432 50.8604559, 5.83885 50.86077, 5.8388777 50.86081, 5.8388612 50.8608545, 5.8387579 50.8609642, 5.8387227 50.8609934, 5.8381146 50.8614647)",,,
6766669,False,Wethouder Paulssenlaan,residential,30,False,72.424,,"LINESTRING (5.8374867 50.8609485, 5.837837 50.8612151, 5.8381146 50.8614647)",,,
6766676,False,Louis Eliasstraat,residential,30,False,147.76999999999998,,"LINESTRING (5.8374867 50.8609485, 5.8364552 50.8618129, 5.83622 50.86201)",,,
6778259,False,Neerhem,secondary,50,True,95.21000000000001,2,"LINESTRING (5.8331467 50.8610232, 5.8334 50.86084, 5.8334763 50.8607703, 5.8339521 50.8603356)",,,
6778279,True,Berkelplein,secondary,50,False,83.77,1,"LINESTRING (5.8331467 50.8610232, 5.8331457 50.8610842, 5.8331507 50.861112, 5.833161 50.8611348, 5.8331888 50.8611574, 5.8332193 50.861175, 5.8336206 50.8613747, 5.8338396 50.8614837, 5.8339511 50.8615355)",3.4,,
6778101,False,Neerhem,residential,50,False,93.346,,"LINESTRING (5.833066 50.8611386, 5.8329437 50.8611724, 5.8326677 50.861378, 5.8323747 50.8616173, 5.8322444 50.8617811)",5,,
