osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,bridge
755629425,secondary,80,roundabout,True,False,26.525000000000002,"LINESTRING (6.8827318 53.0765981, 6.8827846 53.0766338, 6.8828162 53.0766775, 6.8828235 53.076725, 6.8828056 53.0767715, 6.8827644 53.0768123)",,,,
755629428,secondary,80,roundabout,True,False,20.828,"LINESTRING (6.8813148 53.0780129, 6.8812434 53.0780317, 6.8811659 53.0780368, 6.8810894 53.0780277, 6.8810209 53.0780054)",,,,
30851930,secondary,80,,False,False,186.161,"LINESTRING (6.8810209 53.0780054, 6.8793609 53.0793502)",Dalweg 12,,,
30851931,secondary,80,roundabout,True,False,28.417,"LINESTRING (6.8810209 53.0780054, 6.8809625 53.0779682, 6.8809274 53.0779216, 6.8809194 53.0778708, 6.8809393 53.0778211, 6.8809851 53.077778)",,,,
30851930,secondary,80,,False,True,186.161,"LINESTRING (6.8793609 53.0793502, 6.8810209 53.0780054)",Dalweg 12,,,
30851930,secondary,80,,False,False,470.085,"LINESTRING (6.8793609 53.0793502, 6.8787828 53.0798362, 6.8779875 53.0805023, 6.8760172 53.0821153, 6.8755988 53.0824728, 6.8752699 53.0827891)",Dalweg 12,,,
30851938,trunk_link,100,,True,False,252.944,"LINESTRING (6.8833966 53.0798932, 6.8831343 53.0796699, 6.8827902 53.0792454, 6.8826252 53.0790451, 6.882399 53.0788079, 6.8822185 53.0786355, 6.8820543 53.0785046, 6.8818251 53.0783416, 6.8814495 53.0780781, 6.8813865 53.0780397, 6.8813148 53.0780129)",,1,N33,
6381008,unclassified,,,False,False,287.553,"LINESTRING (6.8735 53.08046, 6.8745997 53.0822316, 6.87492 53.08258, 6.8751524 53.0827331, 6.8752699 53.0827891)",,,,
30851930,secondary,80,,False,False,10.699,"LINESTRING (6.8752699 53.0827891, 6.8751824 53.0828697)",Dalweg 12,,,
6381008,unclassified,,,False,True,287.553,"LINESTRING (6.8752699 53.0827891, 6.8751524 53.0827331, 6.87492 53.08258, 6.8745997 53.0822316, 6.8735 53.08046)",,,,
30851930,secondary,80,,False,True,470.085,"LINESTRING (6.8752699 53.0827891, 6.8755988 53.0824728, 6.8760172 53.0821153, 6.8779875 53.0805023, 6.8787828 53.0798362, 6.8793609 53.0793502)",Dalweg 12,,,
6381068,secondary,50,,False,False,109.615,"LINESTRING (6.874158 53.0833599, 6.8726331 53.0837244)",Dalweg 12,,,
"[6380968, 6380965, 6380966, 6380967]",unclassified,,,False,"[False, True]",230.287,"LINESTRING (6.874158 53.0833599, 6.8742156 53.0834344, 6.87441 53.08376, 6.87447 53.08384, 6.87445 53.08391, 6.873043 53.0842366, 6.872963 53.084207, 6.8727576 53.0839168, 6.8726761 53.083791, 6.872673 53.0837862, 6.8726331 53.0837244)",,,,
6381068,secondary,50,,False,True,64.74000000000001,"LINESTRING (6.874158 53.0833599, 6.8743047 53.0833067, 6.8744703 53.0832396, 6.8748389 53.0830844, 6.8749579 53.0830315)",Dalweg 12,,,
"[6381010, 6381011]",unclassified,,,False,"[False, True]",727.659,"LINESTRING (6.8818058 53.0834247, 6.8822952 53.0830197, 6.8823128 53.0829155, 6.8820846 53.0825211, 6.8818569 53.0821749, 6.8815145 53.0817725, 6.8811152 53.0813742, 6.8805266 53.0809147, 6.8804183 53.0808647, 6.8802916 53.0808775, 6.8802374 53.0809131, 6.8791627 53.0817818, 6.8779396 53.0827844, 6.8771396 53.0834234, 6.8769003 53.0835367, 6.8767183 53.0836195)","['Poolsterweg', 'Orionweg']",,,
6380961,unclassified,,,False,True,119.995,"LINESTRING (6.8767183 53.0836195, 6.87656 53.0834966, 6.8758218 53.0831736, 6.8753815 53.0830398, 6.8752627 53.0830064)",Adriaan Tripweg,,,
