osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel
6637450,Dolfijnstraat,residential,30,False,False,44.827999999999996,"LINESTRING (4.6071572 52.4531358, 4.607114 52.4531915, 4.6072888 52.453516)",,
"[6633067, 1020254147]",Heerenduinweg,secondary,50,False,"[False, True]",376.59900000000005,"LINESTRING (4.6098394 52.4532034, 4.6099659 52.4532393, 4.6102621 52.4533132, 4.6106014 52.4533919, 4.6109569 52.4534609, 4.6111929 52.4534928, 4.6113854 52.4535187, 4.6120311 52.4535725, 4.6123811 52.4536059, 4.6126594 52.4536441, 4.6129428 52.4536956, 4.6132246 52.4537649, 4.6135432 52.4538613, 4.6139062 52.4540052, 4.6142854 52.4541924, 4.6144813 52.4542906, 4.6148636 52.4544886)",,
6633571,Heerenduinweg,secondary,50,True,False,45.229,"LINESTRING (4.6098394 52.4532034, 4.6097242 52.4531861, 4.6095847 52.4531574, 4.6094487 52.4531272, 4.6093251 52.453091, 4.6092259 52.4530502)",,
6637414,Poolsterstraat,residential,30,False,False,123.67,"LINESTRING (4.6060689 52.4531322, 4.6052041 52.4541116)",,
6637427,Dolfijnstraat,residential,30,False,False,61.098,"LINESTRING (4.6060689 52.4531322, 4.6068779 52.4533748)",,
6637958,Saturnusstraat,residential,30,False,False,61.801,"LINESTRING (4.6048608 52.4533668, 4.6044435 52.453861)",,
6637423,Dolfijnstraat,residential,30,False,False,31.965,"LINESTRING (4.6068779 52.4533748, 4.6072888 52.453516)",,
6637427,Dolfijnstraat,residential,30,False,True,61.098,"LINESTRING (4.6068779 52.4533748, 4.6060689 52.4531322)",,
6637386,Radarstraat,residential,30,False,False,127.91900000000001,"LINESTRING (4.6068779 52.4533748, 4.6068219 52.4534388, 4.6064273 52.4538901, 4.6062465 52.454093, 4.60599 52.45439)",,
6637419,Dolfijnstraat,residential,30,False,False,29.692,"LINESTRING (4.6072888 52.453516, 4.6076708 52.4536468)",,
6637423,Dolfijnstraat,residential,30,False,True,31.965,"LINESTRING (4.6072888 52.453516, 4.6068779 52.4533748)",,
6637450,Dolfijnstraat,residential,30,False,True,44.827999999999996,"LINESTRING (4.6072888 52.453516, 4.607114 52.4531915, 4.6071572 52.4531358)",,
6633496,Gijzenveltplantsoen,tertiary,50,False,False,63.35,"LINESTRING (4.6088479 52.4534086, 4.6088308 52.4534587, 4.608725 52.4537416, 4.6086829 52.4538179, 4.608662 52.4538477, 4.6085747 52.4539502)",,
144886881,Gijzenveltplantsoen,tertiary,50,True,False,50.836,"LINESTRING (4.6088479 52.4534086, 4.6088556 52.4533345, 4.6089016 52.4532317, 4.6089939 52.4531163, 4.6090542 52.4530306, 4.6090983 52.4529829)",,
6637958,Saturnusstraat,residential,30,False,False,58.683,"LINESTRING (4.6044435 52.453861, 4.6040196 52.4543212)",,
6637958,Saturnusstraat,residential,30,False,True,61.801,"LINESTRING (4.6044435 52.453861, 4.6048608 52.4533668)",,
6637573,Eenhoornstraat,residential,30,False,False,58.590999999999994,"LINESTRING (4.6044435 52.453861, 4.6051704 52.4541005, 4.6052041 52.4541116)",,
6633507,Waalstraat,residential,30,False,False,55.797,"LINESTRING (4.6098045 52.4539504, 4.6092268 52.4540474, 4.6090174 52.4540962)",,
6633496,Gijzenveltplantsoen,tertiary,50,False,False,118.19900000000001,"LINESTRING (4.6085747 52.4539502, 4.6085029 52.4540321, 4.6078083 52.4548152, 4.6077464 52.4548857)",,
