osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,tunnel
6872329,Eilbrachtstraat,residential,30,False,False,39.599,"LINESTRING (5.8635009 51.8431365, 5.8634813 51.843174, 5.8633476 51.8434359, 5.863329 51.8434764)",,,,
"[722850505, 6873101]",Bisschop Hamerstraat,residential,30,False,False,19.013,"LINESTRING (5.8610135 51.8431992, 5.86099 51.8432376, 5.8609266 51.8432767, 5.8608791 51.8432949, 5.8608157 51.8433033)",1,,,
"[722850505, 6873101]",Bisschop Hamerstraat,residential,30,False,True,19.013,"LINESTRING (5.8608157 51.8433033, 5.8608791 51.8432949, 5.8609266 51.8432767, 5.86099 51.8432376, 5.8610135 51.8431992)",1,,,
6872329,Eilbrachtstraat,residential,30,False,True,39.599,"LINESTRING (5.863329 51.8434764, 5.8633476 51.8434359, 5.8634813 51.843174, 5.8635009 51.8431365)",,,,
6872476,Tweede Walstraat,residential,30,True,False,145.183,"LINESTRING (5.863329 51.8434764, 5.86406 51.8436592, 5.8642022 51.8436947, 5.8645427 51.8437812, 5.8647577 51.8438357, 5.8651943 51.8439404, 5.8652896 51.8439637)",1,,,
303601511,Berg en Dalseweg,tertiary,50,False,False,12.706,"LINESTRING (5.8700479 51.8434637, 5.8699278 51.8435506)",,,,
"[686177013, 686177015]",Berg en Dalseweg,tertiary,50,False,True,23.092,"LINESTRING (5.8700479 51.8434637, 5.870149 51.8434018, 5.8701792 51.8433845, 5.8703206 51.843349)",3,,,
6872918,Eerste Walstraat,residential,30,True,False,65.616,"LINESTRING (5.8612553 51.8435125, 5.860455 51.8438346)",,,,
6872156,Molenstraat,unclassified,30,False,False,16.795,"LINESTRING (5.8612553 51.8435125, 5.8613081 51.8435523, 5.8614113 51.8436288)",,,,
6872476,Tweede Walstraat,residential,30,True,False,152.079,"LINESTRING (5.8612553 51.8435125, 5.8613646 51.843464, 5.8614735 51.8434318, 5.8617689 51.8433686, 5.862177 51.8432839, 5.8622929 51.8432721, 5.8624149 51.8432741, 5.8625083 51.8432771, 5.8625995 51.8432934, 5.8632178 51.843449, 5.863329 51.8434764)",1,,,
6872591,Ziekerstraat,residential,30,False,False,40.838,"LINESTRING (5.8654991 51.84362, 5.8652896 51.8439637)",1,,,
946626213,Sint Canisiussingel,primary,50,True,False,31.793,"LINESTRING (5.8704581 51.8437879, 5.8701333 51.8437127, 5.8700304 51.8436797)",2,,,
6873523,Tunnelweg,secondary,50,True,False,77.356,"LINESTRING (5.8566629 51.843736, 5.8574892 51.8438097, 5.8576379 51.8438225, 5.857777 51.8438369)",3,S102,,
236635692,,busway,50,True,False,13.245,"LINESTRING (5.8566629 51.843736, 5.8566457 51.8438097, 5.8566344 51.8438538)",,,no,
240432149,Quackplein,secondary,50,True,False,29.008,"LINESTRING (5.857777 51.8438369, 5.8580797 51.8438892, 5.8581836 51.8439073)",2,S102,,
6872858,Karrengas,residential,30,False,False,145.631,"LINESTRING (5.860455 51.8438346, 5.8617644 51.8448646)",,,,
6872918,Eerste Walstraat,residential,30,True,False,30.593,"LINESTRING (5.860455 51.8438346, 5.8602403 51.8439251, 5.8601 51.844)",,,,
561080593,,busway,50,True,False,13.379,"LINESTRING (5.8566344 51.8438538, 5.8565662 51.8439665)",,,,
