osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width,lanes,tunnel,bridge,ref,junction
7525615,Mauritsplaats,residential,False,True,38.805,"LINESTRING (4.4735462 51.9201018, 4.4734154 51.9200741, 4.4730072 51.9199957)",,,,,,,
"[268020102, 1057038797, 1057038798]",Aert van Nesstraat,residential,False,False,93.054,"LINESTRING (4.4735462 51.9201018, 4.4736602 51.9201634, 4.4738351 51.9201977, 4.4741713 51.9202637, 4.4747069 51.9203689, 4.4748087 51.9203889)",50,6.4,,,,,
7525607,Aert van Nesstraat,residential,True,False,112.68,"LINESTRING (4.4748087 51.9203889, 4.4749602 51.9204201, 4.4752131 51.9204707, 4.4763727 51.9206994)",50,6.2,1,,,,
"[1057038797, 1057038798, 268020102]",Aert van Nesstraat,residential,False,True,93.054,"LINESTRING (4.4748087 51.9203889, 4.4747069 51.9203689, 4.4741713 51.9202637, 4.4738351 51.9201977, 4.4736602 51.9201634, 4.4735462 51.9201018)",50,6.4,,,,,
7525607,Aert van Nesstraat,residential,True,False,67.381,"LINESTRING (4.4763727 51.9206994, 4.476885 51.9208045, 4.4773041 51.9208923)",50,6.2,1,,,,
"[43634347, 74084198]","['Zoutmanstraat', 'Van Ghentstraat']",residential,False,True,197.57500000000002,"LINESTRING (4.4763727 51.9206994, 4.4762091 51.920997, 4.4758063 51.9217226, 4.4747409 51.9214942)",,,,,,,
7525925,West-Kruiskade,tertiary,True,False,48.07600000000001,"LINESTRING (4.4712976 51.9209217, 4.4715188 51.9209929, 4.4716231 51.9210222, 4.4717677 51.9210652, 4.4718132 51.9210801, 4.4719202 51.9211198)",50,,,,,,
"[7525861, 734609808, 7525848, 306795739, 74084189]","['Hennekijnstraat', 'Sint-Luciastraat']",residential,True,False,268.6,"LINESTRING (4.4773041 51.9208923, 4.4768437 51.9217332, 4.4778301 51.9219163, 4.4778677 51.9217945, 4.4780203 51.9213845, 4.4780921 51.9212271, 4.4781337 51.9211427, 4.4781868 51.9210521)",,,,building_passage,,,
43634353,Aert van Nesstraat,residential,False,False,63.08900000000001,"LINESTRING (4.4773041 51.9208923, 4.4778429 51.92099, 4.4779216 51.9210043, 4.4779882 51.9210164, 4.478054 51.9210283, 4.4781547 51.9210466, 4.4781868 51.9210521)",,,,,,,
7525902,West-Kruiskade,tertiary,True,False,25.911,"LINESTRING (4.47124 51.9210758, 4.4711289 51.9210351, 4.4710901 51.9210209, 4.4709099 51.9209626)",50,,1,,,,
7525923,Kruisplein,tertiary,True,False,17.584,"LINESTRING (4.47124 51.9210758, 4.4712695 51.9209969, 4.4712702 51.9209948, 4.4712794 51.9209701, 4.4712809 51.9209665, 4.4712976 51.9209217)",50,,1,,,,
7523111,Rodezand,residential,False,False,67.412,"LINESTRING (4.4816086 51.9211104, 4.4814498 51.9213819, 4.4812738 51.9216804)",30,,,,,,
"[7523096, 7523114]","['Leeuwenstraat', 'Westewagenstraat']",residential,True,False,171.379,"LINESTRING (4.4816086 51.9211104, 4.4828327 51.9214038, 4.4825819 51.9216953, 4.4822804 51.9220509)",30,,,,,,
491452678,Rodezand,residential,False,True,21.130000000000003,"LINESTRING (4.4816086 51.9211104, 4.4816956 51.9209552, 4.4817106 51.9209311)",30,,,,,,
7525901,West-Kruiskade,tertiary,True,False,48.013,"LINESTRING (4.471848 51.921288, 4.4717423 51.9212624, 4.471699 51.9212455, 4.471696 51.9212443, 4.4716248 51.9212165, 4.4715629 51.9211966, 4.47124 51.9210758)",50,,1,,,,
7525926,Kruisplein,tertiary,True,False,110.19200000000001,"LINESTRING (4.471848 51.921288, 4.4718126 51.9213546, 4.4715865 51.9217798, 4.4713521 51.9222306)",50,,1,,,,
"[7525968, 424896166]",Meent,residential,False,False,124.67499999999998,"LINESTRING (4.4795513 51.9213222, 4.4797176 51.9213561, 4.47976 51.9213647, 4.480018 51.9214191, 4.4805756 51.9215425, 4.4809823 51.921622, 4.4811113 51.9216478, 4.4812738 51.9216804)",30,,,,,,
130303139,Coolsingel,tertiary,False,False,187.701,"LINESTRING (4.4795513 51.9213222, 4.479511 51.921391, 4.4794759 51.9214551, 4.4794515 51.9214997, 4.4790635 51.9222176, 4.4788743 51.9226394, 4.4787171 51.9229294)",50,,3,,,,
"[43634353, 925619734]",Aert van Nesstraat,residential,False,True,98.282,"LINESTRING (4.4795513 51.9213222, 4.4794212 51.9212965, 4.4793844 51.9212894, 4.4792934 51.9212709, 4.4791801 51.9212468, 4.4791179 51.9212335, 4.4781868 51.9210521)",,,,,,,
"[43634347, 74084198]","['Zoutmanstraat', 'Van Ghentstraat']",residential,False,False,197.57500000000002,"LINESTRING (4.4747409 51.9214942, 4.4758063 51.9217226, 4.4762091 51.920997, 4.4763727 51.9206994)",,,,,,,
7523111,Rodezand,residential,False,True,67.412,"LINESTRING (4.4812738 51.9216804, 4.4814498 51.9213819, 4.4816086 51.9211104)",30,,,,,,
424896166,Meent,residential,False,False,80.423,"LINESTRING (4.4812738 51.9216804, 4.4814281 51.9217287, 4.4822804 51.9220509)",30,,,,,,
"[7525968, 424896166]",Meent,residential,False,True,124.67499999999998,"LINESTRING (4.4812738 51.9216804, 4.4811113 51.9216478, 4.4809823 51.921622, 4.4805756 51.9215425, 4.480018 51.9214191, 4.47976 51.9213647, 4.4797176 51.9213561, 4.4795513 51.9213222)",30,,,,,,
7525851,Karel Doormanstraat,residential,False,False,46.925000000000004,"LINESTRING (4.4740897 51.9217483, 4.4740595 51.9218056, 4.473878 51.9221496)",50,,,,,,
"[45730624, 324080395]",Schouwburgplein,residential,True,False,162.035,"LINESTRING (4.4740897 51.9217483, 4.473945 51.9217187, 4.4726554 51.9214548, 4.4719401 51.9213045, 4.471848 51.921288)",50,5,,,,,
534327204,Oppert,residential,False,False,67.229,"LINESTRING (4.4844403 51.9218247, 4.4843114 51.9219545, 4.4838557 51.922309)",30,,,,,,
7523283,Delftseveer,residential,True,False,123.125,"LINESTRING (4.4822804 51.9220509, 4.4818756 51.9225251, 4.4814653 51.9230374)",50,,,,,,
"[7523153, 424896166, 7523175]",Meent,residential,False,"[False, True]",46.756,"LINESTRING (4.4822804 51.9220509, 4.4825668 51.9221591, 4.4825858 51.9221663, 4.4826865 51.9222037, 4.4828602 51.9222721)",30,,,,yes,,
