osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,junction
462642311,Burgemeester Cleveringalaan,residential,30,False,False,90.633,"LINESTRING (6.4012733 53.2435903, 6.4008509 53.2443652)",,,
6457741,Wilhelminalaan,tertiary,30,False,False,33.287,"LINESTRING (6.4106913 53.2436905, 6.4105712 53.2439811)",,,
6457762,Emmalaan,residential,30,False,False,79.672,"LINESTRING (6.4106913 53.2436905, 6.41096 53.24375, 6.4118083 53.2439485)",,,
6457505,Van der Halstraat,residential,30,False,False,28.6,"LINESTRING (6.40345 53.2438045, 6.4033176 53.2440492)",,,
6457474,Thomas van de Dijkweg,residential,30,True,False,72.245,"LINESTRING (6.402287 53.243823, 6.4012733 53.2435903)",,,
26686607,Oosterburcht,residential,30,False,False,26.179,"LINESTRING (6.4118083 53.2439485, 6.4116882 53.2441727)",,,
"[6457762, 279542354]","['Emmalaan', 'Julianalaan']",residential,30,False,False,430.296,"LINESTRING (6.4118083 53.2439485, 6.4129474 53.2441946, 6.4134405 53.244302, 6.4143003 53.2444961, 6.4144975 53.2445491, 6.4147873 53.2446519, 6.4148878 53.2446911, 6.4149186 53.2447095, 6.4149454 53.2447336, 6.4149494 53.2447601, 6.4149441 53.244783, 6.4149219 53.2448108, 6.4146442 53.2450585, 6.4146132 53.2450776, 6.4145417 53.2450988, 6.4144941 53.2451084, 6.4144357 53.2451096, 6.4124916 53.244843, 6.412305 53.2448434)",,,
6457762,Emmalaan,residential,30,False,True,79.672,"LINESTRING (6.4118083 53.2439485, 6.41096 53.24375, 6.4106913 53.2436905)",,,
6457837,Admiraal Helfrichstraat,residential,30,False,False,104.35600000000001,"LINESTRING (6.3987627 53.2440001, 6.3995308 53.2441141, 6.4000343 53.2442075, 6.4002703 53.2442565)",,,
6457474,Thomas van de Dijkweg,residential,30,True,False,73.043,"LINESTRING (6.4033176 53.2440492, 6.402287 53.243823)",,,
6457505,Van der Halstraat,residential,30,False,True,28.6,"LINESTRING (6.4033176 53.2440492, 6.40345 53.2438045)",,,
6457474,Thomas van de Dijkweg,residential,30,True,False,72.146,"LINESTRING (6.4043388 53.2442666, 6.4042045 53.2442439, 6.4038999 53.244177, 6.4034761 53.244084, 6.4033176 53.2440492)",,,
754118916,Jellemaweg,residential,30,False,False,66.481,"LINESTRING (6.4043388 53.2442666, 6.4042496 53.2444447, 6.4041795 53.2445847, 6.4040519 53.2448393)",,,
6457837,Admiraal Helfrichstraat,residential,30,False,True,40.48,"LINESTRING (6.4008509 53.2443652, 6.4002703 53.2442565)",,,
462642311,Burgemeester Cleveringalaan,residential,30,False,True,90.633,"LINESTRING (6.4008509 53.2443652, 6.4012733 53.2435903)",,,
