osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,tunnel,lanes
7303890,Mozartstraat,residential,30,False,False,185.86999999999998,"LINESTRING (4.6051373 51.9634423, 4.6056772 51.9636917, 4.6060006 51.9638411, 4.6061092 51.9638913, 4.6063503 51.9640027, 4.606821 51.9642201, 4.6069601 51.9642844, 4.6073079 51.964445)",,,,
7303894,Van Beethovenlaan,residential,,False,True,9.756,"LINESTRING (4.6083491 51.963498, 4.6084622 51.9635513)",,,,
7304217,Corellipad,residential,,False,False,31.396,"LINESTRING (4.6083491 51.963498, 4.6082688 51.9635634, 4.6080727 51.9637232)",,,,
7303894,Van Beethovenlaan,residential,,False,False,9.756,"LINESTRING (4.6084622 51.9635513, 4.6083491 51.963498)",,,,
7303894,Van Beethovenlaan,residential,,False,True,53.767,"LINESTRING (4.6084622 51.9635513, 4.6090921 51.9638397)",,,,
627492283,Batavierlaan,tertiary,50,False,False,13.556999999999999,"LINESTRING (4.6107643 51.963776, 4.6107986 51.9638183, 4.6108785 51.9638744)",,,,
"[1133846957, 1133846958]",J A Beyerinkstraat,residential,30,False,False,78.015,"LINESTRING (4.6107643 51.963776, 4.610703 51.9637884, 4.6106379 51.9638033, 4.6106153 51.9638083, 4.6105715 51.9638192, 4.610527 51.9638297, 4.6104843 51.963841, 4.6103899 51.9638975, 4.6099604 51.9642441)",,,,
7303894,Van Beethovenlaan,residential,,False,False,53.767,"LINESTRING (4.6090921 51.9638397, 4.6084622 51.9635513)",,,,
7303894,Van Beethovenlaan,residential,,False,True,74.573,"LINESTRING (4.6090921 51.9638397, 4.6099604 51.9642441)",,,,
7304136,Johann Sebastian Bachstraat,residential,,False,False,127.354,"LINESTRING (4.6090921 51.9638397, 4.6089529 51.9639531, 4.6079806 51.9647577)",,,,
7303894,Van Beethovenlaan,residential,,False,False,74.573,"LINESTRING (4.6099604 51.9642441, 4.6090921 51.9638397)",,,,
1133846957,J A Beyerinkstraat,residential,30,False,False,139.241,"LINESTRING (4.6099604 51.9642441, 4.6087632 51.965256)",,,,
"[1133846957, 1133846958]",J A Beyerinkstraat,residential,30,False,True,78.015,"LINESTRING (4.6099604 51.9642441, 4.6103899 51.9638975, 4.6104843 51.963841, 4.610527 51.9638297, 4.6105715 51.9638192, 4.6106153 51.9638083, 4.6106379 51.9638033, 4.610703 51.9637884, 4.6107643 51.963776)",,,,
627492283,Batavierlaan,tertiary,50,False,False,58.265,"LINESTRING (4.611836 51.9643042, 4.612184 51.9644614, 4.6124995 51.9646312)",,,,
627492283,Batavierlaan,tertiary,50,False,True,81.165,"LINESTRING (4.611836 51.9643042, 4.6109374 51.9639019, 4.6108785 51.9638744)",,,,
7303890,Mozartstraat,residential,30,False,False,57.733,"LINESTRING (4.6073079 51.964445, 4.6079806 51.9647577)",,,,
275360796,Donizettipad,residential,,False,True,50.389,"LINESTRING (4.6073079 51.964445, 4.6068672 51.9648078)",,,,
