osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
"[280291486, 6586814]",Weerenstraat,residential,30,False,False,93.648,"LINESTRING (5.0576822 52.5080441, 5.0580353 52.5081296, 5.0581486 52.5079553, 5.0577986 52.5078654, 5.0576822 52.5080441)",,
"[6586814, 280291486]",Weerenstraat,residential,30,False,True,93.648,"LINESTRING (5.0576822 52.5080441, 5.0577986 52.5078654, 5.0581486 52.5079553, 5.0580353 52.5081296, 5.0576822 52.5080441)",,
280291486,Weerenstraat,residential,30,False,False,30.028000000000002,"LINESTRING (5.0576822 52.5080441, 5.0575214 52.5082869, 5.057518 52.5082949)",,
6586914,Langemeerstraat,residential,30,False,True,19.015,"LINESTRING (5.0541306 52.5080688, 5.0538694 52.5080058)",,
6586728,Berkmeerstraat,residential,30,False,True,63.553,"LINESTRING (5.0541306 52.5080688, 5.0543045 52.507807, 5.0544845 52.5075394)",,
6586914,Langemeerstraat,residential,30,False,False,81.615,"LINESTRING (5.0541306 52.5080688, 5.0547222 52.508214, 5.055249 52.5083433)",,
6586771,Koggenstraat,residential,30,False,True,73.503,"LINESTRING (5.0566997 52.5080827, 5.0568638 52.5078474, 5.0569437 52.5077316, 5.0570961 52.507511, 5.057122 52.5074737)",,
6586783,Twiskepolderstraat,residential,30,False,False,122.226,"LINESTRING (5.0566997 52.5080827, 5.0566075 52.5080611, 5.0559728 52.5079127, 5.0558859 52.5078917, 5.05585 52.50791, 5.05574 52.50803, 5.0556621 52.5081418, 5.05548 52.5084)",,
6586783,Twiskepolderstraat,residential,30,False,True,60.199,"LINESTRING (5.0566997 52.5080827, 5.0569874 52.5081588, 5.057518 52.5082949)",,
280291486,Weerenstraat,residential,30,False,False,64.977,"LINESTRING (5.057518 52.5082949, 5.057182 52.5088423)",,
6586783,Twiskepolderstraat,residential,30,False,False,60.199,"LINESTRING (5.057518 52.5082949, 5.0569874 52.5081588, 5.0566997 52.5080827)",,
280291486,Weerenstraat,residential,30,False,True,30.028000000000002,"LINESTRING (5.057518 52.5082949, 5.0575214 52.5082869, 5.0576822 52.5080441)",,
6586904,Weerenstraat,residential,30,False,False,91.47,"LINESTRING (5.058494 52.50833, 5.0582987 52.5086328, 5.058177 52.5088213, 5.058 52.5090957)",,
6586932,Broekgouwstraat,tertiary,30,False,False,121.86099999999999,"LINESTRING (5.0593924 52.5082994, 5.0593145 52.5083747, 5.059196 52.5085093, 5.0589397 52.5087986, 5.0585299 52.5092612)",,
"[280291490, 6587204]",Zuidpolderlaan,tertiary,50,False,False,55.486000000000004,"LINESTRING (5.0593924 52.5082994, 5.059566 52.5083639, 5.0596889 52.5084059, 5.0598239 52.5084527, 5.0599436 52.5084748, 5.060138 52.5084651)",,
6586914,Langemeerstraat,residential,30,False,True,16.857,"LINESTRING (5.05548 52.5084, 5.055249 52.5083433)",,
6586783,Twiskepolderstraat,residential,30,False,True,122.226,"LINESTRING (5.05548 52.5084, 5.0556621 52.5081418, 5.05574 52.50803, 5.05585 52.50791, 5.0558859 52.5078917, 5.0559728 52.5079127, 5.0566075 52.5080611, 5.0566997 52.5080827)",,
6586914,Langemeerstraat,residential,30,False,False,63.211,"LINESTRING (5.05548 52.5084, 5.0559084 52.5085087, 5.0559815 52.5085272, 5.0563421 52.5086187)",,
"[6586784, 6586908]","['Schermerstraat', 'Zijpemeerhof']",residential,30,False,False,86.214,"LINESTRING (5.0536055 52.5083842, 5.0535065 52.5085523, 5.0535189 52.5085698, 5.0535389 52.508598, 5.0537501 52.5086532, 5.0540006 52.5087186, 5.0543648 52.5088137)",,
6586784,Zijpemeerhof,residential,30,False,True,45.71,"LINESTRING (5.0536055 52.5083842, 5.0536883 52.5082658, 5.0538694 52.5080058)",,
6586785,Zijpemeerhof,residential,30,False,True,77.652,"LINESTRING (5.0536055 52.5083842, 5.0532232 52.5082981, 5.0531548 52.5082174, 5.0533734 52.5078835)",,
