osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes
6881233,Molenberg,living_street,15,False,False,21.497,"LINESTRING (5.8446545 51.9840434, 5.8446884 51.9840679, 5.844709 51.9840975, 5.8447145 51.9841296, 5.8447044 51.9841612, 5.8446795 51.9841895, 5.8446421 51.9842121)",
6881233,Molenberg,living_street,15,False,True,12.431000000000001,"LINESTRING (5.8446545 51.9840434, 5.8446026 51.9840242, 5.8445433 51.984017, 5.8444835 51.9840228)",
6884239,Sandersweg,residential,30,False,False,52.288999999999994,"LINESTRING (5.836718 51.9841309, 5.8366205 51.9841967, 5.8363043 51.9843984, 5.8361985 51.9844753)",
684337016,Pietersbergseweg,residential,30,False,False,63.299,"LINESTRING (5.836718 51.9841309, 5.8367599 51.9846265, 5.8367704 51.9846992)",1
6881427,Molenberg,living_street,15,False,False,7.336,"LINESTRING (5.8446421 51.9842121, 5.8446498 51.9842779)",
6881233,Molenberg,living_street,15,False,False,41.003,"LINESTRING (5.8446421 51.9842121, 5.844589 51.984228, 5.8445304 51.9842322, 5.8444728 51.9842242, 5.8444229 51.9842047, 5.8444096 51.9841943, 5.8443857 51.9841755, 5.8443668 51.9841402, 5.8443686 51.9841031, 5.8443907 51.9840686, 5.8444275 51.9840407, 5.8444835 51.9840228)",
6881233,Molenberg,living_street,15,False,True,21.497,"LINESTRING (5.8446421 51.9842121, 5.8446795 51.9841895, 5.8447044 51.9841612, 5.8447145 51.9841296, 5.844709 51.9840975, 5.8446884 51.9840679, 5.8446545 51.9840434)",
6881427,Molenberg,living_street,15,False,True,46.158,"LINESTRING (5.8452901 51.9843598, 5.8448265 51.9843478, 5.8446498 51.9842779)",
"[684343648, 6881352]",Van Toulon van der Koogweg,tertiary,30,False,False,161.59099999999995,"LINESTRING (5.8452901 51.9843598, 5.8452361 51.9846347, 5.8451678 51.9850777, 5.8451372 51.9853852, 5.8450789 51.985738, 5.8450749 51.9857612, 5.845073 51.9857736, 5.845068 51.9858063)",
6884167,Sandersweg,residential,30,False,True,47.468999999999994,"LINESTRING (5.8361985 51.9844753, 5.8363553 51.9844974, 5.8365033 51.9845477, 5.8366788 51.9846432, 5.8367704 51.9846992)",
6884239,Sandersweg,residential,30,False,False,34.653999999999996,"LINESTRING (5.8361985 51.9844753, 5.8360302 51.9844768, 5.8356925 51.9844775)",
6884239,Sandersweg,residential,30,False,True,52.289,"LINESTRING (5.8361985 51.9844753, 5.8363043 51.9843984, 5.8366205 51.9841967, 5.836718 51.9841309)",
6884167,Sandersweg,residential,30,False,False,47.469,"LINESTRING (5.8367704 51.9846992, 5.8366788 51.9846432, 5.8365033 51.9845477, 5.8363553 51.9844974, 5.8361985 51.9844753)",
684337016,Pietersbergseweg,residential,30,False,False,60.03099999999999,"LINESTRING (5.8367704 51.9846992, 5.8368413 51.9847679, 5.8369482 51.984899, 5.8370732 51.9852011)",1
