osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,access
31863789,Spoorstraat,secondary,50,False,False,76.73,"LINESTRING (5.4196774 53.1707608, 5.4193253 53.1708545, 5.419171 53.1708918, 5.419102 53.1709043, 5.419028 53.1709151, 5.4189598 53.1709219, 5.4189338 53.170924, 5.4188606 53.1709297, 5.4187085 53.1709381, 5.4185797 53.1709455)",,,,
"[1066877954, 6565879]",Wasbleek,residential,30,False,False,36.742000000000004,"LINESTRING (5.4196774 53.1707608, 5.4197057 53.1707978, 5.419716 53.1708118, 5.4197698 53.1708828, 5.4197782 53.1709286, 5.4197806 53.1710172, 5.4198111 53.1710762)",,,,
31863789,Spoorstraat,secondary,50,False,True,76.73,"LINESTRING (5.4185797 53.1709455, 5.4187085 53.1709381, 5.4188606 53.1709297, 5.4189338 53.170924, 5.4189598 53.1709219, 5.419028 53.1709151, 5.419102 53.1709043, 5.419171 53.1708918, 5.4193253 53.1708545, 5.4196774 53.1707608)",,,,
"[1013993552, 6565881, 1066877957]",Steenhouwersstraat,residential,30,False,False,19.972,"LINESTRING (5.4185797 53.1709455, 5.4185859 53.1709871, 5.4185887 53.1710025, 5.4186018 53.1711246)",,,,
1013993558,Spoorstraat,secondary,50,False,False,153.47,"LINESTRING (5.4185797 53.1709455, 5.4184072 53.1709546, 5.4182358 53.1709576, 5.4180465 53.170958, 5.417773 53.170958, 5.4174843 53.1709608, 5.4170617 53.1709563, 5.4166802 53.1709543, 5.4165232 53.1709565, 5.4163916 53.1709623, 5.4162792 53.1709702)",2,,,
"[6566296, 317728953]",Havenweg,secondary,"['50', '30']",False,False,76.15899999999999,"LINESTRING (5.4158034 53.1709836, 5.4157142 53.1710139, 5.4156743 53.1710261, 5.4152322 53.1710829, 5.4150221 53.1710999, 5.4148588 53.1711217, 5.414703 53.1711521)",,,,
1013993558,Spoorstraat,secondary,50,False,True,32.603,"LINESTRING (5.4158034 53.1709836, 5.4158228 53.1709935, 5.4158491 53.1710004, 5.4158816 53.171004, 5.415924 53.1710031, 5.4159857 53.1709965, 5.4162116 53.170975, 5.4162792 53.1709702)",2,,,
"[6565890, 6565877, 6565895]","['Wasbleekstraat', 'Wasbleek', 'Rozengracht']",residential,30,False,"[False, True]",289.83200000000005,"LINESTRING (5.4198111 53.1710762, 5.4199018 53.1710781, 5.4209079 53.1710673, 5.4209945 53.1710667, 5.4210016 53.1711123, 5.4210679 53.1715365, 5.4191317 53.1716537, 5.4188812 53.1716803, 5.4188312 53.171689, 5.4187117 53.1717111)",,,,
"[1066877954, 6565879]",Wasbleek,residential,30,False,True,36.742000000000004,"LINESTRING (5.4198111 53.1710762, 5.4197806 53.1710172, 5.4197782 53.1709286, 5.4197698 53.1708828, 5.419716 53.1708118, 5.4197057 53.1707978, 5.4196774 53.1707608)",,,,
6565880,Spinhuisstraat,residential,30,False,False,81.57099999999998,"LINESTRING (5.4198111 53.1710762, 5.4197438 53.171103, 5.419583 53.1711126, 5.4186955 53.1711221, 5.4186596 53.1711231, 5.4186018 53.1711246)",,,,
6565880,Spinhuisstraat,residential,30,False,True,81.57100000000001,"LINESTRING (5.4186018 53.1711246, 5.4186596 53.1711231, 5.4186955 53.1711221, 5.419583 53.1711126, 5.4197438 53.171103, 5.4198111 53.1710762)",,,,
"[1013993552, 6565881, 1066877957]",Steenhouwersstraat,residential,30,False,True,19.972,"LINESTRING (5.4186018 53.1711246, 5.4185887 53.1710025, 5.4185859 53.1709871, 5.4185797 53.1709455)",,,,
6565894,Steenhouwersstraat,residential,30,False,False,49.419000000000004,"LINESTRING (5.4186018 53.1711246, 5.4186082 53.17117, 5.4186478 53.1714892, 5.4186653 53.1715673)",,,,
6566293,Havenweg,secondary,30,False,False,98.89999999999999,"LINESTRING (5.413822 53.1714113, 5.4136208 53.1714945, 5.4134447 53.171574, 5.4134182 53.171586, 5.4133157 53.1716416, 5.4132154 53.1716959, 5.4130706 53.1717799, 5.4129943 53.1718305, 5.4129612 53.1718525, 5.4129115 53.1719107, 5.4128649 53.1719679, 5.4127888 53.1720328)",,,,
