osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction
"[6922816, 1194068219]",Geertesteeg,tertiary,"['60', '80']",False,False,149.30800000000002,"LINESTRING (5.5679832 51.9789666, 5.5688023 51.9794832, 5.5691228 51.9797044, 5.5693587 51.9798299, 5.5695352 51.9799051)",,,
"[45021564, 1194069375]",Cuneraweg,primary,80,True,False,186.64799999999997,"LINESTRING (5.5726439 51.9790253, 5.5724949 51.9792217, 5.57226 51.979443, 5.5721035 51.9795668, 5.5718724 51.9797248, 5.5716318 51.979859, 5.5713923 51.97997, 5.5708131 51.9802331)","['1', '2']",N233,
"[6922816, 1194068219]",Geertesteeg,tertiary,"['60', '80']",False,True,149.308,"LINESTRING (5.5695352 51.9799051, 5.5693587 51.9798299, 5.5691228 51.9797044, 5.5688023 51.9794832, 5.5679832 51.9789666)",,,
45021685,Geertesteeg,tertiary,80,True,False,34.074,"LINESTRING (5.5695352 51.9799051, 5.5697133 51.9799578, 5.5698218 51.9800112, 5.5699268 51.9800864)",1,,
"[183753571, 1222996805]",Cuneraweg,unclassified,30,False,False,215.779,"LINESTRING (5.5695411 51.9824582, 5.5695728 51.9824324, 5.569609 51.982401, 5.5696258 51.9823746, 5.5696325 51.9823143, 5.5696342 51.9822332, 5.5696661 51.981918, 5.5696996 51.9818249, 5.5697383 51.9817395, 5.5698055 51.9816506, 5.5699594 51.9814708, 5.5701211 51.9812742, 5.5701661 51.9812273, 5.5703634 51.9810218, 5.5705454 51.9808464, 5.5706314 51.9807636, 5.5707082 51.9807009)",,,
1119642147,Cuneraweg,primary,80,True,False,25.300999999999995,"LINESTRING (5.5708131 51.9802331, 5.5707316 51.980295, 5.5706273 51.9803447, 5.5705698 51.9803743, 5.5705447 51.9803877)",1,N233,
1194070354,Cuneraweg,primary,80,True,False,24.378,"LINESTRING (5.5708131 51.9802331, 5.5707028 51.9802604, 5.5705377 51.9803331, 5.570513 51.9803476)",1,N233,
1194070347,,primary,80,True,False,5.575,"LINESTRING (5.5701535 51.9802294, 5.5702176 51.9802603)",1,N233,roundabout
"[1194070348, 1119642143]",Cuneraweg,primary,80,True,False,40.913000000000004,"LINESTRING (5.5701535 51.9802294, 5.5702265 51.9802169, 5.5703042 51.9802174, 5.5704006 51.9802274, 5.5704589 51.9802253, 5.5705193 51.9802163, 5.5706244 51.9801704, 5.5707188 51.9801573)",1,N233,roundabout
457957896,,primary,80,True,False,21.448,"LINESTRING (5.5705447 51.9803877, 5.570551 51.9804293, 5.5705486 51.9804608, 5.5705286 51.9805036, 5.5705009 51.9805358, 5.5704601 51.9805651)",1,N233,roundabout
45022112,,primary,80,True,False,28.002000000000002,"LINESTRING (5.5700366 51.9805184, 5.5700029 51.9804902, 5.5699769 51.9804406, 5.5699686 51.9804036, 5.5699708 51.9803609, 5.56999 51.980324, 5.5700284 51.9802847)",1,N233,roundabout
"[1194068217, 45021939]",Cuneraweg,unclassified,"['60', '80']",False,True,22.737000000000002,"LINESTRING (5.5704601 51.9805651, 5.5704849 51.98058, 5.5705651 51.9806218, 5.5707082 51.9807009)",2,,
"[1194070349, 1119642142]",Cuneraweg,primary,80,True,False,34.091,"LINESTRING (5.5704601 51.9805651, 5.5704099 51.9805867, 5.5703511 51.980606, 5.570264 51.9806202, 5.5702255 51.9806317, 5.5701878 51.9806497, 5.5701387 51.9806874, 5.570058 51.9807342)",1,N233,roundabout
"[1194068217, 45021939]",Cuneraweg,unclassified,"['60', '80']",False,False,22.737000000000002,"LINESTRING (5.5707082 51.9807009, 5.5705651 51.9806218, 5.5704849 51.98058, 5.5704601 51.9805651)",2,,
