osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge
7547427,Kapershoekseweg,residential,50,False,False,35.304,"LINESTRING (4.3701864 51.8613857, 4.3706971 51.8614222)",,,,
7547084,Klein Hoefblad,residential,30,False,False,122.809,"LINESTRING (4.3701864 51.8613857, 4.3701422 51.8616808, 4.3701208 51.8618245, 4.3701547 51.8619035, 4.3703006 51.8621363, 4.3705365 51.8624351)",,,,
7547427,Kapershoekseweg,residential,50,False,True,78.506,"LINESTRING (4.3701864 51.8613857, 4.3699412 51.861367, 4.3691025 51.861562)",,,,
7547427,Kapershoekseweg,residential,50,False,True,35.304,"LINESTRING (4.3706971 51.8614222, 4.3701864 51.8613857)",,,,
7547088,Stormshoek,residential,30,False,False,198.45499999999998,"LINESTRING (4.3637883 51.8615246, 4.3641461 51.8614422, 4.3643036 51.8614482, 4.3649 51.8613, 4.3651138 51.8616527, 4.3653617 51.8620617, 4.3650007 51.8621536)",,,,
7547427,Kapershoekseweg,residential,50,False,False,78.506,"LINESTRING (4.3691025 51.861562, 4.3699412 51.861367, 4.3701864 51.8613857)",,,,
7547427,Kapershoekseweg,residential,50,False,True,77.77000000000001,"LINESTRING (4.3691025 51.861562, 4.3690372 51.8615795, 4.368928 51.8616065, 4.3688128 51.8616344, 4.3687999 51.8616379, 4.3680487 51.8618181)",,,,
1237376507,Kapershoekseweg,unclassified,50,False,False,45.161,"LINESTRING (4.3680487 51.8618181, 4.3674337 51.861962)",,,,
"[7547451, 7547091]","['Stelle', 'Cichorei']",residential,30,False,"[False, True]",240.79299999999998,"LINESTRING (4.3680487 51.8618181, 4.3681316 51.8619493, 4.3684102 51.8623714, 4.3684882 51.8623878, 4.3686835 51.8623465, 4.3687628 51.8623623, 4.3689401 51.8626398, 4.3690012 51.8627373, 4.3691142 51.8629199, 4.36915 51.8629732, 4.3690307 51.8631302, 4.36887 51.8631687, 4.3683338 51.8632976, 4.3682617 51.8633149)",,,,
7547427,Kapershoekseweg,residential,50,False,False,77.77000000000001,"LINESTRING (4.3680487 51.8618181, 4.3687999 51.8616379, 4.3688128 51.8616344, 4.368928 51.8616065, 4.3690372 51.8615795, 4.3691025 51.861562)",,,,
7547591,Boerenhoek,residential,30,False,False,203.08800000000002,"LINESTRING (4.3616848 51.8618881, 4.3617367 51.8618752, 4.3623682 51.861718, 4.3625488 51.8617437, 4.3626841 51.8617343, 4.3630576 51.8616457, 4.3631152 51.8616679, 4.3634328 51.8621885, 4.3634453 51.862209, 4.3635 51.8623, 4.3636017 51.862374, 4.3636623 51.862479)",,,,
7547646,Boomgaardhoekseweg,residential,30,True,False,153.329,"LINESTRING (4.3616848 51.8618881, 4.3618708 51.8621311, 4.362139 51.8623714, 4.3622462 51.8624638, 4.3624862 51.8626707, 4.3625551 51.8627301, 4.362734 51.8628842, 4.3629107 51.8630366)",,,,
1237376507,Kapershoekseweg,unclassified,50,False,True,45.161,"LINESTRING (4.3674337 51.861962, 4.3680487 51.8618181)",,,,
1237376507,Kapershoekseweg,unclassified,50,False,False,67.286,"LINESTRING (4.3674337 51.861962, 4.3673613 51.8619794, 4.3665202 51.8621809)",,,,
