osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,access
6377505,Rozendael,unclassified,30,False,False,83.594,"LINESTRING (6.7959933 52.9198318, 6.7959625 52.9198763, 6.7956433 52.9203379, 6.7956238 52.920366, 6.7955977 52.9203869, 6.79556 52.9204039, 6.795534 52.9204098, 6.7954968 52.9204182, 6.795376 52.9204454)",,,,,
6377629,Kerspel,residential,30,False,False,35.486,"LINESTRING (6.7959933 52.9198318, 6.7962015 52.919884, 6.7962699 52.9198967, 6.7962917 52.9198956, 6.7965013 52.9198847)",,,,,
52887297,,trunk,100,False,False,58.491,"LINESTRING (6.7873605 52.9197728, 6.7869805 52.9202463)",3,N34,,,
6377509,Eskant,residential,30,False,False,93.696,"LINESTRING (6.7883237 52.9200539, 6.7877755 52.9200667, 6.7877174 52.920079, 6.7876679 52.9201133, 6.7876434 52.9201429, 6.7875994 52.9202115, 6.7875095 52.9203405, 6.7874115 52.9205134)",,,,,
"[6377588, 6377598]",Westeresstraat,residential,30,False,False,69.082,"LINESTRING (6.7883237 52.9200539, 6.788454 52.9200731, 6.7887701 52.9201315, 6.7893171 52.9202184)",,,,,
6377649,Westeresstraat,residential,30,False,False,69.083,"LINESTRING (6.7893171 52.9202184, 6.7903041 52.9203969)",,,,,
"[6377588, 6377598]",Westeresstraat,residential,30,False,True,69.082,"LINESTRING (6.7893171 52.9202184, 6.7887701 52.9201315, 6.788454 52.9200731, 6.7883237 52.9200539)",,,,,
6377498,Julianastraat,residential,30,False,False,129.504,"LINESTRING (6.7927332 52.9202861, 6.7933303 52.9204586, 6.7935234 52.9205334, 6.7939132 52.9207815, 6.7941487 52.9209429, 6.7942072 52.9210038)",,,,,
1242833199,Hoofdstraat,unclassified,30,False,False,73.143,"LINESTRING (6.7927332 52.9202861, 6.7924932 52.9206288, 6.7923299 52.9208971)",,,,,
6377649,Westeresstraat,residential,30,False,True,69.083,"LINESTRING (6.7903041 52.9203969, 6.7893171 52.9202184)",,,,,
"[6377600, 1242833200]",Westeresstraat,residential,30,False,False,147.40999999999997,"LINESTRING (6.7903041 52.9203969, 6.7911579 52.9205524, 6.791366 52.920615, 6.7914594 52.9206444, 6.7921841 52.9208726, 6.7923299 52.9208971)",,,,,
"[6377537, 6377637]",Leemakkers,residential,30,False,"[False, True]",69.505,"LINESTRING (6.7903041 52.9203969, 6.7900761 52.9208691, 6.7899859 52.9209036, 6.789872 52.9208984)",,,,,
6377505,Rozendael,unclassified,30,False,True,83.594,"LINESTRING (6.795376 52.9204454, 6.7954968 52.9204182, 6.795534 52.9204098, 6.79556 52.9204039, 6.7955977 52.9203869, 6.7956238 52.920366, 6.7956433 52.9203379, 6.7959625 52.9198763, 6.7959933 52.9198318)",,,,,
6377980,Molenstraat,tertiary,50,False,False,52.985,"LINESTRING (6.795376 52.9204454, 6.7954094 52.920631, 6.795447 52.9208449, 6.79546 52.9209192)",,,,,
6377509,Eskant,residential,30,False,True,93.696,"LINESTRING (6.7874115 52.9205134, 6.7875095 52.9203405, 6.7875994 52.9202115, 6.7876434 52.9201429, 6.7876679 52.9201133, 6.7877174 52.920079, 6.7877755 52.9200667, 6.7883237 52.9200539)",,,,,
"[6377556, 6377582]",Leemakkers,residential,30,False,False,113.441,"LINESTRING (6.7874115 52.9205134, 6.7875472 52.9205217, 6.7878959 52.9205074, 6.7880207 52.9205205, 6.7881081 52.9205365, 6.7885047 52.9206406, 6.7890126 52.9207764)",,,,,
6377757,Eskant,residential,30,False,False,228.946,"LINESTRING (6.7874115 52.9205134, 6.7872539 52.9207803, 6.7871127 52.9210537, 6.7869262 52.9214762, 6.786768 52.9219007, 6.7866594 52.9222282, 6.7866191 52.9224182, 6.7866325 52.9224708, 6.7866791 52.9224968)",,,,,
6377537,Leemakkers,residential,30,False,False,59.191,"LINESTRING (6.7890126 52.9207764, 6.789872 52.9208984)",,,,,
