osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,access,ref,width
6677755,Tuinstraat,residential,30,False,False,15.295,"LINESTRING (6.6622 52.35234, 6.6623183 52.3523716, 6.6624137 52.3523786)",,,,,
"[55589273, 6677810, 55589274]",Sesastraat,"['residential', 'unclassified']",50,False,False,52.994,"LINESTRING (6.6622 52.35234, 6.66217 52.3524321, 6.6621254 52.3524785, 6.6620627 52.3525141, 6.6619509 52.352576, 6.6618729 52.3526286, 6.6618416 52.3526818, 6.661839 52.3527387)",yes,,,,
334610479,De Kolk,residential,30,False,False,63.47399999999999,"LINESTRING (6.6628649 52.35234, 6.6629057 52.3523655, 6.6630072 52.3524555, 6.6631455 52.3526204, 6.6635371 52.3525943)",,,,,
334613678,De Kolk,residential,30,False,False,30.944000000000003,"LINESTRING (6.6628649 52.35234, 6.6627774 52.3523469, 6.6624137 52.3523786)",,,,,
6677765,Swanehof,residential,30,False,False,46.68000000000001,"LINESTRING (6.6600328 52.35233, 6.6599508 52.3523855, 6.6600092 52.3524915, 6.6600256 52.3525706, 6.6598991 52.3527032)",,,,,
6677778,Tweede Sligtestraat,living_street,15,False,False,126.069,"LINESTRING (6.6600328 52.35233, 6.6602574 52.3525224, 6.66037 52.35256, 6.66091 52.35295, 6.66098 52.35306, 6.6610751 52.3531513, 6.6611561 52.3532168)",,1,,,
6677755,Tuinstraat,residential,30,False,True,15.295,"LINESTRING (6.6624137 52.3523786, 6.6623183 52.3523716, 6.6622 52.35234)",,,,,
334613678,De Kolk,residential,30,False,True,30.944000000000003,"LINESTRING (6.6624137 52.3523786, 6.6627774 52.3523469, 6.6628649 52.35234)",,,,,
6677914,Zwanenbelt,residential,30,False,False,54.068,"LINESTRING (6.6639673 52.35258, 6.6640659 52.3530625)",,,,,
6677796,Molenkampspark,residential,30,False,False,48.783,"LINESTRING (6.6667087 52.3525697, 6.6666478 52.3525822, 6.6663459 52.3526444, 6.666235 52.3527091, 6.6661487 52.352807)",,,,,
6677000,Looleestraat,residential,30,False,False,77.446,"LINESTRING (6.6694657 52.3525641, 6.6684919 52.3528043, 6.6684087 52.3528254)",,,,,
6677038,Reggestraat,residential,30,False,False,61.803,"LINESTRING (6.6694657 52.3525641, 6.669556 52.3527013, 6.6698051 52.3530798)",,,,,
6677037,Hofkampstraat,residential,30,False,False,129.444,"LINESTRING (6.6715538 52.3526219, 6.6714465 52.3526679, 6.671315 52.3527062, 6.670666 52.3528643, 6.670179 52.3529863, 6.6700233 52.3530239, 6.6698051 52.3530798)",,1,,,
6677113,Hofkampstraat,tertiary,50,False,False,68.174,"LINESTRING (6.6715538 52.3526219, 6.6716322 52.3526342, 6.6725316 52.3527604)",,2,,,
"[6677777, 6677764]","['Sesastraat', 'Poulinkstraat']",unclassified,50,False,False,72.634,"LINESTRING (6.661839 52.3527387, 6.6617724 52.3527528, 6.6617277 52.352776, 6.6616786 52.3528483, 6.6616421 52.3528946, 6.6615981 52.3529506, 6.6613441 52.3531369, 6.6612854 52.3531663, 6.6611561 52.3532168)",,2,,,
"[998708730, 6678029, 6677767]",Adadwarsstraat,unclassified,50,False,False,116.975,"LINESTRING (6.661839 52.3527387, 6.6619198 52.3527555, 6.662007 52.3527883, 6.6620624 52.3528219, 6.6623645 52.3530053, 6.6626902 52.3532238, 6.6630023 52.353498)",,2,,,
"[55589273, 55589274, 6677810]",Sesastraat,"['unclassified', 'residential']",50,False,True,52.994,"LINESTRING (6.661839 52.3527387, 6.6618416 52.3526818, 6.6618729 52.3526286, 6.6619509 52.352576, 6.6620627 52.3525141, 6.6621254 52.3524785, 6.66217 52.3524321, 6.6622 52.35234)",yes,,,,
6677765,Swanehof,residential,30,False,False,73.188,"LINESTRING (6.6598991 52.3527032, 6.6602843 52.3530118, 6.6602643 52.3530518, 6.6598913 52.3530666)",,,,,
6677766,Swanehof,residential,30,False,False,40.61,"LINESTRING (6.6598991 52.3527032, 6.6598745 52.3527855, 6.6598734 52.3529343, 6.6598913 52.3530666)",,,,,
6677765,Swanehof,residential,30,False,True,46.68000000000001,"LINESTRING (6.6598991 52.3527032, 6.6600256 52.3525706, 6.6600092 52.3524915, 6.6599508 52.3523855, 6.6600328 52.35233)",,,,,
6677816,Grotestraat,residential,30,True,False,7.727,"LINESTRING (6.665187 52.3527471, 6.6652236 52.3528129)",,,,,
6677731,Holtjesstraat,residential,30,True,False,64.74600000000001,"LINESTRING (6.665187 52.3527471, 6.6650159 52.3527967, 6.6647811 52.3529273, 6.6645719 52.3530026, 6.6643721 52.3530263)",,,,,
6677001,Ganzendiepstraat,unclassified,30,False,False,11.839,"LINESTRING (6.6730252 52.3527125, 6.6729817 52.3528156)",,,,,
6677112,Hofkampstraat,unclassified,50,False,False,31.18,"LINESTRING (6.6725316 52.3527604, 6.6729817 52.3528156)",,,,,
6677113,Hofkampstraat,tertiary,50,False,True,68.174,"LINESTRING (6.6725316 52.3527604, 6.6716322 52.3526342, 6.6715538 52.3526219)",,2,,,
