osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,tunnel,ref,junction
222350226,Jacob Leendert van Rijweg,tertiary,50,False,True,25.791,"LINESTRING (4.4864745 52.058234, 4.4864146 52.058005)",,,,,
7442798,Dublinstraat,unclassified,30,False,False,46.119,"LINESTRING (4.4864745 52.058234, 4.4863595 52.0582508, 4.4859646 52.0583175, 4.485823 52.0583414)",,,,,
222350226,Jacob Leendert van Rijweg,tertiary,50,False,False,96.285,"LINESTRING (4.4864745 52.058234, 4.4865862 52.0586202, 4.4867499 52.0589993, 4.4867948 52.0590759)",,,,,
"[7442712, 7442753, 7442755]",Oxfordstraat,unclassified,30,False,False,221.003,"LINESTRING (4.4914484 52.0581629, 4.4913585 52.0582154, 4.4912216 52.0584025, 4.4911527 52.0586155, 4.4911358 52.0588036, 4.4911606 52.0590769, 4.4912188 52.0592638, 4.4913169 52.0594364, 4.4914335 52.0595901, 4.4915077 52.059689, 4.4915 52.0598069, 4.4914106 52.0600004, 4.4913791 52.060053)",,,,,
7442756,Londenstraat,residential,30,False,True,55.52700000000001,"LINESTRING (4.4914484 52.0581629, 4.4916231 52.0582113, 4.4917937 52.0582525, 4.4921361 52.0583353, 4.4921991 52.0583531)",,,,,
7442798,Dublinstraat,unclassified,30,False,True,46.119,"LINESTRING (4.485823 52.0583414, 4.4859646 52.0583175, 4.4863595 52.0582508, 4.4864745 52.058234)",,,,,
"[7441985, 7442737]",Londenstraat,unclassified,30,False,False,201.99,"LINESTRING (4.4921991 52.0583531, 4.4921028 52.0585386, 4.492059 52.0586806, 4.492037 52.0588498, 4.4920537 52.058986, 4.4921076 52.0591435, 4.4921954 52.0593009, 4.4922716 52.0593957, 4.4923892 52.0595057, 4.4925951 52.0596506, 4.4927076 52.0597222, 4.4928361 52.0597838, 4.4929676 52.059836, 4.4929105 52.0599485)",,,,,
7442756,Londenstraat,residential,30,False,False,55.527,"LINESTRING (4.4921991 52.0583531, 4.4921361 52.0583353, 4.4917937 52.0582525, 4.4916231 52.0582113, 4.4914484 52.0581629)",,,,,
"[7441984, 7442795, 7442734]",Londenstraat,unclassified,30,False,False,221.907,"LINESTRING (4.4921991 52.0583531, 4.4924141 52.0584043, 4.4923354 52.0585592, 4.4922899 52.0586812, 4.4922706 52.0587973, 4.4922859 52.0589619, 4.4923567 52.0591474, 4.4924576 52.0592989, 4.4925823 52.0594218, 4.4926892 52.0595076, 4.4927676 52.0595556, 4.492973 52.059658, 4.4932738 52.0597909, 4.4931518 52.059997)",,,,,
"[108959816, 7442514, 48681061]",Vlamingstraat,"['unclassified', 'residential']",,False,False,47.268,"LINESTRING (4.4879453 52.0587854, 4.4879595 52.0588079, 4.4880334 52.0589246, 4.488195 52.0591818)",yes,,,,
44783835,Vlamingstraat,residential,30,False,False,85.058,"LINESTRING (4.4879453 52.0587854, 4.4873481 52.0589454, 4.4869182 52.0590491, 4.4868733 52.0590588, 4.4867948 52.0590759)",,,,,
"[108959812, 977625807, 7442809, 913225018, 7442811]",Jacob Leendert van Rijweg,tertiary,50,False,True,106.916,"LINESTRING (4.4867948 52.0590759, 4.4868145 52.0591092, 4.4868831 52.0592062, 4.4869134 52.0592479, 4.4870679 52.0594586, 4.487108 52.059513, 4.4873735 52.0599137, 4.4874042 52.0599612)",yes,,,,
44783835,Vlamingstraat,residential,30,False,True,85.05799999999999,"LINESTRING (4.4867948 52.0590759, 4.4868733 52.0590588, 4.4869182 52.0590491, 4.4873481 52.0589454, 4.4879453 52.0587854)",,,,,
222350226,Jacob Leendert van Rijweg,tertiary,50,False,True,96.285,"LINESTRING (4.4867948 52.0590759, 4.4867499 52.0589993, 4.4865862 52.0586202, 4.4864745 52.058234)",,,,,
7442515,Vlamingstraat,residential,,False,False,50.017,"LINESTRING (4.488875 52.0590159, 4.488195 52.0591818)",,,,,
7442515,Vlamingstraat,residential,,False,True,50.017,"LINESTRING (4.488195 52.0591818, 4.488875 52.0590159)",,,,,
7442508,Vlamingstraat,residential,,False,False,81.345,"LINESTRING (4.488195 52.0591818, 4.4873888 52.0593821, 4.4874999 52.0595668)",,,,,
"[108959816, 7442514, 48681061]",Vlamingstraat,"['residential', 'unclassified']",,False,True,47.268,"LINESTRING (4.488195 52.0591818, 4.4880334 52.0589246, 4.4879595 52.0588079, 4.4879453 52.0587854)",yes,,,,
"[7442803, 975807811, 7442804, 44116599]",Bovenlangs,tertiary,50,False,True,211.14800000000005,"LINESTRING (4.4874042 52.0599612, 4.4874324 52.0600093, 4.4877501 52.060533, 4.487788 52.0605904, 4.4878148 52.0606166, 4.4878653 52.0606419, 4.4879173 52.0606611, 4.48796 52.0606681, 4.4880224 52.0606744, 4.4889162 52.060739, 4.4890241 52.0607293, 4.4890912 52.0607132, 4.4891386 52.0606829, 4.4891704 52.0606385, 4.4892392 52.0603442)",yes,2,,,
"[975802955, 203648942]",Engelandlaan,tertiary,50,False,True,287.17600000000004,"LINESTRING (4.4874042 52.0599612, 4.487479 52.0599518, 4.4883563 52.0598421, 4.488754 52.0597452, 4.4890923 52.059658, 4.4893222 52.0596167, 4.4894837 52.0596098, 4.4896051 52.0596199, 4.4897075 52.0596334, 4.4898413 52.0596638, 4.4907148 52.0598829, 4.4913791 52.060053)",yes,,,,
"[108959812, 977625807, 7442809, 913225018, 7442811]",Jacob Leendert van Rijweg,tertiary,50,False,False,106.91599999999998,"LINESTRING (4.4874042 52.0599612, 4.4873735 52.0599137, 4.487108 52.059513, 4.4870679 52.0594586, 4.4869134 52.0592479, 4.4868831 52.0592062, 4.4868145 52.0591092, 4.4867948 52.0590759)",yes,,,,
"[7442712, 7442753, 7442755]",Oxfordstraat,unclassified,30,False,True,221.003,"LINESTRING (4.4913791 52.060053, 4.4914106 52.0600004, 4.4915 52.0598069, 4.4915077 52.059689, 4.4914335 52.0595901, 4.4913169 52.0594364, 4.4912188 52.0592638, 4.4911606 52.0590769, 4.4911358 52.0588036, 4.4911527 52.0586155, 4.4912216 52.0584025, 4.4913585 52.0582154, 4.4914484 52.0581629)",,,,,
"[975802955, 203648942]",Engelandlaan,tertiary,50,False,False,287.17600000000004,"LINESTRING (4.4913791 52.060053, 4.4907148 52.0598829, 4.4898413 52.0596638, 4.4897075 52.0596334, 4.4896051 52.0596199, 4.4894837 52.0596098, 4.4893222 52.0596167, 4.4890923 52.059658, 4.488754 52.0597452, 4.4883563 52.0598421, 4.487479 52.0599518, 4.4874042 52.0599612)",yes,,,,
975802955,Engelandlaan,tertiary,50,False,True,93.974,"LINESTRING (4.4913791 52.060053, 4.4921829 52.0602522, 4.4923835 52.0603041, 4.4926508 52.0603737)",,,,,
204132273,Londenstraat,unclassified,30,False,False,17.356,"LINESTRING (4.4929105 52.0599485, 4.4931518 52.059997)",,,,,
