osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,lanes
6554994,Johan Mauritsstraat,residential,30,False,False,31.638,"LINESTRING (5.6641039 53.0291241, 5.6638711 53.0293718)",,,
295742789,2e Woudstraat,residential,30,False,False,117.309,"LINESTRING (5.6641039 53.0291241, 5.6654892 53.0296479, 5.665589 53.0296856)",,,
6555249,Hoogend,secondary,30,False,False,56.533,"LINESTRING (5.6592967 53.029197, 5.659475 53.0292564, 5.6597909 53.0293358, 5.6600737 53.0293945)",,,
6555166,Willem de Zwijgerstraat,residential,30,False,False,55.603,"LINESTRING (5.6672122 53.0292643, 5.6679041 53.0295416)",,,
"[6555160, 6554564]","['Maria Louisestraat', 'Jan van Nassaustraat']",residential,30,False,False,153.625,"LINESTRING (5.6672122 53.0292643, 5.6666977 53.0297378, 5.6664786 53.0299395, 5.6664169 53.0299962, 5.6671434 53.0302539)",,,
6555165,Lange Veemarktstraat,residential,30,False,False,24.472,"LINESTRING (5.6578138 53.0293288, 5.6576686 53.0293729, 5.6575642 53.0294778)",,,
"[6555177, 6555178]","['Geeuwkade', 'Westersingel']",residential,30,False,False,155.84,"LINESTRING (5.6578138 53.0293288, 5.6578831 53.0293986, 5.657999 53.0294555, 5.6583886 53.0296218, 5.6574597 53.0303814)",,,
6554994,Johan Mauritsstraat,residential,30,False,True,31.638,"LINESTRING (5.6638711 53.0293718, 5.6641039 53.0291241)",,,
6555167,Johan Mauritsstraat,residential,30,False,False,43.335,"LINESTRING (5.6638711 53.0293718, 5.6635227 53.0297004)",,,
6554995,1e Woudstraat,residential,30,False,False,116.06099999999999,"LINESTRING (5.6638711 53.0293718, 5.6645629 53.029634, 5.6647251 53.0296955, 5.6652405 53.0298908, 5.6653394 53.0299283)",,,
"[586671842, 586671843, 6555037]",Oude Koemarkt,unclassified,30,False,False,24.837,"LINESTRING (5.6600737 53.0293945, 5.6600358 53.0294516, 5.659973 53.0295557, 5.6599432 53.0296036)",yes,,
6555249,Hoogend,secondary,30,False,False,70.7,"LINESTRING (5.6600737 53.0293945, 5.6606087 53.029501, 5.6608095 53.0295444, 5.6610733 53.0296014)",,,
6555249,Hoogend,secondary,30,False,True,56.533,"LINESTRING (5.6600737 53.0293945, 5.6597909 53.0293358, 5.659475 53.0292564, 5.6592967 53.029197)",,,
6555135,Johan Willem Frisostraat,unclassified,30,False,False,36.032,"LINESTRING (5.6658324 53.0293965, 5.665589 53.0296856)",,,
293587538,Smidsbuurt,residential,30,False,False,30.982,"LINESTRING (5.6575642 53.0294778, 5.6573712 53.0297311)",,,
"[6555435, 6555165]",Lange Veemarktstraat,residential,30,False,False,112.432,"LINESTRING (5.6575642 53.0294778, 5.6571859 53.0293675, 5.6571013 53.0294599, 5.6568651 53.0297329, 5.6568154 53.0297989, 5.6566139 53.0300431)",,,
6555165,Lange Veemarktstraat,residential,30,False,True,24.472,"LINESTRING (5.6575642 53.0294778, 5.6576686 53.0293729, 5.6578138 53.0293288)",,,
6555133,de Colignystraat,residential,30,False,False,94.133,"LINESTRING (5.6679041 53.0295416, 5.6671434 53.0302539)",,,
6555166,Willem de Zwijgerstraat,residential,30,False,False,53.059,"LINESTRING (5.6679041 53.0295416, 5.6685792 53.0297923)",,,
6555166,Willem de Zwijgerstraat,residential,30,False,True,55.603,"LINESTRING (5.6679041 53.0295416, 5.6672122 53.0292643)",,,
6555478,Almastraat,residential,30,False,False,86.611,"LINESTRING (5.6536746 53.029567, 5.653807 53.02968, 5.6538287 53.029758, 5.6539244 53.0301023, 5.6539827 53.0303119)",,,
78337074,Kleine Palen,residential,30,False,True,44.066,"LINESTRING (5.6610733 53.0296014, 5.6614904 53.0292946)",,,
"[743435857, 743435858, 6554948]",Singel,secondary,30,False,False,232.305,"LINESTRING (5.6610733 53.0296014, 5.6611973 53.0296469, 5.6612961 53.0297241, 5.6614799 53.0299496, 5.6617906 53.0303561, 5.6619201 53.0305256, 5.6624602 53.0313317, 5.6624961 53.0314804)",,,
6555171,Hoogend,residential,30,False,False,43.482,"LINESTRING (5.6610733 53.0296014, 5.6609294 53.0296552, 5.6604601 53.029718)",,,
6555249,Hoogend,secondary,30,False,True,70.7,"LINESTRING (5.6610733 53.0296014, 5.6608095 53.0295444, 5.6606087 53.029501, 5.6600737 53.0293945)",,,
6555040,Oude Koemarkt,unclassified,30,False,False,4.235,"LINESTRING (5.6599432 53.0296036, 5.659923 53.0296397)",,,
6555174,Hoogend,residential,30,False,False,29.24,"LINESTRING (5.6599432 53.0296036, 5.6603435 53.0297094)",,,
"[586671842, 586671843, 6555037]",Oude Koemarkt,unclassified,30,False,True,24.837000000000003,"LINESTRING (5.6599432 53.0296036, 5.659973 53.0295557, 5.6600358 53.0294516, 5.6600737 53.0293945)",yes,,
6555040,Oude Koemarkt,unclassified,30,False,True,4.235,"LINESTRING (5.659923 53.0296397, 5.6599432 53.0296036)",,,
"[6555128, 6555130, 6554810, 6554565]",Oude Koemarkt,unclassified,30,False,False,225.22699999999998,"LINESTRING (5.659923 53.0296397, 5.6598758 53.0297184, 5.6594842 53.0301785, 5.6594184 53.0302665, 5.6591115 53.0307226, 5.6590689 53.0308205, 5.6588969 53.0312162, 5.6588016 53.0315175, 5.6587954 53.0315367)",,,
"[6555176, 6554562]","['Zuidend', 'Hoogend']",residential,30,False,True,85.993,"LINESTRING (5.659923 53.0296397, 5.6593039 53.0294903, 5.6590583 53.0298319)",,,
6554555,Waterpoortsgracht,residential,30,False,False,57.087,"LINESTRING (5.6586989 53.0297362, 5.6582379 53.0301683)",,,
6555156,Mollemaklooster,residential,30,False,False,26.284,"LINESTRING (5.6586989 53.0297362, 5.6590583 53.0298319)",,,
6555175,Waterpoortsgracht,residential,30,False,True,42.918,"LINESTRING (5.6586989 53.0297362, 5.6587935 53.0296665, 5.6590526 53.0294417, 5.6590723 53.0294226)",,,
