osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge,junction
966250300,Veenwal,residential,30,False,True,31.815,"LINESTRING (5.0892496 52.0257532, 5.0888111 52.0258484)",,,,
966250300,Veenwal,residential,30,False,False,31.815,"LINESTRING (5.0888111 52.0258484, 5.0892496 52.0257532)",,,,
7055130,Zandwal,residential,30,False,False,82.79599999999999,"LINESTRING (5.0888111 52.0258484, 5.088677 52.0258815, 5.0885787 52.0259058, 5.0884778 52.0261412, 5.0883948 52.0262012, 5.0883275 52.0262265, 5.088202 52.0262328, 5.0879774 52.026199)",,,,
"[7055122, 966250300]",Veenwal,residential,30,False,"[False, True]",83.076,"LINESTRING (5.0888111 52.0258484, 5.0888498 52.0259241, 5.0889167 52.0260603, 5.0889126 52.0261305, 5.0888424 52.0263054, 5.0887355 52.0265725)",6,,,
7055146,Schermwal,residential,,False,True,37.056,"LINESTRING (5.0905248 52.026027, 5.0899869 52.0260659)",,,,
7055146,Schermwal,residential,,False,False,37.056,"LINESTRING (5.0899869 52.0260659, 5.0905248 52.026027)",,,,
7055153,Binnenwal,residential,50,False,False,78.176,"LINESTRING (5.0899869 52.0260659, 5.0899996 52.0262267, 5.089965 52.0265161, 5.0899122 52.0266194, 5.0898423 52.0267564)",,2,,
7055130,Zandwal,residential,30,False,True,20.38,"LINESTRING (5.087687 52.0261582, 5.0879774 52.026199)",,,,
7055127,Zandwal,residential,30,False,False,27.963,"LINESTRING (5.0879774 52.026199, 5.0878759 52.0264426)",,,,
7055130,Zandwal,residential,30,False,False,20.38,"LINESTRING (5.0879774 52.026199, 5.087687 52.0261582)",,,,
7055130,Zandwal,residential,30,False,True,82.796,"LINESTRING (5.0879774 52.026199, 5.088202 52.0262328, 5.0883275 52.0262265, 5.0883948 52.0262012, 5.0884778 52.0261412, 5.0885787 52.0259058, 5.088677 52.0258815, 5.0888111 52.0258484)",,,,
7055121,Vlietwal,residential,30,False,False,60.56,"LINESTRING (5.0878759 52.0264426, 5.0887355 52.0265725)",,,,
7055127,Zandwal,residential,30,False,True,27.963,"LINESTRING (5.0878759 52.0264426, 5.0879774 52.026199)",,,,
7055157,Kleiwal,residential,30,False,False,24.946,"LINESTRING (5.0878759 52.0264426, 5.0877968 52.0266303, 5.087786 52.02666)",,,,
"[841389539, 7055189, 7055166]","['Vlietwal', 'Zavelwal']",residential,30,False,"[False, True]",198.22899999999998,"LINESTRING (5.0878759 52.0264426, 5.0868608 52.0262973, 5.0868245 52.0262957, 5.0867845 52.026294, 5.0866951 52.0263005, 5.0865923 52.026337, 5.0865155 52.0263855, 5.0864901 52.0264705, 5.0864703 52.0265369, 5.0865351 52.0266, 5.0865745 52.0266484, 5.0870224 52.0271988)",5,,,
7055121,Vlietwal,residential,30,False,True,60.56,"LINESTRING (5.0887355 52.0265725, 5.0878759 52.0264426)",,,,
"[7055122, 966250300]",Veenwal,residential,30,False,"[False, True]",83.07600000000001,"LINESTRING (5.0887355 52.0265725, 5.0888424 52.0263054, 5.0889126 52.0261305, 5.0889167 52.0260603, 5.0888498 52.0259241, 5.0888111 52.0258484)",6,,,
7055152,Vlietwal,unclassified,30,False,False,78.456,"LINESTRING (5.0887355 52.0265725, 5.0890876 52.0266261, 5.0894158 52.0266786, 5.0895068 52.0266941, 5.0895659 52.0267041, 5.0898423 52.0267564)",6,,,
"[7055180, 7055189]","['Krijtwal', 'Zavelwal']",residential,30,False,"[False, True]",221.077,"LINESTRING (5.0887355 52.0265725, 5.0886474 52.0267607, 5.088626 52.0268064, 5.0885053 52.027122, 5.0884251 52.0273147, 5.0883356 52.0273632, 5.0881794 52.0274086, 5.0877196 52.0275422, 5.0876729 52.0275558, 5.0873746 52.0276429, 5.0870224 52.0271988)","['5', '6']",,,
"[7055147, 1078937940]","['Meerwal', 'Schermwal']",residential,30,False,"[False, True]",108.24000000000001,"LINESTRING (5.0908989 52.0265659, 5.090937 52.0266594, 5.0908394 52.026899, 5.0901472 52.0267934, 5.0898423 52.0267564)",6,,,
7055119,Leemwal,residential,30,False,False,70.961,"LINESTRING (5.0872726 52.0266146, 5.0872155 52.0267702, 5.0871362 52.0268045, 5.086989 52.0266372, 5.0870127 52.0265749, 5.0872726 52.0266146)",,,,
7055119,Leemwal,residential,30,False,True,70.96099999999998,"LINESTRING (5.0872726 52.0266146, 5.0870127 52.0265749, 5.086989 52.0266372, 5.0871362 52.0268045, 5.0872155 52.0267702, 5.0872726 52.0266146)",,,,
7055119,Leemwal,residential,30,False,False,36.235,"LINESTRING (5.0872726 52.0266146, 5.0873553 52.0265988, 5.0874285 52.0266023, 5.087786 52.02666)",,,,
7052671,Bergwal,residential,30,False,False,18.425,"LINESTRING (5.0951111 52.0266128, 5.095298 52.0267321)",,,,
7052671,Bergwal,residential,30,False,False,94.865,"LINESTRING (5.0951111 52.0266128, 5.0947261 52.0264389, 5.0945925 52.026546, 5.0949496 52.0267051, 5.0949756 52.0267167, 5.0951111 52.0266128)",,,,
7052671,Bergwal,residential,30,False,True,94.865,"LINESTRING (5.0951111 52.0266128, 5.0949756 52.0267167, 5.0949496 52.0267051, 5.0945925 52.026546, 5.0947261 52.0264389, 5.0951111 52.0266128)",,,,
7055119,Leemwal,residential,30,False,True,36.235,"LINESTRING (5.087786 52.02666, 5.0874285 52.0266023, 5.0873553 52.0265988, 5.0872726 52.0266146)",,,,
7055157,Kleiwal,residential,30,False,True,24.946,"LINESTRING (5.087786 52.02666, 5.0877968 52.0266303, 5.0878759 52.0264426)",,,,
7055188,Mergelwal,residential,30,False,False,87.357,"LINESTRING (5.087786 52.02666, 5.0876716 52.0269754, 5.0876379 52.0270074, 5.0873079 52.02711, 5.0870224 52.0271988)",,,,
7052671,Bergwal,residential,30,False,True,18.425,"LINESTRING (5.095298 52.0267321, 5.0951111 52.0266128)",,,,
7052668,Bergwal,residential,30,False,False,114.197,"LINESTRING (5.095298 52.0267321, 5.0963363 52.0272339, 5.0966106 52.0273665)",,,,
7052668,Bergwal,residential,30,False,True,98.17399999999999,"LINESTRING (5.095298 52.0267321, 5.0950369 52.0269217, 5.0949438 52.0269893, 5.095047 52.0272242, 5.0951781 52.0275157)",,,,
"[7055115, 40717749]",Binnenwal,residential,50,False,False,147.19099999999997,"LINESTRING (5.0898423 52.0267564, 5.0897774 52.0268789, 5.0896605 52.0270993, 5.0896367 52.0271442, 5.0895594 52.0273585, 5.0895187 52.0277471, 5.0895226 52.0278442, 5.0895317 52.0279093, 5.0895517 52.0280532)",,"['2', '3']",,
