osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,junction,access,tunnel
1107441782,Vlotlaan,unclassified,False,True,49.496,,"LINESTRING (4.1698301 52.0184259, 4.1704 52.0187)",,,,,
7502035,Havenstraat,unclassified,False,False,133.915,30,"LINESTRING (4.1739635 52.0184767, 4.1738673 52.0186683, 4.1734422 52.0196374)",,,,,
7502754,Vlotlaan,unclassified,False,True,12.033,30,"LINESTRING (4.1675315 52.018678, 4.1677041 52.0186573)",,,,,
7502754,Vlotlaan,unclassified,False,False,125.143,30,"LINESTRING (4.1675315 52.018678, 4.1668011 52.0189911, 4.1664189 52.019155, 4.1660309 52.0193213)",,,,,
7502754,Vlotlaan,unclassified,False,False,12.033,30,"LINESTRING (4.1677041 52.0186573, 4.1675315 52.018678)",,,,,
7571827,Vlotlaan,unclassified,False,True,156.604,,"LINESTRING (4.1677041 52.0186573, 4.1677514 52.0187179, 4.1683513 52.0191842, 4.1684505 52.0192808, 4.1685525 52.0195729, 4.1688693 52.0198433)",,,,,
7502760,Vlotlaan,unclassified,False,False,164.722,,"LINESTRING (4.1704 52.0187, 4.1688693 52.0198433)",,,,,
1107441782,Vlotlaan,unclassified,False,False,49.496,,"LINESTRING (4.1704 52.0187, 4.1698301 52.0184259)",,,,,
7502754,Vlotlaan,unclassified,False,False,55.334,30,"LINESTRING (4.1660309 52.0193213, 4.1657022 52.0194665, 4.1654057 52.0196354)",,,,,
7502754,Vlotlaan,unclassified,False,True,125.143,30,"LINESTRING (4.1660309 52.0193213, 4.1664189 52.019155, 4.1668011 52.0189911, 4.1675315 52.018678)",,,,,
145043746,Vlotlaan,unclassified,False,True,160.822,,"LINESTRING (4.1660309 52.0193213, 4.1655184 52.0188569, 4.1652765 52.0186376, 4.1647106 52.0181248)",,,,,
7502754,Vlotlaan,unclassified,False,False,33.053,30,"LINESTRING (4.1654057 52.0196354, 4.1650463 52.019834)",,,,,
7502754,Vlotlaan,unclassified,False,True,55.334,30,"LINESTRING (4.1654057 52.0196354, 4.1657022 52.0194665, 4.1660309 52.0193213)",,,,,
7502876,Stationsweg,unclassified,False,False,122.015,,"LINESTRING (4.1654057 52.0196354, 4.1654953 52.0196717, 4.1663307 52.0200062, 4.1668037 52.0202012, 4.166906 52.0202258)",,,,,
7502754,Vlotlaan,unclassified,False,True,33.053,30,"LINESTRING (4.1650463 52.019834, 4.1654057 52.0196354)",,,,,
7502754,Vlotlaan,unclassified,False,False,57.959,30,"LINESTRING (4.1650463 52.019834, 4.1646792 52.020074, 4.1644633 52.0202121)",,,,,
7502760,Vlotlaan,unclassified,False,True,164.722,,"LINESTRING (4.1688693 52.0198433, 4.1704 52.0187)",,,,,
7502760,Vlotlaan,unclassified,False,False,39.931,,"LINESTRING (4.1688693 52.0198433, 4.1686856 52.0199926, 4.1685456 52.020071, 4.1684898 52.0201144)",,,,,
7571827,Vlotlaan,unclassified,False,False,156.604,,"LINESTRING (4.1688693 52.0198433, 4.1685525 52.0195729, 4.1684505 52.0192808, 4.1683513 52.0191842, 4.1677514 52.0187179, 4.1677041 52.0186573)",,,,,
7502754,Vlotlaan,unclassified,False,False,14.615,30,"LINESTRING (4.1644633 52.0202121, 4.1643849 52.0202637, 4.164334 52.0203158)",,,,,
7502754,Vlotlaan,unclassified,False,True,57.959,30,"LINESTRING (4.1644633 52.0202121, 4.1646792 52.020074, 4.1650463 52.019834)",,,,,
