osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,junction,access,width,tunnel,bridge
1055864773,True,primary,False,157.647,"LINESTRING (1.5165686 42.5036692, 1.5167493 42.5036924, 1.5169132 42.5036972, 1.5170758 42.5036947, 1.5172351 42.5036873, 1.5184856 42.5036248)",,,,,,,,,
1055864772,True,primary,False,194.68800000000002,"LINESTRING (1.5189281 42.5036718, 1.5174231 42.5037482, 1.5171763 42.5037458, 1.5169824 42.5037403, 1.516761 42.5037107, 1.5165686 42.5036692)",4,CG-1,Avinguda de Salou,50,,,,,
24715008,False,secondary,False,143.17900000000003,"LINESTRING (1.5162334 42.5051161, 1.5163233 42.5051217, 1.516395 42.5051301, 1.5164821 42.5051504, 1.5165565 42.5051844, 1.5166972 42.5052574, 1.5168364 42.5053346, 1.5169092 42.5053671, 1.5169699 42.5053906, 1.517116 42.5054295, 1.5172431 42.505461, 1.5173228 42.5054718, 1.5174068 42.5054794, 1.51753 42.5054824, 1.5176385 42.5054778, 1.5176958 42.5054735, 1.5177627 42.5054671, 1.5178549 42.5054587)",2,,Baixada del Molí,30,,,,,
24715008,False,secondary,True,143.179,"LINESTRING (1.5178549 42.5054587, 1.5177627 42.5054671, 1.5176958 42.5054735, 1.5176385 42.5054778, 1.51753 42.5054824, 1.5174068 42.5054794, 1.5173228 42.5054718, 1.5172431 42.505461, 1.517116 42.5054295, 1.5169699 42.5053906, 1.5169092 42.5053671, 1.5168364 42.5053346, 1.5166972 42.5052574, 1.5165565 42.5051844, 1.5164821 42.5051504, 1.516395 42.5051301, 1.5163233 42.5051217, 1.5162334 42.5051161)",2,,Baixada del Molí,30,,,,,
273906955,True,secondary,False,28.709000000000003,"LINESTRING (1.5178549 42.5054587, 1.5180373 42.5054004, 1.5181581 42.5053331)",1,,Baixada del Molí,50,,,,,
6182278,True,secondary,False,19.448,"LINESTRING (1.5181891 42.5054876, 1.5181547 42.5054635, 1.5181328 42.5054325, 1.5181259 42.5053979, 1.5181346 42.5053635, 1.5181581 42.5053331)",1,,,50,roundabout,,,,
273906954,True,secondary,False,27.6,"LINESTRING (1.5181891 42.5054876, 1.5180649 42.5054727, 1.5178549 42.5054587)",1,,Baixada del Molí,50,,,,,
6182278,True,secondary,False,6.76,"LINESTRING (1.5181581 42.5053331, 1.5181888 42.5053124, 1.5182229 42.5052958)",1,,,50,roundabout,,,,
6182278,True,secondary,False,16.297,"LINESTRING (1.5183957 42.5053502, 1.5184094 42.5053777, 1.5184123 42.5054069, 1.5184041 42.5054357, 1.5183856 42.5054616, 1.5183582 42.5054828)",1,,,50,roundabout,,,,
273906952,True,secondary,False,24.325,"LINESTRING (1.5183957 42.5053502, 1.518435 42.5053691, 1.5184865 42.5053805, 1.5185817 42.5054, 1.5186769 42.5054146)",1,,Avinguda Prat de la Creu,50,,,,,
6182289,False,secondary,False,24.059,"LINESTRING (1.5184826 42.5051235, 1.5186069 42.5049275)",2,,Baixada del Molí,50,,,,,
1055616942,True,secondary,False,26.433999999999997,"LINESTRING (1.5184826 42.5051235, 1.5184248 42.5052292, 1.5184025 42.5052805, 1.5183985 42.505311, 1.5183957 42.5053502)",2,,Baixada del Molí,50,,,,,
6182289,False,secondary,True,24.059,"LINESTRING (1.5186069 42.5049275, 1.5184826 42.5051235)",2,,Baixada del Molí,50,,,,,
6182289,False,secondary,False,110.604,"LINESTRING (1.5186069 42.5049275, 1.518721 42.5046785, 1.5187707 42.5045553, 1.5188206 42.5044316, 1.5188529 42.5043552, 1.5189348 42.5042007, 1.5189905 42.5041108, 1.5190453 42.5040315, 1.5190522 42.5040193, 1.5190699 42.5039953)",2,,Baixada del Molí,50,,,,,
6275516,False,residential,False,99.254,"LINESTRING (1.5186069 42.5049275, 1.518633 42.5049573, 1.5186708 42.5049742, 1.5188106 42.505008, 1.5190515 42.5050552, 1.5194861 42.5051375, 1.5195952 42.5051398, 1.5197551 42.5051122)",2,,Carrer de la Grau,,,,,,
6275516,False,residential,True,46.496,"LINESTRING (1.5186069 42.5049275, 1.5185656 42.5048845, 1.518542 42.5048683, 1.5185155 42.5048608, 1.5180806 42.5048511)",2,,Carrer de la Grau,,,,,,
6182303,False,secondary,False,42.35,"LINESTRING (1.5214573 42.5061534, 1.5210037 42.5059711)",2,,Carrer Prat de la Creu,50,,,,,
1055348286,True,secondary,False,13.613,"LINESTRING (1.5214573 42.5061534, 1.5215017 42.5061665, 1.5215519 42.5061692, 1.5216192 42.5061625)",2,,Carrer Prat de la Creu,50,,,,,
6182303,False,secondary,True,201.635,"LINESTRING (1.5186769 42.5054146, 1.5186984 42.5054154, 1.5187988 42.5054278, 1.5190213 42.5054452, 1.5194237 42.5055233, 1.5197122 42.5055843, 1.5198829 42.5056281, 1.5201591 42.5057027, 1.5204427 42.5057714, 1.5205909 42.5058243, 1.5207357 42.5058771, 1.5207772 42.5058914, 1.5210037 42.5059711)",2,,Carrer Prat de la Creu,50,,,,,
273906951,True,secondary,False,27.583,"LINESTRING (1.5186769 42.5054146, 1.5185679 42.5054202, 1.5184833 42.5054373, 1.5183582 42.5054828)",1,,Avinguda Prat de la Creu,50,,,,,
6182333,True,secondary,False,3.97,"LINESTRING (1.5217898 42.5063186, 1.5217703 42.5063293, 1.5217487 42.5063372)",1,,Rotonda de Govern,50,roundabout,,,,
6182333,True,secondary,False,12.417,"LINESTRING (1.5218301 42.5062171, 1.5218346 42.506236, 1.5218342 42.5062552, 1.5218262 42.5062824, 1.5218125 42.5063009, 1.5217898 42.5063186)",1,,Rotonda de Govern,50,roundabout,,,,
1055348288,True,secondary,False,13.318999999999999,"LINESTRING (1.5218301 42.5062171, 1.5218598 42.5062525, 1.5218938 42.5062761, 1.5219417 42.5063019)",,,,,,,,,
6182333,True,secondary,False,6.404,"LINESTRING (1.5217893 42.5061688, 1.521807 42.5061829, 1.5218208 42.5061992, 1.5218301 42.5062171)",1,,Rotonda de Govern,50,roundabout,,,,
6182333,True,secondary,False,3.47,"LINESTRING (1.5216192 42.5061625, 1.5216372 42.5061543, 1.5216568 42.5061484)",1,,Rotonda de Govern,50,roundabout,,,,
6182333,True,secondary,False,12.844999999999999,"LINESTRING (1.5215656 42.5062643, 1.5215628 42.5062473, 1.5215632 42.5062411, 1.521564 42.5062302, 1.5215691 42.5062134, 1.521578 42.5061957, 1.5215941 42.5061797, 1.5216192 42.5061625)",1,,Rotonda de Govern,50,roundabout,,,,
1055348290,True,secondary,False,15.343,"LINESTRING (1.5215656 42.5062643, 1.5215338 42.5062174, 1.5214984 42.5061828, 1.5214573 42.5061534)",,,,,,,,,
6182349,True,primary,False,20.466,"LINESTRING (1.5222028 42.5047836, 1.5221545 42.504793, 1.5221046 42.5047924, 1.5220567 42.5047821, 1.5220143 42.5047627, 1.5219804 42.5047356)",2,,Rotonda de Casadet,50,roundabout,,,,
1055599468,True,secondary,False,24.149,"LINESTRING (1.5222028 42.5047836, 1.5221149 42.5048555, 1.5220768 42.5049014, 1.5220638 42.5049214, 1.5220377 42.5049614)",2,,Carrer Doctor Vilanova,50,,yes,,,
173167308,False,secondary,False,68.357,"LINESTRING (1.5233915 42.5066483, 1.5231128 42.5065824, 1.5228754 42.5065234, 1.5228403 42.5065149, 1.5225992 42.5064566)",2,,Carrer Prat de la Creu,50,,yes,,,
173167308,False,secondary,True,286.489,"LINESTRING (1.5233915 42.5066483, 1.5236299 42.5067047, 1.5240888 42.5068124, 1.5241704 42.5068316, 1.5242138 42.5068418, 1.5243496 42.5068737, 1.5244299 42.5068926, 1.5245828 42.50693, 1.5246196 42.506939, 1.5247179 42.506963, 1.5248844 42.5070037, 1.5249456 42.5070186, 1.5249665 42.5070237, 1.5250781 42.5070427, 1.5251043 42.5070465, 1.5251266 42.507048, 1.5252521 42.5070618, 1.5252985 42.5070664, 1.5254334 42.5070799, 1.5260937 42.5071414, 1.5263193 42.5071581, 1.5267865 42.5071928, 1.5267908 42.5071931)",2,,Carrer Prat de la Creu,50,,yes,,,
173167308,False,secondary,False,31.273,"LINESTRING (1.5271704 42.5072212, 1.5267908 42.5071931)",2,,Carrer Prat de la Creu,50,,yes,,,
273906959,False,secondary,True,12.297,"LINESTRING (1.5202153 42.5026241, 1.520238 42.5026769, 1.520249 42.5027315)",2,CS-101,Carretera de la Comella,50,,yes,,,
280431176,False,secondary,False,14.959999999999999,"LINESTRING (1.5195667 42.5032827, 1.5195838 42.5032651, 1.5196154 42.5032383, 1.5196948 42.5031877)",,CS-101,,50,,yes,,,
280431177,True,secondary,False,28.233,"LINESTRING (1.5195667 42.5032827, 1.5195356 42.5033471, 1.5195212 42.5034102, 1.5195212 42.5034503, 1.5195292 42.5034703, 1.5195526 42.5035284)",,CS-101,,50,,yes,,,
