osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,access,bridge,junction
98637165,True,2,Մ-3,trunk,False,357.294,"LINESTRING (44.3601428 40.289729, 44.3603414 40.2895475, 44.3604873 40.289366, 44.360597 40.2891674, 44.3606397 40.2889387, 44.3606389 40.2887222, 44.3605855 40.2885102, 44.36048 40.2882847, 44.3601468 40.2877954, 44.3601051 40.2877333, 44.3597963 40.2872736, 44.3596405 40.2870496, 44.3595499 40.2869165, 44.3595229 40.2868142)",,,,,
"[404550442, 404550443, 404550444]",False,2,Մ-3,trunk,"[False, True]",216.28500000000003,"LINESTRING (44.3601428 40.289729, 44.3596996 40.2898947, 44.3582276 40.2904847, 44.3578845 40.2906318)",Երևանյան փողոց,60,yes,yes,
855648536,False,2,Մ-3,trunk,True,156.066,"LINESTRING (44.3601428 40.289729, 44.3609111 40.2896097, 44.3615506 40.2896093, 44.3619515 40.2896953)",Երևանյան փողոց,60,yes,,
316128459,False,,,living_street,True,410.439,"LINESTRING (44.3619515 40.2896953, 44.3618867 40.2898116, 44.3612983 40.2898057, 44.3605747 40.2901975, 44.3604558 40.2902619, 44.3604031 40.2905951, 44.3604482 40.2907068, 44.3605399 40.290934, 44.3608749 40.2913215, 44.3613496 40.2917703, 44.3619906 40.2921125)",,,,,
855648536,False,2,Մ-3,trunk,False,156.06599999999997,"LINESTRING (44.3619515 40.2896953, 44.3615506 40.2896093, 44.3609111 40.2896097, 44.3601428 40.289729)",Երևանյան փողոց,60,yes,,
855648536,False,2,Մ-3,trunk,True,138.48,"LINESTRING (44.3619515 40.2896953, 44.3619891 40.2897041, 44.3624617 40.2898544, 44.3629371 40.2900564, 44.3634036 40.2902595)",Երևանյան փողոց,60,yes,,
131881898,False,,,residential,True,168.23,"LINESTRING (44.3548375 40.2941507, 44.3561918 40.2930453)",Զորավար Անդրանիկի փողոց,,,,
190406296,False,,Հ-19,primary,False,213.85500000000002,"LINESTRING (44.3548375 40.2941507, 44.3536305 40.2935943, 44.3525518 40.2933909)",Վարդգես Պետրոսյան փողոց,,,,
190406296,False,,Հ-19,primary,True,218.388,"LINESTRING (44.3548375 40.2941507, 44.3560713 40.2948258, 44.3568921 40.2953332)",Վարդգես Պետրոսյան փողոց,,,,
131881898,False,,,residential,False,53.496,"LINESTRING (44.357906 40.2917878, 44.35734 40.2920001)",Զորավար Անդրանիկի փողոց,,,,
