osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,junction,bridge
109652544,Հ-74,Լալայան փողոց,primary,False,False,134.832,"LINESTRING (46.0289971 39.5259668, 46.0280299 39.5250109)",,,,,
118036431,Հ-74,Սպանդարյանի փ.,primary,False,False,144.555,"LINESTRING (46.0289971 39.5259668, 46.0283673 39.5263746, 46.0276648 39.5267614)",,,,,
136160359,,Լալայան փողոց,living_street,False,False,174.962,"LINESTRING (46.0289971 39.5259668, 46.0293352 39.5262644, 46.0294576 39.5264643, 46.0294747 39.5267005, 46.0294291 39.5269271, 46.0293339 39.5271546, 46.0291944 39.5273822)",,,,,
118012858,,Սիսական փողոց,residential,False,False,227.773,"LINESTRING (46.0275818 39.5216427, 46.027054 39.5218543, 46.0253349 39.5225126, 46.0252083 39.5225612)",,,,,
118039171,,,residential,False,False,123.971,"LINESTRING (46.0275818 39.5216427, 46.0273606 39.5213957, 46.0268693 39.5208471, 46.0267603 39.5207254)",,,,,
109652548,,Սիսական փողոց,residential,False,False,122.701,"LINESTRING (46.0234063 39.5236767, 46.0223513 39.5243036, 46.022273 39.5243501)",,,,,
109652546,Հ-74,Ադոնցի փողոց,primary,False,True,48.827,"LINESTRING (46.0227918 39.5256289, 46.0226428 39.5252051)",2,,,,
151681784,Հ-74,Մյասնիկյան փողոց,primary,False,True,412.936,"LINESTRING (46.0227918 39.5256289, 46.022811 39.5256456, 46.0228403 39.5256599, 46.0228788 39.5256665, 46.0229165 39.5256623, 46.024631 39.5250446, 46.0272 39.5242231)",,,,,
151717720,,Ադոնցի փողոց,residential,False,False,65.859,"LINESTRING (46.0227918 39.5256289, 46.0228562 39.5258423, 46.0229498 39.5260947, 46.0229808 39.5261467, 46.0230304 39.526184)",,,,,
960677610,Հ-45,Երևանյան խճուղի,primary,False,False,274.746,"LINESTRING (46.019836 39.5259537, 46.0222374 39.5243735, 46.022273 39.5243501)",2,60,,,
960677612,Հ-45,Երևանյան խճուղի,primary,True,False,28.680999999999997,"LINESTRING (46.019836 39.5259537, 46.0197176 39.5260727, 46.0196317 39.5261579)",2,,,,
118039171,,,residential,False,True,53.444,"LINESTRING (46.0263798 39.5203448, 46.0267603 39.5207254)",,,,,
427962063,Տ-8-53,Իսրաելյան փողոց,tertiary,False,True,226.98399999999998,"LINESTRING (46.0263798 39.5203448, 46.025224 39.5209139, 46.0246645 39.521229, 46.0241941 39.5214938)",,40,yes,,
109652544,Հ-74,Լալայան փողոց,primary,False,True,67.682,"LINESTRING (46.0272 39.5242231, 46.0276976 39.5246955)",,,,,
122505607,,Արա Մանուկյան փողոց,residential,False,True,8.31,"LINESTRING (46.0272 39.5242231, 46.0271357 39.5241672)",,,,,
151681784,Հ-74,Մյասնիկյան փողոց,primary,False,False,412.936,"LINESTRING (46.0272 39.5242231, 46.024631 39.5250446, 46.0229165 39.5256623, 46.0228788 39.5256665, 46.0228403 39.5256599, 46.022811 39.5256456, 46.0227918 39.5256289)",,,,,
960677611,Հ-45,Երևանյան խճուղի,primary,True,False,49.734,"LINESTRING (46.0188397 39.5262358, 46.0193987 39.5261169)",2,60,,,
118012856,,Խանջյան փողոց,tertiary,False,False,225.192,"LINESTRING (46.0182907 39.5217534, 46.0188851 39.5207177, 46.0193536 39.5199016)",,,,,
136275708,,,living_street,False,False,204.28400000000002,"LINESTRING (46.0182907 39.5217534, 46.0192726 39.5220398, 46.0193261 39.5220553, 46.0196318 39.5221468, 46.0198684 39.5221204, 46.0203727 39.5217373)",,,,,
118012853,,,residential,False,False,147.156,"LINESTRING (46.0241941 39.5214938, 46.0244148 39.5217261, 46.0245128 39.5218293, 46.0249276 39.5222658, 46.0252083 39.5225612)",,,,,
427962063,Տ-8-53,Իսրաելյան փողոց,tertiary,False,False,226.984,"LINESTRING (46.0241941 39.5214938, 46.0246645 39.521229, 46.025224 39.5209139, 46.0263798 39.5203448)",,40,yes,,
427962063,Տ-8-53,Իսրաելյան փողոց,tertiary,False,True,148.32299999999998,"LINESTRING (46.0241941 39.5214938, 46.0238635 39.5217533, 46.0237722 39.5218249, 46.0229543 39.5224234)",,40,yes,,
118012856,,Խանջյան փողոց,tertiary,False,False,30.664,"LINESTRING (46.0193536 39.5199016, 46.0195326 39.519794, 46.0196586 39.5197676)",,,,,
118012856,,Խանջյան փողոց,tertiary,False,True,225.192,"LINESTRING (46.0193536 39.5199016, 46.0188851 39.5207177, 46.0182907 39.5217534)",,,,,
118012853,,,residential,False,True,147.156,"LINESTRING (46.0252083 39.5225612, 46.0249276 39.5222658, 46.0245128 39.5218293, 46.0244148 39.5217261, 46.0241941 39.5214938)",,,,,
118012858,,Սիսական փողոց,residential,False,False,143.459,"LINESTRING (46.0252083 39.5225612, 46.0239452 39.5233513, 46.0239092 39.5233738)",,,,,
