osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,bridge,tunnel
321139485,True,2,Viaduto Brigadeiro Luís Antônio,secondary,40,False,28.416000000000004,"LINESTRING (-46.6376347 -23.5522917, -46.6377037 -23.5524238, -46.6377596 -23.5525201)",,,
425838713,True,,Rua Asdrúbal Nascimento,residential,40,False,71.458,"LINESTRING (-46.6376347 -23.5522917, -46.6377195 -23.5522345, -46.6377426 -23.5522026, -46.6377632 -23.5521617, -46.6377838 -23.5521175, -46.6379086 -23.5517665, -46.637924 -23.5517232)",,,
252274190,True,6,Viaduto Dona Paulina,secondary,50,False,52.545,"LINESTRING (-46.6359282 -23.5520563, -46.6355857 -23.5519457, -46.635442 -23.5518993)",,,
46927934,True,2,Praça Doutor João Mendes,secondary,40,False,53.358,"LINESTRING (-46.635442 -23.5518993, -46.6353811 -23.5514227)",,,
8103465,True,1,Praça Doutor João Mendes,primary,40,False,64.344,"LINESTRING (-46.635442 -23.5518993, -46.6352782 -23.5519118, -46.6351037 -23.5519899, -46.6348583 -23.5520989)",,,
46927935,True,5,Praça Doutor João Mendes,secondary,50,False,53.03,"LINESTRING (-46.635442 -23.5518993, -46.6352117 -23.5518346, -46.6350471 -23.5517842, -46.634943 -23.5517667)",,,
46892577,True,6,Praça Doutor João Mendes,primary,50,False,59.059,"LINESTRING (-46.634943 -23.5517667, -46.6344161 -23.5519876)",,,
223479042,True,2,Praça Doutor João Mendes,primary_link,40,False,43.997,"LINESTRING (-46.634943 -23.5517667, -46.6349763 -23.5518233, -46.6349915 -23.5518544, -46.6350039 -23.5518923, -46.6350082 -23.5519271, -46.6349985 -23.551956, -46.6349737 -23.5519873, -46.6348583 -23.5520989)",,,
8103459,False,,Praça da Sé,living_street,20,True,99.535,"LINESTRING (-46.6344161 -23.5519876, -46.6340198 -23.5511695)",,,
46892577,True,6,Praça Doutor João Mendes,primary,50,False,18.229,"LINESTRING (-46.6344161 -23.5519876, -46.6343238 -23.5520286, -46.6342543 -23.5520574)",,,
46927933,True,6,Praça Doutor João Mendes,primary,50,False,39.285000000000004,"LINESTRING (-46.6342543 -23.5520574, -46.6340074 -23.5521595, -46.633903 -23.5522027)",,,
46927933,True,6,Praça Doutor João Mendes,primary,50,False,74.49,"LINESTRING (-46.633903 -23.5522027, -46.6337883 -23.5522503, -46.6336051 -23.5523233, -46.6332336 -23.5524714)",,,
"[8103464, 425459298]",False,,Rua Onze de Agosto,living_street,,True,100.027,"LINESTRING (-46.633903 -23.5522027, -46.6338378 -23.5520607, -46.6335575 -23.5514966, -46.6335006 -23.5513823)",,,
134365461,True,4,Rua Anita Garibaldi,primary,50,False,92.043,"LINESTRING (-46.6329267 -23.5525309, -46.6328499 -23.5523708, -46.6326378 -23.551942, -46.6325771 -23.5518192, -46.6325558 -23.5517762)",,,
447117762,True,3,Rua Tabatinguera,secondary,40,False,253.17700000000002,"LINESTRING (-46.6329267 -23.5525309, -46.6327589 -23.5525278, -46.6306088 -23.5525149, -46.630443 -23.5525158)",,,
22999960,False,2,Praça Clóvis Beviláqua,living_street,20,False,105.798,"LINESTRING (-46.6325558 -23.5517762, -46.6326508 -23.5517366, -46.6330578 -23.5515669, -46.6335006 -23.5513823)",10,,
"[943037800, 134365461]",True,4,Rua Anita Garibaldi,primary,50,False,159.53,"LINESTRING (-46.6325558 -23.5517762, -46.6325361 -23.5517365, -46.6324767 -23.5516163, -46.6323831 -23.5514271, -46.6321931 -23.551043, -46.6320422 -23.5507425, -46.6320109 -23.5506745, -46.6319095 -23.5504696)",,,
"[8579128, 647497032, 425691399]",True,"['4', '2']",Avenida Rangel Pestana,primary,40,False,108.277,"LINESTRING (-46.6319095 -23.5504696, -46.6318677 -23.5504285, -46.6318231 -23.55039, -46.631782 -23.5503587, -46.6317391 -23.5503295, -46.6315708 -23.5502441, -46.630988 -23.5500007)",,,
"[513951450, 211556997]",True,2,"['Rua Roberto Simonsen', 'Praça Clóvis Beviláqua']",secondary,"['50', '40']",False,123.267,"LINESTRING (-46.6319095 -23.5504696, -46.6318796 -23.5503427, -46.6318784 -23.5502173, -46.6319519 -23.5498556, -46.6320637 -23.5494765, -46.6320901 -23.549387)",,,
48802851,True,1,Rua Quintino Bocaiuva,residential,40,False,70.11399999999999,"LINESTRING (-46.6354804 -23.5511669, -46.6354561 -23.5510897, -46.635319 -23.5506436, -46.6352934 -23.5505601)",,,
425455982,True,2,Rua Riachuelo,secondary,40,False,142.262,"LINESTRING (-46.6354804 -23.5511669, -46.6355836 -23.5511252, -46.6366235 -23.5506657, -46.6367399 -23.5506159)",,,
519155193,True,2,Rua Riachuelo,secondary,40,False,31.886000000000003,"LINESTRING (-46.6353811 -23.5514227, -46.6353819 -23.5513331, -46.6353913 -23.5512718, -46.6354067 -23.5512402, -46.6354349 -23.5512019, -46.6354804 -23.5511669)",,,
8103480,True,2,Rua Floriano Peixoto,secondary,40,False,75.866,"LINESTRING (-46.6322968 -23.5486338, -46.6326171 -23.5487396, -46.6329951 -23.5488698)",,,
"[425457913, 456380334]",False,,Largo Pátio do Colégio,residential,,False,101.93999999999998,"LINESTRING (-46.6322968 -23.5486338, -46.6323219 -23.5485576, -46.6323475 -23.5484882, -46.6324337 -23.5482882, -46.6324469 -23.5482702, -46.632462 -23.5482606, -46.6324851 -23.5482602, -46.6325107 -23.5482687, -46.6327778 -23.5483711, -46.6329779 -23.5484477)",,,
204071640,True,2,Rua Roberto Simonsen,secondary,40,False,86.363,"LINESTRING (-46.6320901 -23.549387, -46.6321146 -23.5492994, -46.632277 -23.5487062, -46.6322968 -23.5486338)",,,
425691444,True,3,Rua Venceslau Brás,primary,40,False,74.422,"LINESTRING (-46.6320901 -23.549387, -46.632193 -23.549399, -46.6328143 -23.5494719)",,,
8103483,False,,Rua Irmã Simpliciana,residential,,False,67.365,"LINESTRING (-46.6328143 -23.5494719, -46.6328769 -23.550075)",,,
"[425691408, 933050893]",True,2,Rua Venceslau Brás,primary,40,False,40.581,"LINESTRING (-46.6328143 -23.5494719, -46.6330573 -23.5495003, -46.6330922 -23.5495006, -46.6331114 -23.5494975, -46.6331258 -23.5494877, -46.6331864 -23.5494387)",,,
"[8103462, 1003722199]",True,2,Rua Senador Feijó,tertiary,40,False,87.87799999999999,"LINESTRING (-46.634488 -23.550842, -46.6345884 -23.5508068, -46.6347943 -23.5507346, -46.6350908 -23.5506315, -46.6351985 -23.5505941, -46.6352934 -23.5505601)",,,
262851665,True,3,Praça da Sé,primary,40,False,101.765,"LINESTRING (-46.634488 -23.550842, -46.6348739 -23.5516306, -46.6348962 -23.5516772)",,,
