osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,junction
"[1051936746, 1051936747, 20245879]",Baker Street,tertiary,False,True,183.363,3,"LINESTRING (-73.015561 40.7614354, -73.0154809 40.7614493, -73.0152813 40.7614838, -73.0149985 40.7615328, -73.0147517 40.7615703, -73.0142335 40.7616452, -73.0141124 40.7616623, -73.0136038 40.7617341, -73.0135179 40.7617372, -73.0134237 40.7617406)",,,
20192148,Academy Court,tertiary,False,False,143.99599999999998,,"LINESTRING (-73.012575 40.764396, -73.0125566 40.7643514, -73.0124761 40.7641564, -73.0121242 40.7632049, -73.0120909 40.7631551)",,,
20196184,Academy Street,tertiary,False,False,72.1,,"LINESTRING (-73.0120909 40.7631551, -73.0129218 40.762999)",,,
20192148,Academy Court,tertiary,False,True,143.99599999999998,,"LINESTRING (-73.0120909 40.7631551, -73.0121242 40.7632049, -73.0124761 40.7641564, -73.0125566 40.7643514, -73.012575 40.764396)",,,
20192149,Academy Court,residential,False,False,37.732,,"LINESTRING (-73.0130429 40.7633257, -73.0129433 40.7630571, -73.0129218 40.762999)",,,
20196184,Academy Street,tertiary,False,True,72.1,,"LINESTRING (-73.0129218 40.762999, -73.0120909 40.7631551)",,,
20192149,Academy Court,residential,False,True,37.732,,"LINESTRING (-73.0129218 40.762999, -73.0129433 40.7630571, -73.0130429 40.7633257)",,,
20196184,Academy Street,tertiary,False,False,83.04699999999998,,"LINESTRING (-73.0129218 40.762999, -73.0129821 40.762988, -73.013156 40.7629654, -73.01351 40.7629056, -73.0137727 40.7628592, -73.0138042 40.7628536, -73.0138848 40.7628393)",,,
669207530,South Ocean Avenue,tertiary,False,True,26.678,,"LINESTRING (-73.0138848 40.7628393, -73.0139926 40.7630649)",,,
20196184,Academy Street,tertiary,False,True,83.04700000000001,,"LINESTRING (-73.0138848 40.7628393, -73.0138042 40.7628536, -73.0137727 40.7628592, -73.01351 40.7629056, -73.013156 40.7629654, -73.0129821 40.762988, -73.0129218 40.762999)",,,
668888786,South Ocean Avenue,tertiary,False,False,128.19899999999998,,"LINESTRING (-73.0138848 40.7628393, -73.0136971 40.7623886, -73.013683 40.7623562, -73.013603 40.7621587, -73.0134894 40.7618926, -73.0134518 40.7618109, -73.0134237 40.7617406)",,,
668888785,South Ocean Avenue,tertiary,False,False,148.304,2,"LINESTRING (-73.015125 40.7657013, -73.0151244 40.7656061, -73.0148855 40.7651076, -73.014581 40.764438)",30 mph,,
"[20232774, 1031541830]",East Main Street,primary,False,False,310.20799999999997,"['3', '2']","LINESTRING (-73.015125 40.7657013, -73.0150113 40.7656988, -73.0143971 40.7656886, -73.0139181 40.7656848, -73.0137286 40.7656843, -73.0136957 40.7656842, -73.0136568 40.7656848, -73.0134686 40.7656877, -73.0132405 40.7656962, -73.0130272 40.7657095, -73.0125243 40.7657484, -73.0123272 40.7657611, -73.0121266 40.7657723, -73.0115744 40.7657943, -73.0115344 40.7657959, -73.0114478 40.7658011)",,,
