osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,ref
8882814,2,Front Street,secondary,30 mph,15.2,False,True,52.514,"LINESTRING (-72.605 42.148466, -72.604385 42.148343)",,
8882814,2,Front Street,secondary,30 mph,15.2,False,False,139.288,"LINESTRING (-72.605 42.148466, -72.60519 42.148505, -72.6058635 42.1486369, -72.6060638 42.1486762, -72.6066331 42.1487871)",,
8883046,2,Canal Street,residential,,8.8,False,False,104.572,"LINESTRING (-72.605 42.148466, -72.604902 42.148745, -72.604859 42.14884, -72.604819 42.148889, -72.604712 42.148934, -72.6042934 42.149028, -72.6041918 42.1490524)",,
8883046,2,Canal Street,residential,,8.8,False,True,53.146,"LINESTRING (-72.6035689 42.1491751, -72.6037854 42.1491369, -72.60397 42.1490964, -72.6041918 42.1490524)",,
8884424,2,Grape Street,residential,,14.3,False,True,35.629999999999995,"LINESTRING (-72.6035689 42.1491751, -72.6035217 42.1490455, -72.603488 42.148861)",,
"[8883474, 839748491, 839748492]",2,Lower Grape Street,residential,,13.7,False,True,115.131,"LINESTRING (-72.6035689 42.1491751, -72.6036454 42.1493255, -72.6036697 42.1493653, -72.6037062 42.1494121, -72.6037369 42.1494392, -72.603853 42.149561, -72.603876 42.149582, -72.603905 42.149602, -72.603936 42.149621, -72.603969 42.149634, -72.604009 42.149638, -72.604052 42.149636, -72.604095 42.149633, -72.604186 42.149629, -72.604277 42.149623, -72.604368 42.149616, -72.604449 42.14961, -72.60453 42.149602, -72.604611 42.149595)",yes,
8882814,2,Front Street,secondary,30 mph,15.2,False,False,17.154,"LINESTRING (-72.604183 42.148306, -72.604385 42.148343)",,
8882814,2,Front Street,secondary,30 mph,15.2,False,True,54.107,"LINESTRING (-72.604183 42.148306, -72.603548 42.148183)",,
8884638,2,Parshley Avenue,residential,,9.1,False,False,84.44399999999999,"LINESTRING (-72.604183 42.148306, -72.6041152 42.1486082, -72.604111 42.148627, -72.604098 42.14872, -72.604115 42.148838, -72.6041918 42.1490524)",,
8883587,2,Cabot Street,secondary,,15.9,True,False,17.903,"LINESTRING (-72.608831 42.145277, -72.608832 42.145116)",,MA 116
8883242,,,secondary_link,,15.9,True,False,29.888,"LINESTRING (-72.608831 42.145277, -72.608768 42.1452009, -72.6087418 42.1451864, -72.608706 42.145182, -72.6086711 42.1451852, -72.608641 42.145198, -72.608564 42.145249)",,
8883376,2,Exchange Street,tertiary,20 mph,15.2,False,False,56.23,"LINESTRING (-72.613143 42.145496, -72.612693 42.145876)",,
8883784,2,West Street,tertiary,,15.9,False,True,30.983,"LINESTRING (-72.613143 42.145496, -72.613152 42.145473, -72.61314 42.145395, -72.613007 42.145249)",,
8883409,2,Dwight Street,residential,,12.2,False,False,117.379,"LINESTRING (-72.608846 42.146097, -72.608895 42.146097, -72.609013 42.146107, -72.609134 42.146139, -72.609263 42.146221, -72.609461 42.146386, -72.60993 42.14673)",,
8883587,2,Cabot Street,secondary,,15.9,True,False,40.032,"LINESTRING (-72.608846 42.146097, -72.6088477 42.1459747, -72.608851 42.145737)",,MA 116
8882726,2,Gilmore Street,residential,,15.2,False,True,105.143,"LINESTRING (-72.607231 42.145319, -72.607913 42.14452)",,
8883107,2,Nonotuck Avenue,residential,,12.8,False,True,74.981,"LINESTRING (-72.607231 42.145319, -72.606774 42.144736)",,
8882726,2,Gilmore Street,residential,,15.2,False,False,101.806,"LINESTRING (-72.607231 42.145319, -72.607043 42.145561, -72.606875 42.145778, -72.606719 42.145919, -72.6065 42.146042)",,
8883107,2,Nonotuck Avenue,residential,,12.8,False,False,90.13,"LINESTRING (-72.607231 42.145319, -72.607719 42.145549, -72.6078447 42.1455974, -72.608176 42.145725)",,
8884368,2,Chicopee Street,secondary,35 mph,19.2,True,False,26.659,"LINESTRING (-72.609718 42.1523438, -72.6099095 42.152537)",,MA 116
8883409,2,Dwight Street,residential,,12.2,False,True,112.55,"LINESTRING (-72.611739 42.148052, -72.611372 42.147793, -72.6111267 42.1476063, -72.610773 42.147337)",,
8883282,2,Exchange Street,secondary,20 mph,15.5,True,False,65.46,"LINESTRING (-72.60881 42.147957, -72.608016 42.147953)",,
8883376,2,Exchange Street,tertiary,20 mph,15.2,False,True,92.61099999999999,"LINESTRING (-72.60881 42.147957, -72.60919 42.14796, -72.609432 42.147926, -72.609682 42.147859, -72.609897 42.147796)",,
8883587,2,Cabot Street,secondary,,15.9,True,False,97.74199999999999,"LINESTRING (-72.60881 42.147957, -72.6088122 42.1476363, -72.6088128 42.1475415, -72.608816 42.147078)",,MA 116
850747660,2,Park Street,residential,,12.2,True,False,69.577,"LINESTRING (-72.609605 42.14538, -72.610209 42.144943)",,
8882219,1,McKeag Avenue,residential,,5.5,True,False,124.005,"LINESTRING (-72.609605 42.14538, -72.6102032 42.1458207, -72.6102118 42.145827, -72.610672 42.146166)",,
850747661,2,Park Street,residential,,12.2,False,False,77.33500000000001,"LINESTRING (-72.609605 42.14538, -72.609564 42.145409, -72.6094003 42.1455366, -72.6093767 42.145555, -72.609256 42.145649, -72.60913 42.145709, -72.609052 42.145731, -72.60896 42.145737, -72.608851 42.145737)",,
8882709,2,South Street,tertiary,,20.1,False,False,37.2,"LINESTRING (-72.606029 42.144778, -72.605743 42.144771, -72.605578 42.144774)",,
8882763,2,South Street,tertiary,,14.0,False,True,61.967,"LINESTRING (-72.606029 42.144778, -72.606117 42.14478, -72.606418 42.144776, -72.606628 42.144768, -72.606774 42.144736)",,
8883367,2,Springfield Street,secondary,,18.3,False,False,80.497,"LINESTRING (-72.6069648 42.147983, -72.6068938 42.1480089, -72.6068643 42.1480183, -72.6068331 42.1480216, -72.6067294 42.14802, -72.606644 42.148002, -72.6065617 42.147953, -72.606439 42.147841, -72.6062236 42.147645)",,
662464541,2,Springfield Street,secondary,30 mph,18.3,True,False,46.403999999999996,"LINESTRING (-72.6069648 42.147983, -72.6069622 42.1480944, -72.6069615 42.1481764, -72.6069635 42.1482244, -72.6069689 42.1482726, -72.6069833 42.1483245, -72.6069964 42.1483601, -72.6070136 42.1483955)",,MA 116
8883733,1,,motorway_link,,15.2,True,False,52.665,"LINESTRING (-72.610395 42.152004, -72.61025 42.152074, -72.610106 42.152144, -72.609976 42.152225, -72.609932 42.152257, -72.60989 42.152291)",,
