osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge
618022791,True,West Norwegian Street,residential,False,81.779,"LINESTRING (-76.1983833 40.6835965, -76.1992111 40.6832133)",,,,
14996302,True,North 5th Street,residential,False,75.699,"LINESTRING (-76.1983833 40.6835965, -76.1985989 40.6838565, -76.1988612 40.6841728)",,,,
151671940,True,West Market Street,primary,False,66.858,"LINESTRING (-76.1988612 40.6841728, -76.1985515 40.6843296, -76.1982957 40.6845827)",1,US 209,,
15017935,False,Scott Street,residential,False,141.628,"LINESTRING (-76.1940794 40.6819703, -76.1955033 40.6812948)",,,,
151511720,False,South 2nd Street,residential,True,39.9,"LINESTRING (-76.1940794 40.6819703, -76.1943016 40.6822871)",,,,
618545535,False,Progress Avenue,residential,False,82.888,"LINESTRING (-76.1957294 40.6874065, -76.1961454 40.6880819)",,,,
618545535,False,Progress Avenue,residential,True,79.378,"LINESTRING (-76.1957294 40.6874065, -76.195243 40.6867953)",,,,
15007877,False,East Race Street,residential,True,88.85,"LINESTRING (-76.1957294 40.6874065, -76.1964742 40.6870236, -76.1966152 40.6869768)",,,,
15000490,False,Jackson Street,residential,False,74.591,"LINESTRING (-76.1911018 40.6883093, -76.1916458 40.6888383)",,,,
912195891,True,East Market Street,residential,False,178.656,"LINESTRING (-76.1911018 40.6883093, -76.1927535 40.6873029)",,,,
"[912195890, 15005044]",False,"['North Jackson Street', 'Jackson Street']",residential,True,72.139,"LINESTRING (-76.1911018 40.6883093, -76.1908584 40.688072, -76.190591 40.687789)",,,,
15000490,False,Jackson Street,residential,True,74.591,"LINESTRING (-76.1916458 40.6888383, -76.1911018 40.6883093)",,,,
618545533,False,East Arch Street,residential,True,178.16299999999998,"LINESTRING (-76.1916458 40.6888383, -76.1918175 40.6887212, -76.1931952 40.6878708, -76.1932987 40.6878547)",,,,
521336448,True,South 6th Street,residential,False,88.769,"LINESTRING (-76.1992111 40.6832133, -76.1989297 40.682872, -76.1986482 40.6825387)",,,,
618022791,True,West Norwegian Street,residential,False,79.41499999999999,"LINESTRING (-76.1992111 40.6832133, -76.1996187 40.6830186, -76.2000025 40.6828262)",,,,
521336445,False,North 6th Street,residential,False,72.834,"LINESTRING (-76.1997637 40.683861, -76.2002328 40.684411)",,,,
521336446,False,West Market Street,primary,False,38.546,"LINESTRING (-76.1997637 40.683861, -76.1993748 40.6840432)",2,US 209,,
521336450,False,West Market Street,primary,True,79.206,"LINESTRING (-76.1997637 40.683861, -76.2005629 40.6834867)",2,US 209,,
15000607,True,North 6th Street,residential,False,85.78,"LINESTRING (-76.1997637 40.683861, -76.1994598 40.6835048, -76.1994245 40.6834634, -76.1992111 40.6832133)",,,,
521336445,False,North 6th Street,residential,True,72.834,"LINESTRING (-76.2002328 40.684411, -76.1997637 40.683861)",,,,
15002258,False,West Arch Street,residential,True,78.388,"LINESTRING (-76.2002328 40.684411, -76.2004523 40.6843058, -76.2010185 40.6840342)",,,,
"[15002265, 521336445]",False,"['West Arch Street', 'North 6th Street']",residential,False,156.11,"LINESTRING (-76.2002328 40.684411, -76.2002881 40.6844759, -76.1994994 40.6848522, -76.1994064 40.6848966, -76.1988074 40.6851825)",,,,
15008852,False,South 9th Street,residential,False,87.182,"LINESTRING (-76.2004868 40.6807382, -76.2010418 40.6813997)",,,,
151675109,True,West Howard Avenue,residential,False,96.631,"LINESTRING (-76.2004868 40.6807382, -76.1995203 40.6812051)",,,,
15008592,True,South 8th Street,residential,False,86.271,"LINESTRING (-76.1995203 40.6812051, -76.2000701 40.6818594)",,,,
151675109,True,West Howard Avenue,residential,False,61.324,"LINESTRING (-76.1995203 40.6812051, -76.1989066 40.681501)",,,,
15008293,True,South 7th Street,residential,False,85.833,"LINESTRING (-76.1989066 40.681501, -76.1994515 40.682153)",,,,
151675109,True,West Howard Avenue,residential,False,80.379,"LINESTRING (-76.1989066 40.681501, -76.198101 40.6818874)",,,,
15008041,False,South 6th Street,residential,False,85.871,"LINESTRING (-76.198101 40.6818874, -76.1986482 40.6825387)",,,,
15008041,False,South 6th Street,residential,True,50.233,"LINESTRING (-76.198101 40.6818874, -76.1977809 40.6815064)",,,,
151675109,True,West Howard Avenue,residential,False,81.037,"LINESTRING (-76.198101 40.6818874, -76.1972761 40.6822613)",,,,
15011138,False,South 5th Street,residential,True,50.03,"LINESTRING (-76.1972761 40.6822613, -76.1969603 40.6818804)",,,,
151675108,False,West Howard Avenue,residential,False,76.304,"LINESTRING (-76.1972761 40.6822613, -76.1965114 40.6826282)",,,,
151675108,False,West Howard Avenue,residential,False,81.845,"LINESTRING (-76.1965114 40.6826282, -76.1957018 40.6830342)",,,,
151675108,False,West Howard Avenue,residential,True,76.304,"LINESTRING (-76.1965114 40.6826282, -76.1972761 40.6822613)",,,,
