osmid,lanes,name,highway,width,oneway,reversed,length,geometry,access,ref,bridge,tunnel
8921891,2,Ramsdell Road,tertiary,9.1,False,False,9.364,"LINESTRING (-71.0681113 42.4285917, -71.0681032 42.4286757)",,,,
8922874,2,Florence Street,tertiary,10,True,False,82.107,"LINESTRING (-71.0681113 42.4285917, -71.0679715 42.4285689, -71.0678746 42.4285521, -71.0677776 42.4285353, -71.0675262 42.42849, -71.0673241 42.4284529, -71.0672671 42.4284438, -71.0672278 42.4284376, -71.0671791 42.428442, -71.0671408 42.4284571)",,,,
8922257,1,Linden Place,residential,3.7,False,True,42.082,"LINESTRING (-71.069834 42.429552, -71.0697434 42.4291795)",,,,
8922054,2,Tremont Street,residential,12.2,True,False,68.457,"LINESTRING (-71.0638083 42.4297218, -71.063923 42.4303316)",,,,
8923050,1,Spring Street,residential,6.1,False,True,75.042,"LINESTRING (-71.0638083 42.4297218, -71.064708 42.4296016)",,,,
8923010,2,Spring Street,residential,9.1,True,False,111.064,"LINESTRING (-71.0660133 42.4293034, -71.0658514 42.4293368, -71.0655011 42.4294051, -71.0647058 42.4295608)",,,,
8923378,2,Washington Place,residential,6.7,False,False,57.018,"LINESTRING (-71.0722091 42.4305624, -71.0715256 42.4306542)",,,,
8921934,1,Sprague Court,residential,6.1,False,False,45.675,"LINESTRING (-71.0646924 42.4291691, -71.0641397 42.4292171)",,,,
8922895,2,Sprague Street,residential,12.2,False,False,43.569,"LINESTRING (-71.0646924 42.4291691, -71.0647058 42.4295608)",,,,
8922895,2,Sprague Street,residential,12.2,False,True,156.591,"LINESTRING (-71.0646924 42.4291691, -71.064669 42.42849, -71.0646646 42.4283633, -71.064659 42.4282021, -71.0646579 42.4279745, -71.0646527 42.4278683, -71.0646443 42.4278406, -71.0646125 42.4277655)",,,,
8921829,2,Main Street,secondary,18.3,False,False,9.862,"LINESTRING (-71.0673497 42.4296587, -71.0673657 42.4297466)",yes,,,
8921829,2,Main Street,secondary,18.3,False,True,65.427,"LINESTRING (-71.0673497 42.4296587, -71.0673447 42.4296309, -71.0673054 42.4294257, -71.0672893 42.4293251, -71.067274 42.429262, -71.0672594 42.4291849, -71.0672387 42.4290761)",yes,,,
8923186,1,Main Street Park,living_street,,False,False,114.001,"LINESTRING (-71.0673497 42.4296587, -71.0672683 42.4296738, -71.0667317 42.4297617, -71.0662996 42.4298338, -71.0663623 42.4300597)",,,,
8923133,2,Dana Street,residential,9.1,False,False,44.336,"LINESTRING (-71.0627516 42.4270471, -71.0622312 42.427154)",,,,
8922221,2,Albion Street,residential,12.2,False,False,160.135,"LINESTRING (-71.0627516 42.4270471, -71.0630841 42.4283736, -71.0631029 42.4284112, -71.063136 42.428456)",,,,
8923133,2,Dana Street,residential,9.1,False,True,91.733,"LINESTRING (-71.0627516 42.4270471, -71.0632665 42.4269402, -71.0634007 42.4269224, -71.0635079 42.4269125, -71.0638459 42.4269006)",,,,
371671112,2,Main Street,secondary,15,False,True,78.408,"LINESTRING (-71.0677844 42.4248145, -71.0677539 42.4245381, -71.0677448 42.4244698, -71.0677258 42.4243253, -71.0677127 42.424265, -71.0677041 42.4242173, -71.06768 42.424114)",,,,
"[371671113, 1103702651]",3,Main Street,secondary,10,True,False,45.697,"LINESTRING (-71.0677844 42.4248145, -71.067728 42.4248867, -71.0677216 42.4249936, -71.0677204 42.4250991, -71.0677235 42.4251345, -71.067717 42.425214)",,,,
8922247,2,Canal Street,tertiary,12,False,True,214.852,"LINESTRING (-71.0722603 42.4254039, -71.0722443 42.4250406, -71.0722389 42.4248928, -71.0722246 42.4245505, -71.0721916 42.4237131, -71.0721975 42.4234725)",,,,
"[1103702643, 1103702644]",2,Centre Street,secondary,"['9', '8']",True,False,63.607000000000006,"LINESTRING (-71.0722603 42.4254039, -71.0719648 42.4253988, -71.0716438 42.4253917, -71.0714857 42.4253871)",,MA 60,,
8922897,5,Main Street,secondary,,False,True,43.435,"LINESTRING (-71.0676189 42.4258119, -71.0676342 42.4257725, -71.0676422 42.4257463, -71.0676472 42.4257299, -71.0676667 42.4256825, -71.0676773 42.4255884, -71.0677058 42.4254743, -71.0677072 42.4254563, -71.0677221 42.4254306)",,,,
"[8923180, 8923199]",2,"['Irving Street', 'Irving Court']",tertiary,8,True,False,123.94700000000002,"LINESTRING (-71.0676189 42.4258119, -71.0675225 42.4257691, -71.067507 42.425763, -71.0674897 42.4257561, -71.0674553 42.4257453, -71.0672404 42.4256951, -71.0667641 42.4256022, -71.0665582 42.4255675, -71.0665466 42.4254277, -71.0665341 42.4252774)",,,,
1102763221,4,Main Street,secondary,17,False,False,66.229,"LINESTRING (-71.0676189 42.4258119, -71.0676011 42.4258561, -71.0675911 42.4258766, -71.0675775 42.4259046, -71.067518 42.4260093, -71.0673936 42.4262205, -71.0673731 42.4262554, -71.0673078 42.426361)",,,,
8922895,2,Sprague Street,residential,12.2,False,True,43.569,"LINESTRING (-71.0647058 42.4295608, -71.0646924 42.4291691)",,,,
8923179,2,Sprague Street,residential,9.1,False,False,4.54,"LINESTRING (-71.0647058 42.4295608, -71.064708 42.4296016)",,,,
8923351,2,Ferry Street,secondary,17.7,False,True,52.028000000000006,"LINESTRING (-71.0617068 42.422871, -71.0619694 42.4229642, -71.06228 42.4230707)",,,,
8922239,1,Waverly Street,residential,12.2,True,False,38.057,"LINESTRING (-71.0701963 42.4291061, -71.0697434 42.4291795)",,,,
8922406,2,Linden Avenue,residential,12.2,True,False,137.96,"LINESTRING (-71.0701963 42.4291061, -71.0705393 42.4303207)",,,,
8923312,2,Main Street,secondary,19.8,False,False,50.133,"LINESTRING (-71.0672583 42.4227528, -71.0672797 42.423104, -71.0672858 42.4232032)",,,,
8922406,2,Linden Avenue,residential,12.2,True,False,41.829,"LINESTRING (-71.0701142 42.4287354, -71.0701165 42.4287776, -71.0701183 42.4287923, -71.0701224 42.428825, -71.0701963 42.4291061)",,,,
80482633,2,Florence Street,tertiary,21.3,True,False,69.018,"LINESTRING (-71.0701142 42.4287354, -71.0703303 42.428717, -71.0705837 42.4286896, -71.0707977 42.428662, -71.0708458 42.4286558, -71.0709455 42.428643)",,,,
8923367,1,Wyeth Court,residential,4.3,False,False,42.353,"LINESTRING (-71.06293 42.424813, -71.0624973 42.4250205)",,,,
8922278,2,Salem Street,secondary,12,False,False,94.45,"LINESTRING (-71.0666736 42.4270406, -71.0664244 42.4271312, -71.0662799 42.4271698, -71.0660909 42.4272311, -71.0657047 42.4273693, -71.0656294 42.4273962)",,,,
8923353,2,Ferry Street,secondary,17.7,False,False,211.88700000000003,"LINESTRING (-71.0666736 42.4270406, -71.0665125 42.4269715, -71.0664871 42.4269511, -71.0661457 42.4264932, -71.0660632 42.4263858, -71.0659004 42.4261689, -71.065872 42.4261311, -71.065688 42.425886, -71.0656513 42.4258357, -71.0656178 42.4257895, -71.0655177 42.4256521, -71.0654187 42.4255092, -71.065359 42.4254231)",,,,
591493252,2,Main Street,secondary,12,False,False,32.696999999999996,"LINESTRING (-71.0666736 42.4270406, -71.0668458 42.4271358, -71.0668595 42.4271473, -71.0668864 42.4271749, -71.066907 42.4272036, -71.0669208 42.4272324, -71.0669237 42.4272552)",yes,,,
1150346161,4,Main Street,secondary,17,False,True,28.124,"LINESTRING (-71.0666736 42.4270406, -71.0668256 42.4269767, -71.0668587 42.4269582, -71.066891 42.4269354, -71.0669205 42.4269125, -71.066944 42.4268898)",,,,
8922758,2,Washington Street,tertiary,,True,False,113.02299999999998,"LINESTRING (-71.0705418 42.4270994, -71.0706567 42.4275654, -71.070689 42.4276963, -71.0707284 42.4278563, -71.0707549 42.4279637, -71.0707693 42.4280208, -71.0707892 42.4280993)",,,,
8923184,1,Pleasant Street,tertiary,18.3,True,False,108.92,"LINESTRING (-71.0705418 42.4270994, -71.0711246 42.4271311, -71.0718651 42.427173)",,,,
8923495,,Washington Street,secondary,,True,False,69.033,"LINESTRING (-71.0705418 42.4270994, -71.0705323 42.4265774, -71.0705337 42.4265517, -71.0705376 42.4264787)",,,,
8923381,2,Garnet Road,tertiary,12.2,True,False,144.895,"LINESTRING (-71.0682732 42.427826, -71.0694325 42.4277631, -71.0695247 42.4277603, -71.0695499 42.427761, -71.0695742 42.427762, -71.0695948 42.4277639, -71.0696147 42.4277671, -71.0696324 42.4277723, -71.0696483 42.4277784, -71.0696794 42.4277932, -71.069728 42.4278192, -71.0697492 42.4278329, -71.0698857 42.4279214, -71.0699432 42.4279582)",,,,
"[80493578, 1263554461]",2,Dartmouth Street,tertiary,8.5,False,False,170.157,"LINESTRING (-71.0682732 42.427826, -71.0682897 42.4279317, -71.0683067 42.4280238, -71.0683108 42.4280459, -71.0683313 42.4281121, -71.0683655 42.4281798, -71.0684155 42.4282531, -71.0684987 42.4283348, -71.0686341 42.4284685, -71.0686714 42.428511, -71.0686874 42.4285358, -71.0686996 42.4285602, -71.0687062 42.428585, -71.0687096 42.4286087, -71.0687102 42.4286441, -71.0687052 42.4287046, -71.0686966 42.4287607, -71.0686346 42.4292702)",,,,
