osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,tunnel,junction
11777926,Esterbrook Avenue,residential,False,True,52.682,"LINESTRING (-74.2794223 40.6075167, -74.279504 40.607047)",,,,,
11773203,,residential,False,False,66.197,"LINESTRING (-74.2794223 40.6075167, -74.2793376 40.6075141, -74.2786388 40.6074923)",,,,,
11777926,Esterbrook Avenue,residential,False,False,63.619,"LINESTRING (-74.2794223 40.6075167, -74.2793302 40.6079491, -74.2793368 40.6079916, -74.2793509 40.6080823)",,,,,
11773203,,residential,False,True,66.197,"LINESTRING (-74.2786388 40.6074923, -74.2793376 40.6075141, -74.2794223 40.6075167)",,,,,
1053601121,Central Avenue,residential,False,True,9.076,"LINESTRING (-74.2771001 40.6106342, -74.2770044 40.6106714)",,,,,
"[149935506, 11779533, 149935478]",Hamilton Street,residential,False,False,163.46699999999998,"LINESTRING (-74.2771001 40.6106342, -74.2771105 40.6106394, -74.2772174 40.6106925, -74.2777127 40.6109388, -74.2779022 40.6110399, -74.2787191 40.6114406)",yes,,,,
1053601120,Central Avenue,residential,False,False,67.46300000000001,"LINESTRING (-74.2771001 40.6106342, -74.2771106 40.6106301, -74.2777713 40.6103691, -74.2778091 40.6103542)",,,,,
132503900,Main Street,tertiary,False,False,167.95499999999998,"LINESTRING (-74.2754157 40.6040215, -74.2753915 40.6040615, -74.2751727 40.6044986, -74.2751447 40.6045546, -74.27471 40.6052206, -74.2746736 40.6052864, -74.2746264 40.6054054)",,,,,
11775012,East Emerson Avenue,residential,False,False,118.287,"LINESTRING (-74.2779552 40.6042737, -74.2766938 40.6038106)",,,,,
"[1089510164, 11775012, 1089510165]","['West Emerson Avenue', 'East Emerson Avenue']",residential,False,"[False, True]",99.324,"LINESTRING (-74.2779552 40.6042737, -74.278389 40.604439, -74.278806 40.604585, -74.2790161 40.6046596)",,,,,
11784645,Fulton Street,residential,False,False,234.654,"LINESTRING (-74.2779552 40.6042737, -74.2770089 40.6051038, -74.2765376 40.6055171, -74.2761361 40.6058693)",,,,,
11775012,East Emerson Avenue,residential,False,True,118.287,"LINESTRING (-74.2766938 40.6038106, -74.2779552 40.6042737)",,,,,
11778111,Pierce Street,residential,False,False,236.134,"LINESTRING (-74.2766938 40.6038106, -74.2766414 40.6038773, -74.2766238 40.6038996, -74.2760714 40.6046019, -74.2753892 40.6054692, -74.2752667 40.6056369)",,,,,
11775181,West Main Street,residential,False,False,122.042,"LINESTRING (-74.2745225 40.6089332, -74.274962 40.609256, -74.275052 40.609337, -74.2753479 40.6098141)",,,,,
11776316,Elm Avenue,residential,True,False,83.77099999999999,"LINESTRING (-74.2745225 40.6089332, -74.2746956 40.6088341, -74.275432 40.6086494)",,,,,
"[1089554245, 1089554246]","['West Main Street', 'Main Street']",residential,False,True,66.206,"LINESTRING (-74.2745225 40.6089332, -74.2743475 40.6088004, -74.2742017 40.6086686, -74.274124 40.608597, -74.274068 40.608542, -74.2740218 40.6084778)",,,,,
11776175,Elizabeth Avenue,tertiary,False,True,48.919,"LINESTRING (-74.2753479 40.6098141, -74.2758652 40.6096158)",,,,,
11775181,West Main Street,residential,False,True,122.042,"LINESTRING (-74.2753479 40.6098141, -74.275052 40.609337, -74.274962 40.609256, -74.2745225 40.6089332)",,,,,
"[149935482, 262807555, 149935507]",Elizabeth Avenue,tertiary,False,False,260.182,"LINESTRING (-74.2753479 40.6098141, -74.2751076 40.6098937, -74.274974 40.6099415, -74.2746003 40.6100954, -74.2744924 40.6101708, -74.27428 40.6103513, -74.2735002 40.611014, -74.273093 40.61136)",yes,,,,
262807672,West Main Street,residential,False,False,67.713,"LINESTRING (-74.2753479 40.6098141, -74.2754953 40.6100655, -74.2756928 40.6103637)",,,,,
11777046,Coach Street,residential,True,False,97.462,"LINESTRING (-74.2756928 40.6103637, -74.2767353 40.609987)",,,,,
262807672,West Main Street,residential,False,False,88.06099999999999,"LINESTRING (-74.2756928 40.6103637, -74.2758984 40.6106759, -74.2759786 40.6107533, -74.2759837 40.6107582, -74.2760871 40.6108198, -74.2762265 40.6108572, -74.2763859 40.6108929)",,,,,
262807672,West Main Street,residential,False,True,67.713,"LINESTRING (-74.2756928 40.6103637, -74.2754953 40.6100655, -74.2753479 40.6098141)",,,,,
274710162,West Main Street,residential,True,False,53.837,"LINESTRING (-74.2763859 40.6108929, -74.2770105 40.6109908)",,,,,
11782427,Central Avenue,residential,False,False,57.727999999999994,"LINESTRING (-74.2763859 40.6108929, -74.2769053 40.6107077, -74.2770044 40.6106714)",,,,,
262807672,West Main Street,residential,False,True,88.06099999999999,"LINESTRING (-74.2763859 40.6108929, -74.2762265 40.6108572, -74.2760871 40.6108198, -74.2759837 40.6107582, -74.2759786 40.6107533, -74.2758984 40.6106759, -74.2756928 40.6103637)",,,,,
1053601122,Irving Street,tertiary,False,True,35.533,"LINESTRING (-74.2770105 40.6109908, -74.277001 40.6107803, -74.2770044 40.6106714)",,,,,
"[149935498, 1053601123, 149935484]",Irving Street,tertiary,False,False,87.779,"LINESTRING (-74.2770105 40.6109908, -74.27702 40.6111149, -74.2770361 40.6113051, -74.2770807 40.6117784)",yes,,,,
"[426713117, 627037045, 268631086, 268631087]",West Grand Avenue,secondary,False,True,196.017,"LINESTRING (-74.2751127 40.6122299, -74.2745474 40.6119872, -74.2743344 40.6118957, -74.2740789 40.6117854, -74.2738062 40.6116678, -74.273093 40.61136)",yes,4,CR 613,,
11781606,Irving Street,tertiary,False,False,101.55600000000001,"LINESTRING (-74.2761361 40.6058693, -74.2760719 40.605924, -74.2759304 40.6060447, -74.2758093 40.606148, -74.275747 40.6062414, -74.2757108 40.6063462, -74.275692 40.6064158, -74.2756887 40.6064283, -74.2756225 40.6066664)",,,,,
11784645,Fulton Street,residential,False,True,234.654,"LINESTRING (-74.2761361 40.6058693, -74.2765376 40.6055171, -74.2770089 40.6051038, -74.2779552 40.6042737)",,,,,
262807553,East Milton Avenue,tertiary,False,False,78.142,"LINESTRING (-74.2761361 40.6058693, -74.2758919 40.6058333, -74.275721 40.6057855, -74.2756755 40.6057728, -74.2753303 40.6056581, -74.2752667 40.6056369)",,,CR 648,,
"[29273762, 793011045, 11776645, 793011046, 793011047]","['East Milton Avenue', 'West Milton Avenue']",tertiary,False,"[False, True]",121.27999999999999,"LINESTRING (-74.2761361 40.6058693, -74.2763733 40.6058924, -74.2768441 40.6059381, -74.2770716 40.6059628, -74.277168 40.6059724, -74.2774514 40.6060021, -74.2775601 40.6060135)",,,CR 648,yes,
11778111,Pierce Street,residential,False,True,236.134,"LINESTRING (-74.2752667 40.6056369, -74.2753892 40.6054692, -74.2760714 40.6046019, -74.2766238 40.6038996, -74.2766414 40.6038773, -74.2766938 40.6038106)",,,,,
262807553,East Milton Avenue,tertiary,False,False,59.871,"LINESTRING (-74.2752667 40.6056369, -74.2752558 40.6056329, -74.2751685 40.6056011, -74.2747773 40.6054584, -74.2746264 40.6054054)",,,CR 648,,
