osmid,oneway,name,highway,reversed,length,geometry,ref,bridge,lanes,maxspeed
21648038,True,West North Water Street,residential,False,97.586,"LINESTRING (-88.4598859 44.1898354, -88.4599741 44.1898675, -88.4604254 44.1900316, -88.460507 44.1900478, -88.4606915 44.1901282, -88.4609014 44.1902276, -88.4609578 44.1902534)",,,,
21639889,False,Walnut Street,residential,True,24.45,"LINESTRING (-88.4632245 44.1819526, -88.4630476 44.1821322)",,,,
21641732,False,Spruce Street,residential,False,47.492999999999995,"LINESTRING (-88.4632245 44.1819526, -88.4631658 44.1819284, -88.4630456 44.1819256, -88.462638 44.181928)",,,,
21639890,False,Walnut Street,residential,False,91.70700000000001,"LINESTRING (-88.460667 44.184948, -88.4608046 44.1847972, -88.4609187 44.1846723, -88.4612412 44.1843191, -88.461297 44.184258)",,,,
21646879,False,East Doty Avenue,residential,False,253.013,"LINESTRING (-88.460667 44.184948, -88.460524 44.184879, -88.4604814 44.1848582, -88.4603267 44.1847841, -88.4601663 44.1847071, -88.4600675 44.1846596, -88.4600455 44.184649, -88.4599967 44.1846256, -88.4599018 44.18458, -88.4596908 44.1844785, -88.45954 44.184406, -88.4594408 44.1843577, -88.4585516 44.1839252, -88.4581428 44.1837264, -88.458037 44.183675)",,,,
21646879,False,East Doty Avenue,residential,True,152.538,"LINESTRING (-88.460667 44.184948, -88.461231 44.185213, -88.4612927 44.1852431, -88.4614343 44.1853122, -88.4614683 44.1853288, -88.4616231 44.1854043, -88.46176 44.185471, -88.4617836 44.1854828, -88.462251 44.185717)",,,,
442512541,False,Walnut Street,residential,True,92.444,"LINESTRING (-88.4625528 44.1828767, -88.461928 44.183577)",,,,
21640410,False,Washington Avenue,residential,True,155.357,"LINESTRING (-88.4625528 44.1828767, -88.46281 44.183, -88.4631328 44.1831564, -88.4632425 44.1832096, -88.4634042 44.1832879, -88.464168 44.183658)",,,,
21642202,False,East Winneconne Avenue,secondary,True,20.651,"LINESTRING (-88.4625528 44.1828767, -88.4626413 44.1828026, -88.4627453 44.1827556)",,,,
565635350,False,Washington Avenue,secondary,False,20.98,"LINESTRING (-88.4625528 44.1828767, -88.462492 44.182846, -88.4624585 44.1828302, -88.4623642 44.1827855, -88.4623345 44.1827714)",,,,
21639947,False,East Columbian Avenue,tertiary,False,153.398,"LINESTRING (-88.462895 44.185026, -88.4624516 44.1848104, -88.4622944 44.184734, -88.4620595 44.1846198, -88.4619427 44.184563, -88.4618504 44.1845167, -88.4618231 44.1845039, -88.4613748 44.1842944, -88.461297 44.184258)",,,,
21650338,False,West Columbian Avenue,secondary,False,166.214,"LINESTRING (-88.462895 44.185026, -88.4634631 44.1852977, -88.4637288 44.1854248, -88.4641057 44.185605, -88.4642277 44.1856634, -88.4645371 44.1858146, -88.4646265 44.1858583)",,,,
439963173,False,South Commercial Street,primary,False,92.06300000000002,"LINESTRING (-88.462895 44.185026, -88.4632598 44.1846297, -88.4632691 44.1846196, -88.4634128 44.1844634, -88.463531 44.184335)",WI 114,,,
938772678,False,South Commercial Street,primary,True,92.41499999999999,"LINESTRING (-88.462895 44.185026, -88.4625614 44.1853839, -88.462251 44.185717)",WI 114,,,
442512542,False,East Columbian Avenue,residential,True,219.291,"LINESTRING (-88.456389 44.181903, -88.4564851 44.1819488, -88.457206 44.182292, -88.4575116 44.1824377, -88.458475 44.182897, -88.4585931 44.1829618, -88.45867 44.183004)",,,,
21641732,False,Spruce Street,residential,True,14.131,"LINESTRING (-88.4624608 44.1819269, -88.462638 44.181928)",,,,
21641732,False,Spruce Street,residential,False,107.72200000000001,"LINESTRING (-88.4624608 44.1819269, -88.461851 44.181934, -88.46111 44.181937)",,,,
21640410,False,Washington Avenue,residential,False,155.35699999999997,"LINESTRING (-88.464168 44.183658, -88.4634042 44.1832879, -88.4632425 44.1832096, -88.4631328 44.1831564, -88.46281 44.183, -88.4625528 44.1828767)",,,,
