osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,width,access
128494848,True,Štěpánská,residential,False,71.893,"LINESTRING (14.4247604 50.0773154, 14.4248036 50.0774226, 14.4250148 50.077941)",,,,,
335024333,True,Žitná,primary,False,57.643,"LINESTRING (14.4247604 50.0773154, 14.4246385 50.0773195, 14.4239552 50.0773564)",3,50,,,
"[503172528, 345621910]",False,Štěpánská,tertiary,True,76.785,"LINESTRING (14.4247604 50.0773154, 14.4247107 50.0771926, 14.4246966 50.0771569, 14.4245031 50.0766449)",,,,,
325516796,True,Sokolská,primary,False,58.702,"LINESTRING (14.4291371 50.0763227, 14.4291084 50.0757951)",4,50,8A,,
4641635,True,Hálkova,residential,False,140.762,"LINESTRING (14.4291371 50.0763227, 14.4290293 50.0763143, 14.4272201 50.0762008, 14.4271741 50.0761987)",1,50,,,
4048702,True,Žitná,primary,False,114.94200000000001,"LINESTRING (14.4292176 50.0771607, 14.4290074 50.0771754, 14.4277713 50.0772067, 14.4276093 50.0772121)",3,50,,,
"[218781056, 1254517305, 4052789]",True,Sokolská,primary,False,93.35799999999999,"LINESTRING (14.4292176 50.0771607, 14.4292087 50.0770665, 14.4291641 50.0766028, 14.4291549 50.0765078, 14.4291371 50.0763227)","['4', '3']",50,8A,,
4690286,False,Karlovo náměstí,residential,False,59.21,"LINESTRING (14.4212522 50.0775125, 14.4212973 50.0776063, 14.4213047 50.0776357, 14.4213099 50.0776513, 14.4213895 50.0778912, 14.4214524 50.0780287)",2,50,,,
"[985195843, 985195844, 985195849, 984926707, 10157973]",True,Karlovo náměstí,primary,False,129.968,"LINESTRING (14.4212522 50.0775125, 14.4210733 50.0775274, 14.420742 50.0775584, 14.4199472 50.077649, 14.4198325 50.0776598, 14.419751 50.0776639, 14.4197268 50.0776639, 14.4196491 50.0776642, 14.4196079 50.0776603, 14.4195693 50.0776541, 14.4195277 50.0776457, 14.4194565 50.0776322)","['3', '2']",50,,,
"[30764132, 985195850, 985195851, 985195856, 4083702, 345621881]",False,Karlovo náměstí,tertiary,False,207.59599999999995,"LINESTRING (14.4212522 50.0775125, 14.4212134 50.0774277, 14.4212037 50.0773908, 14.4211976 50.0773738, 14.4211649 50.0772553, 14.4211023 50.0770463, 14.4210138 50.0767222, 14.4209975 50.0766598, 14.4209819 50.0766064, 14.4208417 50.0760997, 14.4207675 50.0758511, 14.4207615 50.0758309, 14.4207533 50.0758055, 14.4207286 50.0757534, 14.4207095 50.0757242, 14.4206863 50.0756833)","['3', '2']","['50', '30']",,,
131685634,True,Václavské náměstí,residential,False,140.388,"LINESTRING (14.4272604 50.0813714, 14.4278173 50.0809731, 14.4279655 50.0808641, 14.4283302 50.0805961, 14.4284825 50.0804829, 14.4285591 50.0804231)",2,50,,,
"[489805562, 655720754]",True,Jungmannova,residential,False,221.464,"LINESTRING (14.4224334 50.0812504, 14.4224068 50.0805141, 14.422386 50.0802219, 14.4223027 50.0796959, 14.4222843 50.0796248, 14.4222643 50.0795469, 14.4222267 50.0794003, 14.4222176 50.0793532, 14.4222166 50.0793077, 14.4222162 50.0792899, 14.4222157 50.0792663)",1,50,,"['10', '3.9']",
133325747,False,Vodičkova,residential,True,24.709,"LINESTRING (14.4241459 50.0806897, 14.4239276 50.0805172)",,,,,
26543630,False,Vodičkova,residential,False,100.84899999999999,"LINESTRING (14.4241459 50.0806897, 14.4242119 50.0807415, 14.4243948 50.0808885, 14.424719 50.0811422, 14.424888 50.0812783, 14.4250344 50.081395)",,,,,
"[4387744, 378871831]",True,Palackého,residential,False,137.29999999999998,"LINESTRING (14.4241459 50.0806897, 14.4241275 50.0806963, 14.4240514 50.0807243, 14.4238104 50.0808087, 14.4230899 50.0810633, 14.4227358 50.0811635, 14.4225123 50.0812277, 14.4224334 50.0812504)",1,50,,,
133325747,False,Vodičkova,residential,False,24.709,"LINESTRING (14.4239276 50.0805172, 14.4241459 50.0806897)",,,,,
133325747,False,Vodičkova,residential,True,52.251999999999995,"LINESTRING (14.4239276 50.0805172, 14.4236221 50.0802563, 14.4235337 50.0801792, 14.423488 50.0801414)",,,,,
4387743,True,V Jámě,residential,False,168.136,"LINESTRING (14.4259276 50.0797215, 14.4256145 50.0798139, 14.4251771 50.079996, 14.4249367 50.0800957, 14.4240517 50.0804634, 14.423949 50.080508, 14.4239276 50.0805172)",,,,,
"[32564265, 484825020, 345621909]",True,Štěpánská,residential,False,229.812,"LINESTRING (14.4259276 50.0797215, 14.4259826 50.0798303, 14.426139 50.0800764, 14.4265648 50.0808548, 14.426814 50.081273, 14.4268692 50.0813625, 14.4269089 50.0814034, 14.426949 50.0814376, 14.4269811 50.0814493, 14.4270218 50.0814534, 14.4271065 50.0814385, 14.4271691 50.0814191, 14.4272604 50.0813714)",,50,,,
131685634,True,Václavské náměstí,residential,False,37.992,"LINESTRING (14.4285591 50.0804231, 14.4288967 50.0801589)",2,50,,,
"[4294033, 538856129, 1228821293]",True,Opletalova,residential,False,164.88000000000002,"LINESTRING (14.4288331 50.0805882, 14.4288017 50.0806703, 14.4288404 50.0807539, 14.4288887 50.080787, 14.4296003 50.0812294, 14.4297264 50.0813078, 14.4297523 50.0813236, 14.4298653 50.0813969, 14.4299215 50.0814334, 14.4302901 50.0816775)",1,"['50', '20']",,,
