osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge
16942719,3rd South Avenue,residential,False,True,334.05499999999995,"LINESTRING (-110.3305622 34.9522212, -110.3291953 34.9522284, -110.3290388 34.9522335, -110.3289503 34.952317, -110.3289261 34.9524093, -110.3289771 34.9539592)",,,,
162142011,Frontage Road,residential,False,False,320.4,"LINESTRING (-110.3305622 34.9522212, -110.3305584 34.9535666, -110.3305423 34.9536655, -110.330499 34.9537704, -110.3304234 34.9538614, -110.3303047 34.9539337, -110.3302386 34.9539516, -110.3300806 34.9539781, -110.3298842 34.9539839, -110.3289771 34.9539592)",,,,
331123387,3rd South Avenue,residential,False,True,84.192,"LINESTRING (-110.3305622 34.9522212, -110.3306107 34.9521028, -110.3306894 34.9520411, -110.3307747 34.9520295, -110.3313506 34.9520197)",,,,
16941508,McLaws Avenue,residential,False,False,59.367,"LINESTRING (-110.3377605 34.9554725, -110.3377615 34.9560064)",,,,
16929580,3rd North Avenue,residential,False,False,144.726,"LINESTRING (-110.3297614 34.9599627, -110.3313493 34.9599847)",,,,
16941087,Tanner Avenue,residential,False,True,144.943,"LINESTRING (-110.3297614 34.9599627, -110.3297614 34.9586592)",,,,
16929580,3rd North Avenue,residential,False,True,144.726,"LINESTRING (-110.3313493 34.9599847, -110.3297614 34.9599627)",,,,
162141995,Westover Avenue,residential,False,False,148.857,"LINESTRING (-110.3313493 34.9599847, -110.3313493 34.958646)",,,,
16931452,1st North,residential,False,False,144.706,"LINESTRING (-110.3297507 34.9573138, -110.3313385 34.9573028)",,,,
16941087,Tanner Avenue,residential,False,False,149.605,"LINESTRING (-110.3297507 34.9573138, -110.3297614 34.9586592)",,,,
16941087,Tanner Avenue,residential,False,True,151.313,"LINESTRING (-110.3297507 34.9573138, -110.3297319 34.9559531)",,,,
16931452,1st North,residential,False,False,146.672,"LINESTRING (-110.3313385 34.9573028, -110.3329479 34.9573094)",,,,
16931452,1st North,residential,False,True,144.706,"LINESTRING (-110.3313385 34.9573028, -110.3297507 34.9573138)",,,,
162141995,Westover Avenue,residential,False,True,149.36,"LINESTRING (-110.3313385 34.9573028, -110.3313493 34.958646)",,,,
162141995,Westover Avenue,residential,False,False,148.38,"LINESTRING (-110.3313385 34.9573028, -110.331345 34.956909, -110.3313305 34.9559685)",,,,
16931452,1st North,residential,False,False,148.026,"LINESTRING (-110.3329479 34.9573094, -110.3345721 34.9573229)",,,,
16931452,1st North,residential,False,True,146.672,"LINESTRING (-110.3329479 34.9573094, -110.3313385 34.9573028)",,,,
162137205,Bushman Avenue,residential,False,True,148.622,"LINESTRING (-110.3329479 34.9573094, -110.3329666 34.9559729)",,,,
162137205,Bushman Avenue,residential,False,False,149.61200000000002,"LINESTRING (-110.3329479 34.9573094, -110.3329318 34.9584965, -110.3328996 34.9586526)",,,,
16942719,3rd South Avenue,residential,False,False,334.055,"LINESTRING (-110.3289771 34.9539592, -110.3289261 34.9524093, -110.3289503 34.952317, -110.3290388 34.9522335, -110.3291953 34.9522284, -110.3305622 34.9522212)",,,,
162142011,Frontage Road,residential,False,True,320.4,"LINESTRING (-110.3289771 34.9539592, -110.3298842 34.9539839, -110.3300806 34.9539781, -110.3302386 34.9539516, -110.3303047 34.9539337, -110.3304234 34.9538614, -110.330499 34.9537704, -110.3305423 34.9536655, -110.3305584 34.9535666, -110.3305622 34.9522212)",,,,
16934068,2nd North Avenue,residential,False,False,141.351,"LINESTRING (-110.3328996 34.9586526, -110.3328111 34.9586614, -110.3313493 34.958646)",,,,
"[162137208, 16934068]","['Richards Avenue', '2nd North Avenue']",residential,False,True,292.337,"LINESTRING (-110.3328996 34.9586526, -110.3330176 34.9586438, -110.3343723 34.9586388, -110.3344756 34.9586239, -110.3345373 34.9585909, -110.3345694 34.958547, -110.3345723 34.9584704, -110.3345721 34.9573229)",,,,
162137205,Bushman Avenue,residential,False,True,149.61200000000002,"LINESTRING (-110.3328996 34.9586526, -110.3329318 34.9584965, -110.3329479 34.9573094)",,,,
16934068,2nd North Avenue,residential,False,False,144.715,"LINESTRING (-110.3313493 34.958646, -110.3297614 34.9586592)",,,,
162141995,Westover Avenue,residential,False,False,149.36,"LINESTRING (-110.3313493 34.958646, -110.3313385 34.9573028)",,,,
162141995,Westover Avenue,residential,False,True,148.857,"LINESTRING (-110.3313493 34.958646, -110.3313493 34.9599847)",,,,
16934068,2nd North Avenue,residential,False,True,141.351,"LINESTRING (-110.3313493 34.958646, -110.3328111 34.9586614, -110.3328996 34.9586526)",,,,
16934068,2nd North Avenue,residential,False,True,144.715,"LINESTRING (-110.3297614 34.9586592, -110.3313493 34.958646)",,,,
16941087,Tanner Avenue,residential,False,False,144.943,"LINESTRING (-110.3297614 34.9586592, -110.3297614 34.9599627)",,,,
16941087,Tanner Avenue,residential,False,True,149.605,"LINESTRING (-110.3297614 34.9586592, -110.3297507 34.9573138)",,,,
162141552,Main Street,secondary,False,False,149.106,"LINESTRING (-110.3313305 34.9559685, -110.3329666 34.9559729)",4,I 40 Bus;US 66 Hist,35 mph,
162141552,Main Street,secondary,False,True,145.698,"LINESTRING (-110.3313305 34.9559685, -110.3297319 34.9559531)",4,I 40 Bus;US 66 Hist,35 mph,
162141995,Westover Avenue,residential,False,True,148.38,"LINESTRING (-110.3313305 34.9559685, -110.331345 34.956909, -110.3313385 34.9573028)",,,,
"[181607012, 162142008, 331123388, 659985597, 659985598]","['Westover Avenue', 'Westover Street']",tertiary,False,False,439.111,"LINESTRING (-110.3313305 34.9559685, -110.3313332 34.955841, -110.3313428 34.9553881, -110.3313381 34.954762, -110.3313501 34.9540031, -110.3313428 34.9527809, -110.3313506 34.9520972, -110.3313506 34.9520197)",2,,,yes
16941508,McLaws Avenue,residential,False,False,146.303,"LINESTRING (-110.3377615 34.9560064, -110.3377728 34.9573221)",,,,
16941508,McLaws Avenue,residential,False,True,59.367,"LINESTRING (-110.3377615 34.9560064, -110.3377605 34.9554725)",,,,
162141552,Main Street,secondary,False,True,148.17,"LINESTRING (-110.3377615 34.9560064, -110.3361357 34.9559978)",4,I 40 Bus;US 66 Hist,35 mph,
