osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,width
21354820,Weyant Street,residential,False,False,139.161,"LINESTRING (-82.923709 40.124913, -82.923726 40.124368, -82.9237298 40.1243018, -82.923757 40.123835, -82.923779 40.123663)",,,
21391733,Eastwood Avenue,residential,False,True,201.19299999999998,"LINESTRING (-82.923709 40.124913, -82.923736 40.124917, -82.926071 40.125019)",,,
21354820,Weyant Street,residential,False,True,139.161,"LINESTRING (-82.923779 40.123663, -82.923757 40.123835, -82.9237298 40.1243018, -82.923726 40.124368, -82.923709 40.124913)",,,
"[21394098, 1012426394]",Park Street,residential,False,True,203.355,"LINESTRING (-82.923779 40.123663, -82.924342 40.1236909, -82.9254546 40.1237462, -82.926136 40.12378, -82.926165 40.123785)",2,,
21405211,Summit Street,residential,False,False,142.839,"LINESTRING (-82.925988 40.126302, -82.9260137 40.1258889, -82.926029 40.125643, -82.926071 40.125019)",,,
730051654,East College Avenue,tertiary,False,False,107.988,"LINESTRING (-82.925988 40.126302, -82.9258194 40.1262946, -82.92472 40.126246)",,,
730051654,East College Avenue,tertiary,False,True,48.344,"LINESTRING (-82.925988 40.126302, -82.9263363 40.1263143, -82.926556 40.126322)",,,
21356670,Lincoln Street,residential,False,False,161.14600000000002,"LINESTRING (-82.932682 40.12882, -82.933746 40.128875, -82.934569 40.128951)",,,
21410401,Lincoln Street,residential,False,False,306.79200000000003,"LINESTRING (-82.932682 40.12882, -82.9321601 40.1288003, -82.931595 40.128779, -82.929843 40.128697, -82.929079 40.128669)",,,
"[699397779, 699397780, 699397781]",North State Street,primary,False,False,138.78500000000003,"LINESTRING (-82.932682 40.12882, -82.9327029 40.1289136, -82.9327602 40.129094, -82.932795 40.129326, -82.9327958 40.1294376, -82.932796 40.129473, -82.9327987 40.1300004, -82.932799 40.13006)","['3', '2']",SR 3,
"[699397760, 699397781, 699397782]",North State Street,primary,False,True,111.929,"LINESTRING (-82.932682 40.12882, -82.9326467 40.1287212, -82.93237 40.1279468, -82.932335 40.127849)","['3', '2']",SR 3,
21387554,Greenway Street,residential,False,False,39.044,"LINESTRING (-82.934569 40.128951, -82.9345306 40.1293009)",,,
21356670,Lincoln Street,residential,False,False,57.176,"LINESTRING (-82.934569 40.128951, -82.935126 40.129003, -82.935237 40.12901)",,,
21356670,Lincoln Street,residential,False,True,161.14600000000002,"LINESTRING (-82.934569 40.128951, -82.933746 40.128875, -82.932682 40.12882)",,,
21356670,Lincoln Street,residential,False,True,57.176,"LINESTRING (-82.935237 40.12901, -82.935126 40.129003, -82.934569 40.128951)",,,
21414862,East Broadway Avenue,residential,False,False,228.70999999999998,"LINESTRING (-82.930113 40.129946, -82.9320291 40.1300273, -82.932799 40.13006)",2,,
21414862,East Broadway Avenue,residential,False,True,92.884,"LINESTRING (-82.930113 40.129946, -82.929543 40.129913, -82.929129 40.129896, -82.929023 40.12989)",2,,
21402223,West Walnut Street,residential,False,False,150.78,"LINESTRING (-82.930047 40.121675, -82.9304203 40.1216847, -82.930664 40.121691, -82.9308855 40.121705, -82.931816 40.121764)",,,
"[699397739, 699397740, 699397741]",South State Street,primary,False,False,72.918,"LINESTRING (-82.930047 40.121675, -82.930126 40.12191, -82.9302054 40.122136, -82.9302434 40.1222444, -82.9302661 40.122309)","['3', '2']",SR 3,
21383642,Starrock Alley,residential,False,False,74.145,"LINESTRING (-82.9302661 40.122309, -82.9296521 40.122316, -82.9293942 40.1223197)",,,
"[699397741, 699397742, 699397743]",South State Street,primary,False,False,71.396,"LINESTRING (-82.9302661 40.122309, -82.9302968 40.1223888, -82.9304293 40.1227333, -82.9304626 40.12282, -82.930503 40.122925)","['3', '2']",SR 3,
"[699397739, 699397740, 699397741]",South State Street,primary,False,True,72.918,"LINESTRING (-82.9302661 40.122309, -82.9302434 40.1222444, -82.9302054 40.122136, -82.930126 40.12191, -82.930047 40.121675)","['3', '2']",SR 3,
