osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,access,tunnel,junction,bridge
141271852,True,A34,Princess Street,primary,20 mph,False,70.255,"LINESTRING (-2.2401879 53.4775249, -2.2401243 53.4774753, -2.2401173 53.4774698, -2.240074 53.4774326, -2.2399473 53.4773238, -2.2398261 53.4772119, -2.239731 53.4771252, -2.2396012 53.4769987)",,,,,
141271865,False,A5103,Portland Street,primary,20 mph,False,79.858,"LINESTRING (-2.2401879 53.4775249, -2.2401145 53.4775705, -2.2400621 53.4775989, -2.240011 53.4776265, -2.2399663 53.477652, -2.2397895 53.4777413, -2.2394947 53.4779077, -2.2394621 53.4779265, -2.239416 53.477953, -2.2393531 53.4779889, -2.2393065 53.478015)",,,,,
248215545,False,A5103,Portland Street,primary,20 mph,True,114.62299999999999,"LINESTRING (-2.2401879 53.4775249, -2.2403021 53.4774549, -2.2403503 53.4774253, -2.2403904 53.4774008, -2.2410496 53.4769967, -2.2413939 53.476785)",,,,,
184507818,False,A34,Quay Street,primary,20 mph,True,38.45,"LINESTRING (-2.2495709 53.4783098, -2.2497532 53.47834, -2.2498055 53.4783487, -2.2498667 53.4783585, -2.2501293 53.4784053)",2,,,,
197713164,False,A34,Peter Street,primary,20 mph,True,65.066,"LINESTRING (-2.2495709 53.4783098, -2.2494033 53.4782839, -2.2493498 53.4782757, -2.2492942 53.4782677, -2.2486129 53.4781784)",,,,,
956949156,False,A56,Deansgate,primary,20 mph,False,97.24699999999999,"LINESTRING (-2.2495709 53.4783098, -2.2496335 53.4781946, -2.2496537 53.4781574, -2.2496715 53.4781269, -2.2500473 53.4774825)",2,,,,
"[190774792, 115559329]",True,A34,Princess Street,primary,20 mph,False,58.739000000000004,"LINESTRING (-2.2444743 53.4798514, -2.2447213 53.4799201, -2.2447896 53.4799429, -2.2449033 53.4799859, -2.2449645 53.4800189, -2.2450259 53.480053, -2.2450924 53.4801101, -2.2451568 53.4801608, -2.2451661 53.4801652)",2,yes,,,
"[548694371, 1003177676, 818516142]",False,A34,Princess Street,primary,20 mph,False,135.743,"LINESTRING (-2.2444743 53.4798514, -2.2444247 53.479834, -2.2443073 53.4797789, -2.2441959 53.4797104, -2.2439815 53.479579, -2.2438405 53.4794934, -2.2434597 53.4792554, -2.2431844 53.4790879, -2.2430608 53.4790288, -2.2430059 53.4790026)",2,yes,,,
383042884,False,A34,Princess Street,primary,20 mph,False,30.494,"LINESTRING (-2.2389983 53.4764738, -2.2386861 53.4762721)",2,,,,
383042884,False,A34,Princess Street,primary,20 mph,True,28.37,"LINESTRING (-2.2389983 53.4764738, -2.2392551 53.4766781)",2,,,,
"[4721480, 187059134]",True,,"['Bloom Street', 'Harter Street']",residential,20 mph,False,93.417,"LINESTRING (-2.2389983 53.4764738, -2.2394549 53.4762605, -2.2397392 53.4761438, -2.2399024 53.4764161)",,,,,
197713174,False,,Bloom Street,residential,20 mph,True,126.747,"LINESTRING (-2.2389983 53.4764738, -2.2389216 53.4765256, -2.238594 53.4767274, -2.2381678 53.4769949, -2.2381069 53.4770345, -2.2377436 53.4772613, -2.2376785 53.4772997)",,,,,
383042884,False,A34,Princess Street,primary,20 mph,False,34.318,"LINESTRING (-2.2395345 53.4769381, -2.2392551 53.4766781)",2,,,,
247329024,False,,Major Street,residential,20 mph,False,71.527,"LINESTRING (-2.2395345 53.4769381, -2.2394129 53.4770146, -2.2391178 53.4772002, -2.2387905 53.4774047)",,,,,
246124643,False,,Cross Street,residential,20 mph,False,38.272999999999996,"LINESTRING (-2.2445998 53.481703, -2.2445506 53.481793, -2.2444726 53.4819091, -2.2443869 53.4820227)",,,,,
246124643,False,,Cross Street,residential,20 mph,True,70.252,"LINESTRING (-2.2445998 53.481703, -2.2447379 53.4813142, -2.24476 53.4812488, -2.2447719 53.4812138, -2.2447833 53.4811822, -2.2448187 53.4810848)",,,,,
940557795,False,A56,Deansgate,primary,20 mph,True,24.787,"LINESTRING (-2.2515071 53.4750258, -2.2513924 53.475238)",,,,,
4910564,False,,Bridgewater Street,residential,20 mph,True,46.463,"LINESTRING (-2.2515071 53.4750258, -2.2515926 53.4750463, -2.2517782 53.4750977, -2.2520421 53.4751778, -2.2521376 53.475209)",,,,,
940557795,False,A56,Deansgate,primary,20 mph,False,24.787,"LINESTRING (-2.2513924 53.475238, -2.2515071 53.4750258)",,,,,
145038299,False,,Trafford Street,residential,20 mph,False,48.215,"LINESTRING (-2.2513924 53.475238, -2.2512822 53.4752141, -2.250702 53.4750996)",,,,,
184507811,False,A56,Deansgate,primary,20 mph,True,55.617,"LINESTRING (-2.2513924 53.475238, -2.2512424 53.4754917, -2.2512187 53.4755317, -2.2511988 53.4755653, -2.2511691 53.47561, -2.2511074 53.4757085)",,,,,
184507818,False,A34,Quay Street,primary,20 mph,False,114.285,"LINESTRING (-2.2517885 53.4786905, -2.2501293 53.4784053)",2,,,,
956949154,False,A34,Quay Street,primary,20 mph,True,2.88,"LINESTRING (-2.2517885 53.4786905, -2.2518303 53.4786977)",2,,,,
