osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,access,tunnel
220483717,Corso Italia,residential,30,False,True,21.362000000000002,"LINESTRING (14.3764224 40.626363, 14.3762441 40.6263555, 14.3761981 40.6263491, 14.3761708 40.6263452)",,,,,,
766566070,Corso Italia,residential,30,True,False,180.38,"LINESTRING (14.3764224 40.626363, 14.3766994 40.626376, 14.3767195 40.6263777, 14.3774676 40.6264418, 14.3780069 40.6264868, 14.378467 40.6265256, 14.3785466 40.626538)",1,,,,,
"[189099804, 1127707893]",Via Correale,residential,50,False,True,489.8140000000001,"LINESTRING (14.3764224 40.626363, 14.3763985 40.6264722, 14.3763901 40.626505, 14.3763151 40.626817, 14.3763021 40.6268715, 14.3762957 40.626927, 14.3763045 40.6269772, 14.3763277 40.6270254, 14.3764039 40.6271099, 14.3765205 40.6271975, 14.3769006 40.6274128, 14.3770597 40.6274836, 14.3773137 40.6275887, 14.3773372 40.6275984, 14.3776739 40.6277539, 14.3777959 40.6278103, 14.3779202 40.6278664, 14.378031 40.6279164, 14.3782927 40.6280403, 14.3783814 40.6280823, 14.3784943 40.6281348, 14.3785304 40.6281479, 14.3787857 40.6282401, 14.3789301 40.6282866, 14.3790188 40.6283156, 14.3790536 40.6283252, 14.3791143 40.6283339, 14.3791736 40.6283369, 14.379273 40.6283384, 14.3793233 40.6283288, 14.3793987 40.6283166, 14.379537 40.6283011, 14.3796189 40.6282968, 14.3797201 40.6282973, 14.3798404 40.6283113, 14.3799696 40.6283507, 14.3800362 40.6283744, 14.3803268 40.6285024, 14.3806063 40.6286348)",2,,,,,
1089901252,Via Correale,residential,50,True,False,23.787,"LINESTRING (14.3807417 40.6288192, 14.3807294 40.6287792, 14.3807075 40.6287478, 14.3806822 40.6287092, 14.3806468 40.6286706, 14.3806063 40.6286348)",1,,,,,
1054418453,Via degli Aranci,primary,40,False,True,29.9,"LINESTRING (14.380675 40.6254955, 14.3803516 40.6253857)",,SS145,,,,
1105749696,Via Marziale,residential,,True,False,30.64,"LINESTRING (14.380675 40.6254955, 14.3804678 40.6254636, 14.3803941 40.6254498, 14.3803221 40.625432)",,,,,,
492991541,Piazza Giovanni Battista de Curtis,residential,,False,False,37.288,"LINESTRING (14.3788962 40.6256762, 14.3789819 40.6257262, 14.3792829 40.6258356)",,,,,,
1054418443,Via Marziale,residential,,True,False,103.662,"LINESTRING (14.3788962 40.6256762, 14.378825 40.6257201, 14.3788016 40.6257471, 14.3787393 40.6258408, 14.3786245 40.6260061, 14.3785907 40.6261291, 14.378589 40.6262014, 14.3785909 40.6262179, 14.378593 40.6262361, 14.3785983 40.6262829, 14.3785962 40.6263419, 14.3785557 40.6265085, 14.3785466 40.626538)",,,,,,
1186168180,Via Marziale,residential,,False,True,58.455,"LINESTRING (14.3788962 40.6256762, 14.3789317 40.625593, 14.3790033 40.6254473, 14.3790922 40.6253142, 14.3791451 40.6252837, 14.3791898 40.6252564, 14.3792304 40.6252316)",,,,,,
533438462,Corso Italia,residential,30,True,False,71.788,"LINESTRING (14.3785466 40.626538, 14.3788271 40.6265701, 14.3788835 40.6265767, 14.3792849 40.6266253, 14.3793879 40.6266324)",,,,,,
