osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,access
"[1103096907, 121501135]",yes,True,"['4', '3']",I 84,motorway,45 mph,False,315.365,"LINESTRING (-73.0479164 41.5517832, -73.0466501 41.5518336, -73.0441319 41.5519337)",,
"[96905271, 96905270, 993381383]",yes,True,"['1', '2']",,motorway_link,,False,399.907,"LINESTRING (-73.0441354 41.5512912, -73.0428681 41.5516126, -73.0428406 41.5516193, -73.0428102 41.5516264, -73.042765 41.5516362, -73.0427403 41.5516411, -73.0427143 41.551646, -73.0426727 41.5516531, -73.0426433 41.5516577, -73.0426124 41.551662, -73.0425635 41.5516681, -73.0425526 41.5516692, -73.0425114 41.5516734, -73.0424561 41.5516779, -73.0424174 41.5516803, -73.0423975 41.5516813, -73.0423566 41.551683, -73.0423357 41.5516836, -73.0422926 41.5516844, -73.0422833 41.5516844, -73.0422705 41.5516845, -73.0422253 41.5516843, -73.0421785 41.5516834, -73.0421546 41.5516827, -73.0421056 41.5516807, -73.0420551 41.5516778, -73.0419924 41.5516732, -73.0419582 41.5516697, -73.0419339 41.5516665, -73.0419085 41.5516628, -73.0418824 41.5516586, -73.0418557 41.551654, -73.0418286 41.551649, -73.0417875 41.5516409, -73.0417602 41.5516353, -73.0417198 41.5516266, -73.0416806 41.5516178, -73.0416433 41.5516092, -73.0415673 41.5515908, -73.041526 41.5515804, -73.0414894 41.5515708, -73.0406435 41.5513305, -73.0406045 41.5513197, -73.0405477 41.5513045, -73.0405109 41.5512949, -73.0404571 41.5512813, -73.0403877 41.5512645, -73.0403205 41.5512492, -73.040255 41.551235, -73.040175 41.5512187, -73.0401119 41.5512066, -73.0400334 41.5511921, -73.0399545 41.5511782, -73.0398251 41.5511559, -73.0398054 41.5511538, -73.0397851 41.5511522, -73.0397644 41.5511511, -73.0397432 41.5511505, -73.0397217 41.5511505, -73.0397071 41.5511508, -73.0396851 41.5511516, -73.0396702 41.5511526, -73.0396478 41.5511544, -73.0396328 41.551156, -73.0396102 41.5511589, -73.0395951 41.5511612, -73.0395725 41.5511651, -73.0395574 41.5511681, -73.0395424 41.5511714, -73.0395267 41.5511752)",,
30326541,,False,,,secondary,,False,85.571,"LINESTRING (-73.0443071 41.5503665, -73.0441508 41.5502903, -73.04401 41.5502411, -73.0438035 41.5501839, -73.0434803 41.5501016, -73.04336 41.5500768)",Meadow Street,
1085685098,,True,,,secondary,,False,73.558,"LINESTRING (-73.0443071 41.5503665, -73.0443956 41.550483, -73.0445089 41.5505728, -73.0445994 41.5506616, -73.0446839 41.5507771, -73.044759 41.5509276)",Meadow Street,
"[96895594, 17203086]",yes,True,1,,motorway_link,,False,393.80600000000004,"LINESTRING (-73.0441319 41.5519337, -73.0440974 41.5519261, -73.0440613 41.5519186, -73.0440253 41.5519118, -73.043989 41.5519057, -73.043952 41.5519001, -73.0439139 41.5518951, -73.0438845 41.5518918, -73.043854 41.5518888, -73.0438225 41.5518861, -73.0438008 41.5518845, -73.0437671 41.5518823, -73.0435184 41.5518682, -73.0434969 41.5518667, -73.0434519 41.5518629, -73.0434046 41.5518582, -73.0433801 41.5518555, -73.0433296 41.5518494, -73.0432772 41.5518425, -73.0432503 41.5518387, -73.0431954 41.5518306, -73.0431391 41.5518216, -73.0431104 41.5518169, -73.0430228 41.5518015, -73.0429331 41.5517845, -73.0428726 41.5517724, -73.0427809 41.5517529, -73.0427196 41.5517392, -73.0426583 41.5517249, -73.0426277 41.5517176, -73.0425667 41.5517025, -73.0425062 41.5516869, -73.0424464 41.5516709, -73.0423874 41.5516543, -73.0423583 41.5516459, -73.0423008 41.5516288, -73.0422726 41.5516201, -73.0422172 41.5516024, -73.0421901 41.5515934, -73.042137 41.5515752, -73.0419738 41.5515184, -73.041038 41.5511927, -73.0409592 41.5511655, -73.0409004 41.5511458, -73.0408448 41.5511277, -73.0407845 41.551109, -73.0407207 41.5510901, -73.040668 41.5510753, -73.0406145 41.5510613, -73.0405876 41.5510546, -73.0405608 41.5510482, -73.0405208 41.5510393, -73.0404812 41.5510312, -73.0396487 41.550871)",,
"[1103096905, 96895597]",yes,True,3,I 84,motorway,45 mph,False,396.183,"LINESTRING (-73.0441319 41.5519337, -73.0440339 41.5519376, -73.0439985 41.5519388, -73.04394 41.5519404, -73.043876 41.5519417, -73.0438072 41.5519427, -73.0437097 41.5519435, -73.0436076 41.5519437, -73.0435292 41.5519435, -73.0434504 41.5519429, -73.043372 41.551942, -73.043295 41.5519407, -73.0432202 41.551939, -73.0431486 41.551937, -73.043081 41.5519345, -73.0430185 41.5519317, -73.04298 41.5519296, -73.0429277 41.551926, -73.0428635 41.5519207, -73.0428017 41.5519149, -73.0427616 41.5519108, -73.0427051 41.5519046, -73.0426458 41.5518977, -73.0425999 41.5518921, -73.0425374 41.5518841, -73.0424898 41.5518778, -73.0424261 41.5518689, -73.0423785 41.551862, -73.0423158 41.5518526, -73.0422697 41.5518454, -73.0422101 41.5518355, -73.0421354 41.5518227, -73.0420715 41.5518113, -73.0419916 41.5517966, -73.0419122 41.5517812, -73.0418341 41.5517653, -73.0417576 41.5517491, -73.0416836 41.5517327, -73.0416126 41.5517161, -73.0415452 41.5516996, -73.0414821 41.5516832, -73.0414351 41.5516704, -73.0412159 41.5516089, -73.0403946 41.5513787, -73.0402233 41.5513335, -73.0400683 41.5512934, -73.0399233 41.5512568, -73.0398633 41.5512421, -73.0398066 41.5512285, -73.0397548 41.5512164, -73.0397091 41.5512063, -73.039671 41.5511985, -73.0396506 41.5511948, -73.039642 41.5511935, -73.0395267 41.5511752)",,
657403707,,False,,,secondary,,False,12.992,"LINESTRING (-73.0396576 41.5555519, -73.0398035 41.5555935)",East Main Street,
17205878,,False,,,primary,,False,95.969,"LINESTRING (-73.0466212 41.5578026, -73.0465757 41.5576767, -73.0465663 41.5575875, -73.0465649 41.5572499, -73.0465626 41.557116, -73.0465565 41.5569444)",Meadow Street,
93836301,,False,,,primary,,False,132.081,"LINESTRING (-73.0466212 41.5578026, -73.0467739 41.5578577, -73.0469134 41.5578839, -73.0475402 41.5579796, -73.0480037 41.5580407, -73.0481652 41.5580607)",West Main Street,
125004823,,True,,,secondary,,False,149.323,"LINESTRING (-73.0466212 41.5578026, -73.0465072 41.5576736, -73.0464131 41.5576257, -73.0461295 41.5575477, -73.0450074 41.5572946)",West Main Street,
17205878,,False,,,primary,,False,64.354,"LINESTRING (-73.0465565 41.5569444, -73.0465499 41.5564577, -73.0465469 41.5563657)",Meadow Street,
17205878,,False,,,primary,,True,95.969,"LINESTRING (-73.0465565 41.5569444, -73.0465626 41.557116, -73.0465649 41.5572499, -73.0465663 41.5575875, -73.0465757 41.5576767, -73.0466212 41.5578026)",Meadow Street,
17221211,,False,,,residential,,True,141.89,"LINESTRING (-73.0465565 41.5569444, -73.0466681 41.5569498, -73.0476086 41.5569901, -73.0482579 41.5570292)",Brown Place,
17205878,,False,,,primary,,True,64.354,"LINESTRING (-73.0465469 41.5563657, -73.0465499 41.5564577, -73.0465565 41.5569444)",Meadow Street,
186839739,,False,,,primary,,False,93.12700000000001,"LINESTRING (-73.0465469 41.5563657, -73.0465452 41.5563219, -73.0465415 41.5562335, -73.0465388 41.5561423, -73.046511 41.5556165, -73.046508 41.5555287)",Meadow Street,
1238730102,,False,,,secondary,,False,101.05499999999999,"LINESTRING (-73.0465469 41.5563657, -73.0467042 41.5563724, -73.0469795 41.556377, -73.04729 41.5563757, -73.0474285 41.5563601, -73.0475274 41.5563425, -73.047643 41.5563145, -73.047743 41.5562843)",Freight Street,
186839739,,False,,,primary,,True,93.12700000000001,"LINESTRING (-73.046508 41.5555287, -73.046511 41.5556165, -73.0465388 41.5561423, -73.0465415 41.5562335, -73.0465452 41.5563219, -73.0465469 41.5563657)",Meadow Street,
1085685097,,False,,,secondary,,False,54.98,"LINESTRING (-73.046508 41.5555287, -73.0465136 41.5553966, -73.0465031 41.5550344)",Meadow Street,
1115159781,,False,4,,primary,,True,56.432,"LINESTRING (-73.046508 41.5555287, -73.0464485 41.5555213, -73.0463785 41.5554908, -73.0459298 41.5552702)",Grand Street,
93836322,,False,,,primary,,False,210.94899999999998,"LINESTRING (-73.0390654 41.5508876, -73.0390887 41.5509582, -73.0392646 41.5514924, -73.0393313 41.5516947, -73.0393496 41.5517444, -73.0394163 41.5519258, -73.0394302 41.5519637, -73.0395165 41.5521987, -73.0395466 41.5522805, -73.0396278 41.5525015, -73.039709 41.5527224)",South Main Street,
93836322,,False,,,primary,,True,133.67600000000002,"LINESTRING (-73.0390654 41.5508876, -73.0390359 41.5507965, -73.0389855 41.5506406, -73.0387906 41.5500375, -73.0387227 41.5497832, -73.0387048 41.5497163)",South Main Street,
