osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry
1072582977,West Woodruff Avenue,residential,False,True,11.38,,,"LINESTRING (-118.0525302 34.1087856, -118.0524066 34.1087862)"
"[1072582979, 405327155, 1059535166]",Baldwin Avenue,secondary,True,False,86.89,"['4', '2']",40 mph,"LINESTRING (-118.0525302 34.1087856, -118.0524953 34.1086462, -118.0524856 34.1085937, -118.0524591 34.1084503, -118.0523926 34.1080901, -118.0523786 34.1080145)"
13325513,Kauffman Avenue,residential,False,False,201.68,,,"LINESTRING (-118.0577092 34.105295, -118.0578819 34.1061479, -118.0579232 34.1063492, -118.0579621 34.1065435, -118.0579812 34.106635, -118.0579919 34.1066878, -118.0580461 34.106957, -118.058072 34.1070837)"
13431194,Workman Avenue,residential,False,False,140.512,,,"LINESTRING (-118.0577092 34.105295, -118.0569575 34.1053989, -118.0562039 34.1055031)"
13431194,Workman Avenue,residential,False,True,130.32999999999998,,,"LINESTRING (-118.0577092 34.105295, -118.0584133 34.1051963, -118.0591049 34.1050994)"
13325513,Kauffman Avenue,residential,False,False,201.598,,,"LINESTRING (-118.058072 34.1070837, -118.0580984 34.1072139, -118.0581823 34.1076263, -118.0582205 34.1078143, -118.0582257 34.1078361, -118.0582566 34.1079892, -118.0584344 34.1088717)"
13325513,Kauffman Avenue,residential,False,True,201.68,,,"LINESTRING (-118.058072 34.1070837, -118.0580461 34.106957, -118.0579919 34.1066878, -118.0579812 34.106635, -118.0579621 34.1065435, -118.0579232 34.1063492, -118.0578819 34.1061479, -118.0577092 34.105295)"
"[405324325, 405324341, 405324333]",Las Tunas Drive,primary,False,False,141.365,4,30 mph,"LINESTRING (-118.058072 34.1070837, -118.0579971 34.1070942, -118.0578655 34.1071126, -118.057468 34.1071682, -118.0571719 34.1072096, -118.0568261 34.1072579, -118.0566766 34.1072788, -118.056558 34.1072954)"
"[405323167, 405324319, 405324335]",Las Tunas Drive,primary,False,True,131.82500000000002,4,30 mph,"LINESTRING (-118.058072 34.1070837, -118.0581715 34.10707, -118.0586046 34.1070103, -118.0589026 34.1069692, -118.0593903 34.1069047, -118.059485 34.1068922)"
13325513,Kauffman Avenue,residential,False,False,201.288,,,"LINESTRING (-118.0584344 34.1088717, -118.058526 34.1093592, -118.0585914 34.1096422, -118.0587036 34.1101948, -118.0587973 34.1106567)"
13325513,Kauffman Avenue,residential,False,True,201.598,,,"LINESTRING (-118.0584344 34.1088717, -118.0582566 34.1079892, -118.0582257 34.1078361, -118.0582205 34.1078143, -118.0581823 34.1076263, -118.0580984 34.1072139, -118.058072 34.1070837)"
578424250,Woodruff Avenue,residential,False,False,140.952,,,"LINESTRING (-118.0584344 34.1088717, -118.0577768 34.1089609, -118.0569232 34.1090748)"
"[578424250, 13361148]",Woodruff Avenue,residential,False,True,131.144,,,"LINESTRING (-118.0584344 34.1088717, -118.0591429 34.1087712, -118.0598394 34.1086776)"
13325513,Kauffman Avenue,residential,False,True,201.288,,,"LINESTRING (-118.0587973 34.1106567, -118.0587036 34.1101948, -118.0585914 34.1096422, -118.058526 34.1093592, -118.0584344 34.1088717)"
43150626,Garibaldi Avenue,tertiary,False,False,141.112,2,25 mph,"LINESTRING (-118.0587973 34.1106567, -118.058211 34.110738, -118.0581521 34.1107462, -118.0572856 34.1108663)"
43150626,Garibaldi Avenue,tertiary,False,True,129.577,2,25 mph,"LINESTRING (-118.0587973 34.1106567, -118.0588223 34.1106533, -118.0592409 34.1105969, -118.0601865 34.1104696)"
13327960,Rowland Avenue,residential,False,False,203.172,,,"LINESTRING (-118.0529705 34.1041038, -118.0533398 34.1059052)"
13466195,Live Oak Avenue,tertiary,False,True,134.339,2,,"LINESTRING (-118.0529705 34.1041038, -118.0544081 34.1038973)"
